Entity,Year,fish_catch_direct_consumption,fishmeal_and_fish_oil,fish_other_uses,total_fish_catch,bottom_trawl,gillnet,longline,other_gear,pelagic trawl,purse_seine,small_scale,unknown_gear,Artisanal,industrial,recreational,subsistence,discards,landings,reported_landings,unreported_landings
Italy,1976,1873797.5580171703,,1705.435023394,,896906.3898701,,15537.85230154,67971.355287279,430097.22819983,246160.0289329,183429.20862602495,35400.92982289,180917.73083864097,1663765.429250923,22675.58284,8144.250111,120862.56904904002,1754640.423991524,409035.51213249896,1345604.9118590248
Italy,1977,1802981.7543014104,,1635.099986866,,849412.2719845,,16320.777120205004,65063.550652705,437593.64459594,213774.43551275,175508.91203595602,46943.26238622,172148.667312965,1601285.532525311,22772.03485,8410.6196,121709.15692816002,1682907.697360116,354392.967406708,1328514.729953408
Italy,1978,1815230.5773501908,,1630.131438986,,848241.5684352999,,16367.928842341998,66038.772062698,402210.48740044,256511.9454595,176989.891393026,50500.11519587001,173115.25843134,1612325.1084468362,22853.42895,8566.912961,139565.86612919005,1677294.8426599863,380310.25216122,1296984.5904987666
Italy,1979,1822061.7000580195,,1643.2704953210005,,854912.8819053,,16270.631121781002,68002.57087536101,391127.232312,264894.473142,174685.59868853903,53811.58250836,170796.026688843,1621076.319704498,22919.76515,8912.85901,135374.41936893002,1688330.551184411,404911.49223653,1283419.0589478812
Italy,1980,1811557.7240753896,,1627.265359185,,840108.131293,,15107.670795081,68350.081426702,418945.4710073,227814.0606202,176413.690738692,66445.88355360001,173980.11755178598,1607357.6714927887,22966.97373,8880.22666,137563.95450241998,1675621.0349321552,423363.455938436,1252257.5789937186
Italy,1981,1805880.87179172,,1625.538640072,,854576.0014103,,16561.334145704,72102.92705285101,394246.36858067,248137.2976008,172737.726181177,49144.75546029,170035.19608154398,1605419.3091502476,22994.64772,9057.25748,134263.28975865,1673243.1206731417,421042.7850096609,1252200.3356634807
Italy,1982,1813829.82943927,,1626.762125106,,871559.5225335,,16996.997952776,72273.928649955,390888.88678522,239449.7206825,174752.067599865,49535.46736056,171272.001019798,1612098.920814578,23011.74048,9073.92925,141102.48248327,1674354.1090811058,440978.794193068,1233375.3148880375
Italy,1983,1706217.1929293044,,1528.7605815736,,821227.6602958001,,16011.664164998,73480.7092403356,371385.5365180301,202547.02525536003,174890.431892454,48202.9261439,172592.6331542246,1503361.4525866532,23019.87989,8771.98788,131449.927063011,1576296.0264478666,442605.24397765,1133690.7824702165
Italy,1984,1745285.5060455706,,1550.8756866110004,,861918.1299474,2071.740141,23891.146441132,76283.33660044499,346338.28261778,186128.58387506,190664.902427214,59540.25968215001,189654.28082593495,1526096.0687662463,23025.17051,8060.861629999999,137891.99838056997,1608944.3833516117,483251.6075415079,1125692.775810103
Italy,1985,1768010.2826444716,,1558.5882045244,,833371.214975,2436.65089,16627.633248781,73981.5284374924,398104.02046224,205485.67969515003,185238.941631882,54323.20150845,183750.5155640414,1555563.0263549546,23031.68204,7223.646890000001,152603.33749459407,1616965.533354402,481372.782431375,1135592.7509230264
Italy,1986,1724211.0084908162,,1505.1483280297,,821613.5009259001,2213.458864,16324.176552598,72749.97168313571,372432.15117807,196985.64894429,186828.914503152,56568.334167700006,185217.6322905427,1510272.5419183031,23032.90295,7193.079659999999,161490.82141474602,1564225.3354040997,456642.990744804,1107582.3446592956
Italy,1987,1627226.4484560494,,1406.1760081900002,,787758.7057698001,2242.188752,15866.073988404,66946.99201744399,367478.95194755,150573.53853229,173684.84622972098,64081.32722703001,171264.393054199,1427107.9127800397,23035.34477,7224.973859999999,165223.87719244394,1463408.747271795,438846.5672410191,1024562.1800307758
Italy,1988,1412673.4911467284,,1228.3595605010998,,747584.1458615,2324.446377,14950.141460724,64331.2785721701,242443.46642013,118137.85432666,158151.46978974403,65979.047899301,156027.51948722414,1227675.2826100043,23046.332980000003,7152.71563,128554.38254785298,1285347.468159376,435304.75227837206,850042.7158810041
Italy,1989,1347304.2520108982,,1169.221094238,,723861.6819079999,3065.992364,13014.930367138,60473.235775058994,231062.96016552,113359.0153953,140756.62745590397,62879.029674215,138486.216068763,1180043.4990563733,22845.8445,7097.913479999999,123940.502997459,1224532.9701076776,416200.3348708381,808332.6352368392
Italy,1990,1227616.5550725162,,1063.9267953416002,,668939.3659931001,5250.291436,11959.210817369,54945.1501773086,215068.01466136004,85942.22208543,130909.61887151802,55666.60782577199,127899.18175459158,1070957.6059132663,22878.01857,6945.67563,116401.43895709098,1112279.0429107666,362558.3794055261,749720.6635052406
Italy,1991,1238525.338030425,,1062.9210756590005,,685422.8137194,4378.685054,12550.24549862,56457.60410890999,201683.31567901,88529.43486829,136652.934988971,53913.22518888301,132272.974234565,1074754.5744415189,25825.42852,6735.28191,117410.31192457302,1122177.9471815114,396955.27487709,725222.6723044213
Italy,1992,1170305.9925194974,,1013.318140246,,661907.9188618,5634.660434,13640.840927254,60989.769545327006,170894.31326736,76048.11136471,135742.929975485,46460.766283807,131820.030785558,1003615.8312841848,28957.46647,6925.982120000001,97367.89013801402,1073951.4205217292,390356.12262988905,683595.29789184
Italy,1993,1142053.819341478,,983.0368150940002,,625103.6628613,4152.0,13608.021351177998,63704.85544345901,169705.94654012,87645.46077931,136892.249528435,42224.65965277001,131720.484395263,972373.0875013092,32262.378630000003,6680.905629999999,98467.09255288698,1044569.7636036852,389219.60918239807,655350.1544212871
Italy,1994,1122629.640752562,,964.1665875349998,,605425.9857531,4752.0,14814.197012465,63949.708327767,163113.37087487,92077.48562571,135801.07987871,43659.979867475,131700.18109921,951989.2619808868,33523.87277,6380.491489999999,93906.385058092,1029687.422282005,391539.427523339,638147.9947586659
Italy,1995,1118114.392708545,,965.0543301526004,,581351.8241709,5400.0,14529.888751612,69171.7804331676,176098.66729938998,113019.16760125,129807.73277197,29700.386010408,126923.0884032906,950801.0312854073,35004.741780000004,6350.58557,93076.613332781,1026002.8337059168,388831.9557475083,637170.8779584083
Italy,1996,1082795.70381199,,926.81779899,,552092.7236926999,4097.0,14109.615434691,68445.386505275,177720.86770326996,119996.03927129,121239.35016272,26021.538841034,116602.351852341,923377.2600386388,36465.03863,7277.871090000001,90873.760254931,992848.7613560486,363445.720489266,629403.040866783
Italy,1997,1062025.1165738432,,902.3060664159,,533136.9077343999,5004.0,12811.466665032,67891.58483685089,179110.8079905,122419.04191366,116629.79003092098,25923.823468895,111452.7998790919,905572.3916111672,38334.13275,7568.0984,92852.494440954,970074.9281993052,334939.246143695,635135.68205561
Italy,1998,1065215.6701879457,,911.0042432373,,571466.0198691,4854.000000999999,13044.136508101,79805.33700574031,134187.10679859002,97300.8733297,137432.81059168,28036.390327270998,132186.6316686833,884880.9389924991,40143.705310000005,8915.398459999999,89756.24895000199,976370.4254811804,294783.91019807395,681586.5152831062
Italy,1999,981694.1549056832,,832.7434348007998,,525600.5880752,5896.305,10693.432547462,80221.14168231579,116991.26314025,89269.60087666001,126838.057267139,27016.509751457,121363.9649449238,810621.3228955601,41952.58143,8589.02907,81026.31320820098,901500.5851322828,274482.75656585203,627017.8285664308
Italy,2000,951195.6405958,,798.5619933465001,,532098.8148360999,5792.431,11600.246732606998,83736.07743795449,108389.10362265,77715.72206519,110328.456880967,22333.350013678,106140.1986796185,794479.143208528,43843.29484,7531.565861,81392.50911796802,870601.6934711783,304815.06614018703,565786.6273309914
Italy,2001,872590.4946881168,,3407.9323410066,,505458.2566482,4556.958,10708.739196294,82997.5040652096,89768.7790807,67674.7806517,93690.228109304,21143.181277716,89923.31790887359,733744.4210792502,45683.36008,6647.327961,80305.892526028,795692.5345030956,308551.92727197293,487140.6072311226
Italy,2002,797240.73635306,,3338.7237785163,,460734.719435,2095.0,11452.658379256,73132.6495655553,81853.6564847,65035.66087820001,84160.957368744,22114.158020121,80337.35148973828,666838.533611838,47614.81772,5788.75731,73355.24605250302,727224.2140790733,266450.67238611565,460773.5416929578
Italy,2003,778659.8834149439,,3349.292656778,,445097.4788464,2540.4,16120.128215196995,83038.50938700499,73638.7264316,63832.3448264,81104.73786457302,16636.850500547,77385.68450104499,649463.181150677,49788.22132,5372.0891,71776.93636209602,710232.2397096258,279716.2913361129,430515.9483735132
Italy,2004,727694.1475488084,,3325.4644986577005,,402630.2839382,1494.64,12810.734182162,81981.59988735669,74590.89089589998,68726.9044258,70998.077676745,17786.481041302,67822.2447976137,606373.3515498519,52061.22491,4762.79079,65398.214284918,665621.397762548,275074.2393107407,390547.158451807
Italy,2005,638264.9067361711,,3047.300542819401,,329699.25209459994,1890.83,11954.534118674,78840.81389156841,78796.02473979998,62600.41901370001,62535.81709182101,14994.516328827,59828.208205106406,522770.83364388376,54239.43002000001,4473.73541,56989.607382745,584322.5998962453,287481.58292456885,296841.0169716766
Italy,2006,641521.9710805062,,3684.660932752002,,321879.39232970006,2373.39,11962.084588788,81154.05228888501,77768.354388,77480.1566403,60991.889090216006,11597.312687368998,58020.35881165299,526479.421581605,56349.33382000001,4357.5178,55439.865267273,589766.7667459851,303527.568675622,286239.19807036297
Italy,2007,607090.851775126,,3090.7075732537,,308048.37792149995,2880.61,11574.985810382,88588.5004523017,64595.3823859,64225.8049111,59467.06742730501,10800.830439891,56575.8696151407,490773.06065323896,58574.387160000006,4258.24192,56288.42741248101,553893.1319358988,280085.024596204,273808.10733969475
Italy,2008,530571.4477468311,,2382.124724480301,,271786.8880996,,10826.824415007002,86106.8530051053,57510.891322300005,46706.8075469,50280.18025647501,9735.127825924,47139.234513252304,420725.989078059,60848.25736,4240.09152,55243.03481838,477710.5376529312,225842.95578190716,251867.58187102416
Italy,2009,513228.7299625393,,2845.7875745666,,235298.0480103,1529.57487,11196.078198582,83254.72495651059,56210.5418465,60021.6589131,56619.73033977301,11944.16040234,53453.6806816796,395487.98102542607,63047.40172,4085.45411,44660.18194125199,471414.3355958537,245369.8911496538,226044.44444619992
Italy,2010,480050.6301899752,,2852.6138173269987,,214498.82641079,346.38763,10283.147948304,88389.975444241,54134.8145424,55731.7297408,49086.136141084,10432.226149683,46025.37645419,367522.2869131121,65344.09271,4011.48793,42765.42338293498,440137.8206243672,232828.8266966611,207308.993927706
Italy,2011,425820.3312668889,,2359.397668535,,163819.3529547,519.5814,8170.97232734,107177.391911901,39378.8020897,54534.254593900005,32116.965617171,22462.408040712,53391.245372704994,310592.497612719,62092.66595,2103.32,47492.18971012,380687.5392253039,220412.72227401292,160274.81695129102
Italy,2012,372450.087859751,,2389.399586319,,131162.21803261997,432.985,5765.524918827,104936.199200539,51619.37274579999,36315.0269793,25721.647577,18886.512991984004,41238.318279628,266048.7565764421,65594.03259,1958.38,21529.17391808,353310.31352799,202449.89543839305,150860.41808959702
Italy,2013,342693.83255741803,,1992.573700131,,131931.70634077,,4808.884650311,96021.272743429,47166.51184480001,26696.698085400003,22884.075994230003,15177.256598609,34637.144550786004,242520.53894676303,65802.47276,1726.25,18143.0011569,326543.405100649,177928.57843213,148614.826668519
Italy,2014,347545.507715261,,2184.081641437,,123902.82267546,,7589.882417623001,97326.603779389,52171.50463489999,28629.9928954,25445.78121324,14663.001740686,38296.703711633,242778.271225065,66886.82442,1767.79,13416.6591337,336312.930222998,184797.974461294,151514.955761704
Italy,2015,379136.0643669301,,2498.8181107489995,,140617.02043491002,331.15796,6758.8724195820005,100069.328294199,60085.9756639,35253.8691154,24846.660744522003,13671.997845166004,39986.68530585,272913.95975182904,66846.71742,1887.52,25367.43382483,356267.448652849,198826.6388622631,157440.809790586
Italy,2016,388560.673087084,,2508.8294356699994,,147900.27117097,587.3373799999999,8252.289855013,102378.952849301,56089.79056988999,37410.817413943005,25072.746240083,13377.297043554,39701.15403907299,282840.686103681,66647.46238,1880.2,31681.635435433,359387.867087321,199065.898984468,160321.968102853
Italy,2017,370323.97513728007,,2492.2645101940006,,152598.71358287,,8009.408474927,67012.900779815,61713.71554222,39390.27775823,28094.093953613,15997.129555799,44272.39056008998,297418.56475848384,30335.67301,789.6113188999999,33501.27881175999,339314.9608357139,235675.68826952495,103639.27256618904
Italy,2018,370223.0531168001,,2493.869532016,,150060.52116728,896.7461102,5996.319624344999,66640.21090992201,62277.463847800005,41723.89967798001,28135.577914865,16986.183396424,45020.171665617,296921.445738799,29983.966910000003,791.3383344,31442.79476101,341274.12788780616,236891.776621664,104382.35126614197
