Entity,Year,"Capital Intensity (Bergeaud, Cette, and Lecat (2016))","Age of capital stock (Bergeaud, Cette, and Lecat (2016))","Labor productivity (Bergeaud, Cette, and Lecat (2016))","Total Factor Productivity (TFP) (Bergeaud, Cette, and Lecat (2016))","GDP per capita (Bergeaud, Cette, and Lecat (2016))"
Italy,1862,,,,,2522.9739
Italy,1863,,,,,2574.4631
Italy,1864,,,,,2530.3296
Italy,1865,,,,,2662.7305
Italy,1866,,,,,2478.8403
Italy,1867,,,,,2500.9072
Italy,1868,,,,,2515.6184
Italy,1869,,,,,2581.8188
Italy,1870,,,1.62,,2706.8643
Italy,1871,,,1.59,,2646.6765
Italy,1872,,,1.54,,2588.4214
Italy,1873,,,1.52,,2575.6602
Italy,1874,,,1.59,,2711.9802
Italy,1875,,,1.59,,2722.5464
Italy,1876,,,1.54,,2651.5193
Italy,1877,,,1.54,,2670.9248
Italy,1878,,,1.58,,2739.6414
Italy,1879,,,1.58,,2746.8525
Italy,1880,,,1.6,,2796.6985
Italy,1881,,,1.63,,2871.2671
Italy,1882,,,1.66,,2907.801
Italy,1883,,,1.63,,2934.3726
Italy,1884,,,1.63,,2886.47
Italy,1885,,,1.6799999,,2930.3806
Italy,1886,,,1.74,,2999.4971
Italy,1887,,,1.8099999,,3072.4739
Italy,1888,,,1.79,,3059.4243
Italy,1889,,,1.71,,2960.5935
Italy,1890,3.0,6.4000001,1.73,1.29,2967.2954
Italy,1891,3.0,6.5999999,1.79,1.3200001,3006.2397
Italy,1892,3.0,6.9000001,1.8200001,1.33,3009.7876
Italy,1893,3.0,7.0999999,1.87,1.37,3055.6208
Italy,1894,3.0,7.1999998,1.87,1.37,3074.5078
Italy,1895,3.0,7.3000002,1.88,1.37,3100.8804
Italy,1896,3.0,7.1999998,1.89,1.39,3146.1331
Italy,1897,3.0,7.0999999,1.86,1.37,3148.5527
Italy,1898,3.0,7.0999999,1.86,1.37,3139.6211
Italy,1899,3.0,7.0,1.86,1.38,3171.4055
Italy,1900,3.0,6.8000002,1.9,1.41,3259.9873
Italy,1901,3.0,6.5999999,1.9299999,1.4299999,3306.7122
Italy,1902,3.0,6.4000001,1.99,1.46,3358.0391
Italy,1903,3.0,6.3000002,2.02,1.48,3391.6536
Italy,1904,3.0,6.0999999,2.0599999,1.5,3447.3337
Italy,1905,3.0,5.6999998,2.1099999,1.53,3520.5637
Italy,1906,3.0,5.4000001,2.1900001,1.5700001,3638.4558
Italy,1907,3.0,5.3000002,2.24,1.58,3703.5691
Italy,1908,3.0,5.4000001,2.24,1.58,3780.9226
Italy,1909,3.0,5.5,2.29,1.6,3811.1328
Italy,1910,4.0,5.6999998,2.3199999,1.6,3810.3699
Italy,1911,4.0,6.0,2.3599999,1.61,3858.1711
Italy,1912,4.0,6.3000002,2.3800001,1.61,3867.5786
Italy,1913,4.0,6.5999999,2.46,1.65,4058.45
Italy,1914,4.0,6.9000001,2.3099999,1.54,3810.2253
Italy,1915,4.0,7.3000002,2.26,1.49,3627.4006
Italy,1916,4.0,7.9000001,2.46,1.62,3948.0405
Italy,1917,4.0,8.5,2.51,1.65,3971.9736
Italy,1918,4.0,9.1000004,2.71,1.73,3891.5332
Italy,1919,5.0,9.5,2.9400001,1.8099999,3697.885
Italy,1920,5.0,9.6999998,2.9400001,1.83,3781.9648
Italy,1921,5.0,9.8000002,2.9100001,1.79,3642.9922
Italy,1922,5.0,9.8000002,3.1400001,1.9299999,3909.4338
Italy,1923,5.0,9.6000004,3.4400001,2.0999999,4231.3706
Italy,1924,5.0,9.5,3.45,2.0999999,4307.0649
Italy,1925,5.0,9.3000002,3.5899999,2.1800001,4562.7778
Italy,1926,6.0,9.1000004,3.6099999,2.1800001,4560.6377
Italy,1927,6.0,8.6999998,3.52,2.1099999,4436.6182
Italy,1928,6.0,8.3000002,3.8,2.25,4677.4961
Italy,1929,6.0,7.9000001,3.8900001,2.29,4877.2559
Italy,1930,6.0,7.6999998,3.79,2.1900001,4611.4346
Italy,1931,7.0,7.5999999,3.9000001,2.2,4525.9688
Italy,1932,7.0,7.5999999,4.0700002,2.26,4588.7393
Italy,1933,8.0,7.5999999,4.0100002,2.2,4499.4219
Italy,1934,8.0,7.6999998,3.9300001,2.1500001,4451.7661
Italy,1935,8.0,7.5999999,3.96,2.1700001,4656.3604
Italy,1936,8.0,7.5,3.8199999,2.0699999,4457.4619
Italy,1937,8.0,7.5,4.0799999,2.2,4864.4038
Italy,1938,8.0,7.3000002,4.1599998,2.23,4962.4995
Italy,1939,8.0,7.0999999,4.4000001,2.3499999,5219.3252
Italy,1940,9.0,7.0,4.5100002,2.3699999,5076.8291
Italy,1941,9.0,7.0999999,4.6999998,2.4100001,4951.4614
Italy,1942,9.0,7.0999999,4.4499998,2.27,4651.8574
Italy,1943,10.0,7.1999998,3.79,1.9299999,3929.2427
Italy,1944,9.0,7.5,3.0899999,1.5599999,3161.3735
Italy,1945,9.0,7.8000002,2.8,1.42,2827.0256
Italy,1946,10.0,7.4000001,3.8099999,1.9400001,3791.7583
Italy,1947,10.0,7.1999998,4.5599999,2.3,4488.1416
Italy,1948,10.0,7.0999999,4.8499999,2.4400001,4799.5908
Italy,1949,11.0,6.8000002,5.3200002,2.6400001,5172.5674
Italy,1950,12.0,6.4000001,6.2600002,3.01,5563.3682
Italy,1951,12.0,6.1999998,6.8000002,3.24,6061.6436
Italy,1952,13.0,6.0,7.0300002,3.3099999,6307.0718
Italy,1953,14.0,5.9000001,7.4400001,3.47,6721.9072
Italy,1954,14.0,5.8000002,7.5900002,3.49,6926.4609
Italy,1955,15.0,5.5999999,8.1000004,3.6500001,7355.2686
Italy,1956,16.0,5.5999999,8.4399996,3.73,7672.1221
Italy,1957,17.0,5.5999999,8.8599997,3.8399999,8064.5381
Italy,1958,19.0,5.5999999,9.29,3.95,8466.0508
Italy,1959,20.0,5.5,9.9099998,4.1199999,9001.6172
Italy,1960,22.0,5.4000001,10.54,4.29,9576.5244
Italy,1961,24.0,5.3000002,11.4,4.52,10275.057
Italy,1962,26.0,5.1999998,12.48,4.8000002,10886.435
Italy,1963,29.0,5.3000002,13.56,5.04,11461.352
Italy,1964,32.0,5.4000001,14.16,5.1399999,11796.702
Italy,1965,36.0,5.4000001,15.59,5.4400001,12217.06
Italy,1966,39.0,5.5999999,16.74,5.71,12923.943
Italy,1967,40.0,5.5999999,17.6,5.9200001,13818.057
Italy,1968,43.0,5.6999998,18.940001,6.25,14720.809
Italy,1969,47.0,5.6999998,20.33,6.5500002,15596.011
Italy,1970,51.0,5.6999998,21.690001,6.8299999,16455.334
Italy,1971,57.0,5.5999999,22.66,6.9000001,16676.539
Italy,1972,61.0,5.5999999,23.780001,7.0599999,17194.094
Italy,1973,65.0,5.5,25.33,7.3800001,18294.828
Italy,1974,69.0,5.5,26.73,7.6399999,19175.178
Italy,1975,74.0,5.6999998,26.370001,7.3800001,18662.59
Italy,1976,76.0,5.8000002,27.99,7.73,19892.887
Italy,1977,81.0,5.8000002,29.15,7.9000001,20315.775
Italy,1978,85.0,5.9000001,30.16,8.0600004,20899.434
Italy,1979,88.0,5.9000001,31.719999,8.3999996,22080.926
Italy,1980,90.0,5.9000001,32.32,8.4899998,22791.307
Italy,1981,93.0,5.9000001,32.509998,8.4399996,22956.139
Italy,1982,96.0,6.0,32.380001,8.3299999,23034.014
Italy,1983,98.0,6.0999999,32.66,8.3199997,23294.871
Italy,1984,102.0,6.0999999,33.91,8.5500002,24040.955
Italy,1985,104.0,6.1999998,34.59,8.6599998,24706.502
Italy,1986,106.0,6.1999998,35.18,8.7600002,25411.715
Italy,1987,108.0,6.0999999,35.849998,8.8800001,26220.172
Italy,1988,110.0,6.0,36.889999,9.0799999,27306.746
Italy,1989,114.0,5.9000001,38.200001,9.3100004,28210.836
Italy,1990,117.0,5.9000001,38.57,9.3400002,28746.965
Italy,1991,119.0,5.9000001,38.59,9.29,29169.02
Italy,1992,123.0,6.0,39.130001,9.3199997,29392.398
Italy,1993,129.0,6.1999998,39.869999,9.3400002,29123.928
Italy,1994,134.0,6.3000002,41.540001,9.6199999,29744.332
Italy,1995,137.0,6.4000001,42.77,9.8500004,30602.516
Italy,1996,138.0,6.4000001,42.830002,9.8299999,30987.467
Italy,1997,141.0,6.4000001,43.619999,9.9499998,31539.508
Italy,1998,141.0,6.4000001,43.560001,9.9300003,32039.99
Italy,1999,143.0,6.4000001,43.84,9.96,32534.293
Italy,2000,145.0,6.4000001,45.07,10.2,33726.066
Italy,2001,147.0,6.4000001,45.310001,10.22,34304.48
Italy,2002,149.0,6.4000001,44.939999,10.1,34338.57
Italy,2003,151.0,6.4000001,44.619999,9.9799995,34238.004
Italy,2004,153.0,6.5,45.07,10.02,34555.266
Italy,2005,156.0,6.5999999,45.32,10.02,34712.434
Italy,2006,157.0,6.5999999,45.330002,10.02,35302.703
Italy,2007,158.0,6.6999998,45.290001,9.9899998,35642.594
Italy,2008,161.0,6.6999998,44.990002,9.8500004,35035.332
Italy,2009,169.0,6.9000001,44.009998,9.4799995,32964.145
Italy,2010,172.0,7.0,45.0,9.6400003,33417.145
Italy,2011,173.0,7.1999998,45.23,9.6599998,33552.086
Italy,2012,178.0,7.4000001,45.080002,9.5299997,32518.477
Italy,2013,183.0,7.5999999,45.490002,9.5299997,31588.189
Italy,2014,184.0,7.6999998,45.580002,9.54,31335.27
Italy,2015,182.0,7.9000001,45.48,9.5500002,31611.152
Italy,2016,,,45.119999,9.5200005,31957.701
