Entity,Year,Retail & Recreation,Grocery & Pharmacy,Parks,Transit Stations,Workplaces,Residential
Italy,89,-84.714,-54.714,-83.286,-82.571,-68.429,31.429
Italy,90,-86.0,-53.857,-83.0,-82.286,-68.571,31.571
Italy,91,-87.0,-52.429,-82.286,-81.857,-68.571,31.429
Italy,92,-87.857,-50.714,-81.286,-81.286,-68.286,31.286
Italy,93,-88.143,-49.429,-80.714,-80.857,-68.0,31.143
Italy,94,-88.429,-48.571,-80.429,-80.571,-67.714,31.143
Italy,95,-88.571,-48.143,-80.429,-80.429,-67.571,31.143
Italy,96,-88.857,-47.0,-80.0,-80.0,-67.143,31.0
Italy,97,-87.571,-46.429,-79.571,-79.857,-66.714,30.714
Italy,98,-86.429,-45.857,-79.429,-79.714,-66.286,30.429
Italy,99,-85.143,-44.714,-79.286,-79.571,-65.857,30.143
Italy,100,-84.571,-43.286,-79.0,-79.286,-65.714,29.857
Italy,101,-84.143,-42.429,-78.857,-79.0,-65.571,29.714
Italy,102,-84.286,-44.143,-79.0,-79.286,-66.143,29.857
Italy,103,-86.143,-51.857,-80.429,-81.143,-69.571,31.143
Italy,104,-86.143,-52.286,-80.571,-81.0,-69.286,31.0
Italy,105,-85.857,-52.429,-80.429,-80.714,-68.857,30.857
Italy,106,-85.571,-53.143,-80.286,-80.429,-68.286,30.714
Italy,107,-85.286,-54.143,-80.143,-80.286,-67.571,30.571
Italy,108,-85.143,-55.0,-80.0,-80.143,-67.0,30.429
Italy,109,-84.857,-53.286,-79.571,-79.571,-65.857,30.143
Italy,110,-82.429,-46.857,-78.571,-77.857,-61.714,28.571
Italy,111,-82.143,-47.429,-78.571,-77.857,-61.143,28.429
Italy,112,-82.0,-48.429,-78.571,-77.857,-60.714,28.429
Italy,113,-81.857,-48.857,-78.286,-77.714,-60.286,28.286
Italy,114,-81.286,-47.857,-77.714,-77.286,-59.857,27.857
Italy,115,-82.429,-53.286,-77.857,-78.143,-61.857,28.286
Italy,116,-82.143,-52.143,-77.429,-77.714,-61.286,28.143
Italy,117,-81.143,-50.143,-75.857,-76.714,-60.714,27.714
Italy,118,-80.571,-49.286,-75.143,-76.286,-60.286,27.286
Italy,119,-80.0,-48.0,-74.143,-75.714,-59.714,26.857
Italy,120,-79.0,-45.571,-73.286,-75.143,-59.286,26.286
Italy,121,-81.429,-54.571,-73.714,-77.0,-63.0,28.0
Italy,122,-79.286,-47.571,-72.0,-75.143,-60.143,27.286
Italy,123,-78.857,-47.143,-70.571,-74.429,-59.0,27.143
Italy,124,-76.857,-45.857,-65.143,-72.286,-57.286,26.0
Italy,125,-74.714,-44.143,-59.429,-70.0,-55.571,25.0
Italy,126,-72.714,-43.0,-54.286,-68.0,-54.0,24.0
Italy,127,-71.143,-43.571,-48.714,-66.143,-52.286,23.143
Italy,128,-66.571,-34.0,-42.286,-62.143,-46.429,20.286
Italy,129,-64.429,-32.714,-36.571,-59.571,-44.571,19.143
Italy,130,-62.286,-31.286,-32.0,-56.857,-42.0,18.0
Italy,131,-62.286,-32.143,-34.143,-57.429,-41.714,18.143
Italy,132,-61.714,-31.714,-33.571,-57.143,-41.143,18.143
Italy,133,-61.429,-31.571,-34.571,-57.286,-40.571,18.0
Italy,134,-60.857,-31.143,-34.571,-57.0,-40.143,17.714
Italy,135,-60.571,-31.0,-35.286,-57.0,-39.714,17.571
Italy,136,-60.286,-30.714,-36.143,-57.143,-39.0,17.571
Italy,137,-59.429,-30.0,-33.429,-56.429,-38.0,17.429
Italy,138,-56.571,-28.286,-28.571,-54.571,-37.0,16.714
Italy,139,-54.286,-27.429,-27.857,-53.714,-36.286,16.143
Italy,140,-51.571,-26.143,-24.143,-52.143,-35.571,15.571
Italy,141,-48.857,-24.857,-20.143,-50.714,-34.857,15.143
Italy,142,-46.0,-23.571,-14.714,-49.0,-34.0,14.286
Italy,143,-42.714,-22.286,-7.857,-46.429,-32.571,13.286
Italy,144,-39.143,-19.714,-2.571,-44.0,-30.857,12.286
Italy,145,-38.286,-19.429,-0.429,-43.571,-30.571,12.0
Italy,146,-37.143,-18.857,3.571,-42.714,-30.143,11.571
Italy,147,-36.0,-18.143,6.571,-42.0,-29.571,11.143
Italy,148,-35.286,-17.714,7.286,-41.571,-29.0,10.857
Italy,149,-34.857,-17.429,5.857,-41.429,-28.714,10.714
Italy,150,-34.286,-16.857,5.286,-41.0,-28.143,10.571
Italy,151,-33.429,-15.857,5.571,-40.571,-27.143,10.571
Italy,152,-31.0,-12.857,12.571,-39.429,-28.571,10.429
Italy,153,-31.0,-17.143,28.714,-39.714,-34.0,11.0
Italy,154,-30.571,-16.286,28.429,-38.857,-33.714,10.714
Italy,155,-30.714,-16.143,24.286,-39.0,-33.714,10.571
Italy,156,-29.714,-16.0,25.286,-38.286,-33.429,10.286
Italy,157,-28.429,-15.857,28.714,-37.286,-33.0,9.857
Italy,158,-28.0,-15.429,26.0,-37.857,-33.143,9.714
Italy,159,-29.429,-18.0,17.429,-38.571,-31.286,9.571
Italy,160,-27.857,-13.286,1.714,-37.429,-25.286,8.571
Italy,161,-27.0,-13.857,1.143,-37.714,-25.143,8.571
Italy,162,-25.286,-13.429,5.0,-37.0,-24.714,8.143
Italy,163,-24.0,-13.143,9.857,-36.143,-24.429,7.571
Italy,164,-23.857,-13.429,9.571,-36.286,-24.143,7.286
Italy,165,-22.286,-12.429,14.429,-34.429,-23.143,6.714
Italy,166,-21.286,-12.0,18.143,-33.571,-22.714,6.286
Italy,167,-20.571,-11.571,20.714,-33.0,-22.429,6.143
Italy,168,-19.714,-11.286,23.857,-32.286,-22.143,5.857
Italy,169,-18.857,-11.429,28.571,-31.429,-21.857,5.571
Italy,170,-18.429,-11.429,29.429,-31.0,-21.571,5.429
Italy,171,-17.429,-11.143,34.429,-29.571,-21.143,5.0
Italy,172,-17.286,-11.143,36.857,-28.571,-20.857,4.571
Italy,173,-16.571,-10.857,40.714,-27.857,-21.0,4.286
Italy,174,-15.857,-10.714,45.286,-27.143,-21.0,3.857
Italy,175,-15.143,-10.571,50.429,-26.571,-21.0,3.429
Italy,176,-14.857,-10.143,52.571,-26.0,-20.857,3.143
Italy,177,-14.571,-9.857,55.286,-25.429,-20.857,2.857
Italy,178,-14.714,-9.857,56.286,-25.286,-21.143,2.714
Italy,179,-14.714,-9.857,57.143,-25.0,-20.857,2.429
Italy,180,-14.286,-9.714,59.429,-25.0,-20.857,2.286
Italy,181,-13.857,-9.571,59.571,-25.0,-20.571,2.143
Italy,182,-13.429,-9.143,58.857,-24.714,-20.286,2.0
Italy,183,-13.0,-9.143,59.429,-24.571,-20.143,1.857
Italy,184,-13.0,-9.286,57.571,-24.857,-20.0,1.857
Italy,185,-12.571,-9.143,56.714,-24.857,-20.0,1.857
Italy,186,-12.0,-8.571,57.143,-24.571,-20.143,1.714
Italy,187,-11.714,-8.286,58.286,-24.0,-19.857,1.571
Italy,188,-11.286,-7.857,60.714,-23.571,-20.0,1.429
Italy,189,-11.143,-8.143,64.0,-23.286,-19.857,1.286
Italy,190,-10.857,-8.143,66.714,-23.0,-19.857,1.143
Italy,191,-10.286,-8.0,71.0,-22.429,-19.857,0.857
Italy,192,-10.429,-8.286,71.571,-22.429,-19.714,0.857
Italy,193,-10.143,-8.143,72.571,-22.0,-19.429,0.857
Italy,194,-9.857,-8.0,73.857,-21.714,-19.286,0.714
Italy,195,-9.714,-8.143,75.286,-21.571,-19.143,0.571
Italy,196,-9.429,-8.0,74.857,-21.714,-19.143,0.571
Italy,197,-9.0,-7.857,75.571,-21.571,-19.0,0.429
Italy,198,-8.857,-7.714,75.0,-21.571,-18.857,0.571
Italy,199,-8.286,-7.286,77.143,-20.857,-18.714,0.429
Italy,200,-8.0,-7.143,78.143,-20.429,-18.429,0.286
Italy,201,-7.857,-7.143,80.429,-20.429,-18.429,0.286
Italy,202,-7.714,-7.286,82.429,-20.429,-18.429,0.286
Italy,203,-7.714,-7.286,84.857,-20.286,-18.286,0.143
Italy,204,-7.714,-7.286,86.714,-20.286,-18.286,0.143
Italy,205,-7.857,-7.286,87.0,-20.429,-18.429,0.143
Italy,206,-7.857,-7.571,88.714,-20.143,-18.429,0.0
Italy,207,-7.714,-7.429,89.286,-20.0,-18.286,0.0
Italy,208,-7.286,-7.143,90.571,-19.714,-18.429,-0.143
Italy,209,-7.143,-6.857,91.286,-19.571,-18.429,-0.143
Italy,210,-6.857,-6.714,93.143,-19.286,-18.714,-0.143
Italy,211,-6.714,-6.857,93.286,-19.286,-19.0,-0.143
Italy,212,-6.286,-7.143,95.571,-18.857,-19.143,-0.429
Italy,213,-6.571,-7.286,93.714,-19.143,-19.571,-0.429
Italy,214,-6.571,-6.857,91.857,-19.714,-20.0,-0.286
Italy,215,-6.571,-6.714,89.857,-20.143,-20.714,0.0
Italy,216,-5.714,-6.0,90.286,-20.143,-21.571,0.143
Italy,217,-4.857,-5.429,91.857,-20.143,-22.286,0.286
Italy,218,-4.0,-4.857,95.286,-19.857,-23.0,0.286
Italy,219,-3.571,-4.429,98.429,-19.714,-23.714,0.429
Italy,220,-3.429,-4.429,101.429,-19.0,-24.0,0.429
Italy,221,-3.286,-4.714,105.714,-17.857,-24.0,0.286
Italy,222,-2.286,-4.286,118.571,-17.286,-26.143,0.286
Italy,223,-2.143,-4.429,130.286,-17.286,-28.286,0.286
Italy,224,-2.0,-4.286,140.0,-17.429,-30.571,0.429
Italy,225,-1.857,-3.429,148.429,-17.571,-33.0,0.714
Italy,226,-1.714,-0.714,155.857,-17.857,-35.857,1.0
