Entity,Year,Coal production (TWh),Gas production (TWh),Oil production (TWh),Annual change in coal production (%),Annual change in coal production (TWh),Annual change in oil production (%),Annual change in oil production (TWh),Annual change in gas production (%),Annual change in gas production (TWh),Coal production per capita (kWh),Oil production per capita (kWh),Gas production per capita (kWh)
Italy,1938,15.313,0.0,0.151,18.343,2.374,-7.143,-0.012,,0.0,355.041,3.505,0.0
Italy,1939,21.381,0.0,0.14,39.62,6.067,-7.692,-0.012,,0.0,491.818,3.21,0.0
Italy,1940,26.895,0.0,0.012,25.789,5.514,-91.667,-0.128,,0.0,614.084,0.266,0.0
Italy,1941,27.401,0.0,0.14,1.882,0.506,1100.0,0.128,,0.0,621.305,3.164,0.0
Italy,1942,29.161,0.0,0.151,6.422,1.76,8.333,0.012,,0.0,656.922,3.406,0.0
Italy,1943,16.705,0.0,0.128,-42.714,-12.456,-15.385,-0.023,,0.0,374.055,2.865,0.0
Italy,1944,7.302,0.0,0.081,-56.289,-9.403,-36.364,-0.047,,0.0,162.518,1.812,0.0
Italy,1945,9.77,0.0,0.081,33.797,2.468,0.0,0.0,,0.0,216.133,1.801,0.0
Italy,1946,13.433,0.682,0.128,37.501,3.664,57.143,0.047,,0.682,295.393,2.813,15.001
Italy,1947,15.548,1.002,0.116,15.743,2.115,-9.091,-0.012,46.875,0.32,339.837,2.542,21.9
Italy,1948,10.118,1.247,0.105,-34.925,-5.43,-10.0,-0.012,24.468,0.245,219.815,2.274,27.094
Italy,1949,11.092,2.654,0.105,9.625,0.974,0.0,0.0,112.821,1.407,239.504,2.26,57.311
Italy,1950,10.298,5.436,0.093,-7.16,-0.794,-11.111,-0.012,104.819,2.782,220.986,1.997,116.661
Italy,1951,11.644,10.297,0.209,13.072,1.346,125.0,0.116,89.412,4.861,247.687,4.453,219.036
Italy,1952,10.945,15.275,0.744,-5.998,-0.698,255.556,0.535,48.344,4.978,230.961,15.706,322.317
Italy,1953,11.056,24.303,0.989,1.008,0.11,32.812,0.244,59.107,9.028,231.593,20.708,509.102
Italy,1954,10.314,31.626,0.837,-6.711,-0.742,-15.294,-0.151,30.132,7.323,214.64,17.426,658.178
Italy,1955,10.262,38.661,2.373,-0.504,-0.052,183.333,1.535,22.245,7.035,212.3,49.084,799.851
Italy,1956,9.753,47.594,6.617,-4.958,-0.509,178.922,4.245,23.104,8.932,200.682,136.165,979.317
Italy,1957,9.297,53.158,14.677,-4.674,-0.456,121.793,8.06,11.691,5.564,190.309,300.437,1088.132
Italy,1958,7.92,55.162,17.98,-14.809,-1.377,22.504,3.303,3.77,2.004,161.275,366.114,1123.222
Italy,1959,8.996,65.203,19.713,13.579,1.075,9.638,1.733,18.203,10.041,182.142,399.14,1320.207
Italy,1960,7.936,68.72,23.237,-11.782,-1.06,17.876,3.524,5.395,3.518,159.676,467.541,1382.707
Italy,1961,9.759,73.155,22.934,22.972,1.823,-1.301,-0.302,6.453,4.434,194.975,458.209,1461.569
Italy,1962,9.972,76.225,21.004,2.184,0.213,-8.418,-1.931,4.196,3.07,197.691,416.392,1511.123
Italy,1963,8.101,77.472,20.748,-18.76,-1.871,-1.218,-0.256,1.636,1.247,159.297,407.971,1523.343
Italy,1964,6.768,83.825,31.04,-16.462,-1.334,49.608,10.293,8.2,6.353,131.991,605.394,1634.862
Italy,1965,5.82,83.164,26.493,-14.007,-0.948,-14.65,-4.547,-0.788,-0.661,112.615,512.665,1609.292
Italy,1966,6.026,93.748,21.516,3.554,0.207,-18.788,-4.978,12.728,10.585,115.754,413.261,1800.682
Italy,1967,8.704,99.131,20.038,44.435,2.678,-6.865,-1.477,5.742,5.383,166.008,382.17,1890.613
Italy,1968,7.187,110.878,18.922,-17.43,-1.517,-5.572,-1.116,11.849,11.747,136.135,358.408,2100.178
Italy,1969,7.18,127.485,18.503,-0.102,-0.007,-2.213,-0.419,14.978,16.607,135.074,348.104,2398.385
Italy,1970,5.998,125.816,17.468,-16.461,-1.182,-5.594,-1.035,-1.31,-1.67,112.072,326.394,2350.858
Italy,1971,7.463,128.202,15.735,24.422,1.465,-9.92,-1.733,1.897,2.386,138.486,291.997,2379.007
Italy,1972,4.644,135.873,14.072,-37.776,-2.819,-10.569,-1.663,5.984,7.671,85.583,259.355,2504.173
Italy,1973,5.285,146.752,12.851,13.819,0.642,-8.678,-1.221,8.007,10.879,96.767,235.286,2686.828
Italy,1974,4.788,146.484,12.84,-9.412,-0.497,-0.09,-0.012,-0.183,-0.268,87.12,233.625,2665.4
Italy,1975,5.015,139.618,14.363,4.736,0.227,11.866,1.524,-4.687,-6.866,90.738,259.893,2526.328
Italy,1976,4.953,150.029,15.038,-1.232,-0.062,4.696,0.675,7.456,10.41,89.18,270.762,2701.373
Italy,1977,4.504,131.612,14.491,-9.058,-0.449,-3.635,-0.547,-12.275,-18.417,80.753,259.798,2359.573
Italy,1978,4.555,131.455,17.317,1.118,0.05,19.502,2.826,-0.119,-0.157,81.348,309.294,2347.873
Italy,1979,3.443,128.258,19.969,-24.411,-1.112,15.312,2.652,-2.432,-3.196,61.284,355.455,2283.08
Italy,1980,10.006,119.356,19.852,190.643,6.563,-0.582,-0.116,-6.941,-8.902,177.574,352.309,2118.148
Italy,1981,9.446,133.759,17.294,-5.599,-0.56,-12.888,-2.559,12.067,14.402,167.169,306.055,2367.182
Italy,1982,14.823,137.341,20.504,56.919,5.377,18.561,3.21,2.678,3.582,261.675,361.969,2424.593
Italy,1983,13.617,123.15,26.063,-8.136,-1.206,27.113,5.559,-10.333,-14.191,239.874,459.134,2169.452
Italy,1984,13.842,130.339,26.435,1.657,0.226,1.428,0.372,5.838,7.19,243.43,464.888,2292.157
Italy,1985,14.721,134.192,27.726,6.352,0.879,4.883,1.291,2.956,3.853,258.557,486.96,2356.864
Italy,1986,8.069,150.376,29.75,-45.19,-6.653,7.299,2.024,12.06,16.184,141.597,522.069,2638.924
Italy,1987,7.571,154.118,45.764,-6.172,-0.498,53.831,16.015,2.488,3.742,132.803,802.769,2703.462
Italy,1988,8.092,156.641,56.254,6.886,0.521,22.922,10.49,1.637,2.523,141.921,986.603,2747.207
Italy,1989,8.357,160.113,53.545,3.269,0.265,-4.817,-2.71,2.217,3.472,146.534,938.905,2807.582
Italy,1990,7.89,163.166,54.289,-5.587,-0.467,1.39,0.744,1.907,3.053,138.301,951.63,2860.141
Italy,1991,7.477,164.111,50.381,-5.227,-0.412,-7.198,-3.908,0.579,0.945,130.98,882.516,2874.692
Italy,1992,6.419,171.351,52.347,-14.152,-1.058,3.901,1.965,4.412,7.24,112.331,916.027,2998.51
Italy,1993,4.902,182.378,53.963,-23.636,-1.517,3.088,1.617,6.435,11.027,85.702,943.452,3188.551
Italy,1994,2.077,192.426,56.929,-57.619,-2.824,5.496,2.966,5.51,10.049,36.311,995.024,3363.299
Italy,1995,1.338,190.112,60.895,-35.581,-0.739,6.966,3.966,-1.203,-2.314,23.407,1065.069,3325.124
Italy,1996,1.066,190.309,63.407,-20.349,-0.272,4.125,2.512,0.103,0.197,18.68,1111.128,3334.933
Italy,1997,1.681,184.859,69.175,57.664,0.615,9.098,5.768,-2.864,-5.45,29.535,1215.656,3248.63
Italy,1998,1.471,182.382,65.384,-12.5,-0.21,-5.481,-3.791,-1.34,-2.477,25.917,1152.286,3214.184
Italy,1999,0.895,167.681,58.324,-39.153,-0.576,-10.797,-7.059,-8.06,-14.7,15.794,1029.456,2959.659
Italy,2000,0.109,159.587,53.335,-87.826,-0.786,-8.554,-4.989,-4.827,-8.094,1.921,940.785,2814.971
Italy,2001,1.082,146.247,48.009,892.858,0.973,-9.987,-5.327,-8.359,-13.34,19.016,844.106,2571.374
Italy,2002,1.268,140.304,64.326,17.266,0.187,33.987,16.317,-4.064,-5.943,22.18,1124.916,2453.623
Italy,2003,1.945,133.222,64.779,53.374,0.677,0.705,0.454,-5.048,-7.083,33.792,1125.329,2314.299
Italy,2004,0.763,124.36,63.604,-60.8,-1.183,-1.813,-1.175,-6.652,-8.862,13.159,1097.605,2146.039
Italy,2005,0.739,115.823,71.071,-3.061,-0.023,11.739,7.466,-6.864,-8.536,12.683,1219.448,1987.316
Italy,2006,0.163,105.345,67.093,-77.895,-0.576,-5.596,-3.977,-9.047,-10.479,2.791,1146.062,1799.451
Italy,2007,1.229,93.127,68.159,652.381,1.066,1.588,1.065,-11.598,-12.218,20.926,1160.194,1585.194
Italy,2008,0.91,88.152,60.895,-25.949,-0.319,-10.658,-7.264,-5.342,-4.975,15.45,1033.475,1496.073
Italy,2009,0.56,76.324,53.176,-38.462,-0.35,-12.676,-7.719,-13.418,-11.828,9.478,899.671,1291.315
Italy,2010,0.786,80.066,59.385,40.278,0.226,11.677,6.209,4.902,3.742,13.247,1001.008,1349.605
Italy,2011,0.716,80.478,61.72,-8.911,-0.07,3.932,2.335,0.515,0.413,12.013,1035.761,1350.554
Italy,2012,0.622,81.958,62.765,-13.044,-0.093,1.692,1.045,1.839,1.48,10.395,1048.182,1368.717
Italy,2013,0.568,73.675,63.986,-8.75,-0.054,1.946,1.221,-10.107,-8.283,9.44,1063.473,1224.511
Italy,2014,0.669,68.096,67.049,17.808,0.101,4.787,3.063,-7.573,-5.579,11.077,1109.904,1127.23
Italy,2015,0.63,64.497,63.618,-5.814,-0.039,-5.116,-3.43,-5.285,-3.599,10.404,1050.183,1064.683
Italy,2016,0.0,55.098,43.723,-100.0,-0.63,-31.273,-19.895,-14.573,-9.399,0.0,720.755,908.257
Italy,2017,,52.731,48.244,,,10.339,4.52,-4.296,-2.367,,795.131,869.085
Italy,2018,,51.892,54.477,,,12.921,6.234,-1.59,-0.839,,898.56,855.918
Italy,2019,,46.212,49.76,,,-8.66,-4.717,-10.945,-5.679,,821.795,763.211
Italy,2020,,38.757,63.058,,,26.724,13.298,-16.133,-7.456,,1042.935,641.015
