Entity,Year,Agriculture,Agriculture (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Waste,Waste (per capita)
Italy,2004,13.64,0.2353817371486274,5.1,0.0880093005467741,0.04,0.0006902690238962,8.93,0.1541025595848418,0.0,0.0,5.06,0.0873190315228779,29.0,0.5004450423247943,29.0,0.5004450423247943,1.32,0.0227788777885768
Italy,2005,12.99,0.2228848752948828,5.35,0.0917963112261449,0.04,0.0006863275605693,8.25,0.1415550593674197,0.0,0.0,5.32,0.0912815655557179,27.92,0.4790566372773771,27.92,0.4790566372773771,1.32,0.0226488094987871
Italy,2006,12.87,0.2198398401000816,5.41,0.092411308076258,0.04,0.0006832629062939,3.32,0.0567108212223986,0.0,0.0,5.37,0.0917280451699641,22.92,0.391509645306439,22.92,0.391509645306439,1.32,0.0225476759077006
Italy,2007,12.97,0.2207739917411803,5.63,0.0958332747496411,0.04,0.0006808758419157,2.58,0.0439164918035655,0.03,0.0005106568814368,5.59,0.0951523989077253,22.5,0.3829926610776065,22.53,0.3835033179590433,1.33,0.0226391217436985
Italy,2008,12.34,0.2094290028552267,5.63,0.0955498611081788,0.04,0.000678862245884,1.72,0.0291910765730137,0.0,0.0,5.59,0.0948709988622947,21.03,0.3569118257735347,21.04,0.3570815413350056,1.34,0.0227418852371153
Italy,2009,11.13,0.1883069600384207,5.28,0.0893316036839947,0.04,0.0006767545733635,1.74,0.0294388239413164,0.01,0.0001691886433408,5.24,0.0886548491106311,19.49,0.3297486658714123,19.49,0.3297486658714123,1.34,0.0226712782076804
Italy,2010,11.09,0.186935636425324,5.25,0.0884952291463436,0.03,0.0005056870236933,1.22,0.0205646056301979,0.0,0.0,5.21,0.0878209797814191,18.91,0.3187513872680683,18.91,0.3187513872680683,1.34,0.0225873537249715
Italy,2011,11.09,0.1861079557039571,4.67,0.0783700769285374,0.03,0.0005034480316608,0.84,0.0140965448865035,0.0,0.0,4.63,0.0776988128863229,17.9,0.3003906588909677,17.9,0.3003906588909677,1.3,0.0218160813719697
Italy,2012,11.57,0.1932214863161194,4.81,0.0803280336370384,0.03,0.0005010064468006,0.83,0.0138611783614848,0.02,0.0003340042978671,4.77,0.0796600250413042,18.52,0.309287979824938,18.54,0.3096219841228051,1.32,0.0220442836592288
Italy,2013,11.53,0.191633835175755,4.72,0.0784485431075076,0.03,0.000498613621446,0.77,0.0127977496171146,0.0,0.0,4.69,0.0779499294860616,18.38,0.3054839454059302,18.38,0.3054839454059302,1.35,0.022437612965071
Italy,2014,11.35,0.187883976496327,4.51,0.0746569809690251,0.03,0.0004966096295057,0.63,0.0104288022196199,0.0,0.0,4.48,0.0741603713395194,17.84,0.295317193012729,17.85,0.2954827295558976,1.35,0.0223474333277569
Italy,2015,11.49,0.1896712874433035,4.63,0.0764297703100518,0.03,0.0004952252935856,0.61,0.0100695809695748,0.0,0.0,4.6,0.0759345450164661,18.08,0.2984557769342843,18.08,0.2984557769342843,1.35,0.0222851382113542
Italy,2016,11.62,0.1915498240214293,4.52,0.074509914335358,0.03,0.0004945348296594,0.57,0.0093961617635296,0.0,0.0,4.48,0.0738505345624787,18.06,0.2977099674549925,18.06,0.2977099674549925,1.35,0.0222540673346755
Italy,2017,11.53,0.190032932558878,4.51,0.0743320490755021,0.03,0.0004944482200144,0.58,0.0095593322536122,0.03,0.0004944482200144,4.48,0.0738376008554877,17.96,0.2960096677153034,17.99,0.2965041159353178,1.35,0.0222501699006492
Italy,2018,11.47,0.189188726905182,4.5,0.0742239992217366,0.03,0.0004948266614782,0.58,0.0095666487885793,0.0,0.0,4.47,0.0737291725602583,17.9,0.295246574682019,17.91,0.2954115169025118,1.35,0.0222671997665209
