Entity,Year,Coal production (TWh),Oil production (TWh),Gas production (TWh),Annual change coal production (%),Annual change in coal production (TWh),Annual change oil production (%),Annual change in oil production (TWh),Annual change gas production (%),Annual change in gas production (TWh),Coal production per capita (kWh),Oil production per capita (kWh),Gas production per capita (kWh)
Italy,1934,4.473446356532,0.23260018608,0.0,22.37988708710241,0.8180692655659993,-25.92592592592593,-0.081410065128,,0.0,106.34715676407882,5.529599883607484,0.0
Italy,1935,5.567036120291999,0.186080148864,0.0,24.44624740303796,1.0935897637599998,-20.000000000000007,-0.046520037216,,0.0,131.30830339290716,4.389026425276696,0.0
Italy,1936,9.722970833926,0.186080148864,0.0,74.65255521668892,4.155934713634001,0.0,0.0,,0.0,227.58978983509743,4.355658645469894,0.0
Italy,1937,12.939885629678,0.162820130256,0.0,33.08571886822222,3.2169147957519986,-12.5,-0.023260018608,,0.0,300.5692662578981,3.782006153966226,0.0
Italy,1938,15.313481417442002,0.151190120952,0.0,18.34325167697073,2.3735957877640037,-7.14285714285714,-0.0116300093039999,,0.0,352.66083521688023,3.4818231647013658,0.0
Italy,1939,21.380680715642,0.139560111648,0.0,39.61998668238485,6.067199298199999,-7.692307692307699,-0.011630009304,,0.0,487.6229969468657,3.182907073966541,0.0
Italy,1940,26.894584293428004,0.011630009304,0.0,25.78918628045393,5.513903577786003,-91.66666666666666,-0.127930102344,,0.0,607.3096575499186,0.2626185588390201,0.0
Italy,1941,27.400804420626,0.139560111648,0.0,1.8822381549942648,0.5062201271979951,1100.0,0.127930102344,,0.0,613.4844495353551,3.1246512677933254,0.0
Italy,1942,29.160519439508,0.151190120952,0.0,6.422129043618052,1.7597150188820017,8.333333333333348,0.011630009304,,0.0,648.8376720614763,3.364063741069073,0.0
Italy,1943,16.704869197218002,0.127930102344,0.0,-42.71408905499302,-12.455650242289998,-15.384615384615383,-0.023260018608,,0.0,370.1670539483761,2.834832678838289,0.0
Italy,1944,7.301880285944,0.081410065128,0.0,-56.28891073771448,-9.402988911274004,-36.36363636363637,-0.046520037216,,0.0,161.28260528520852,1.7981707294705214,0.0
Italy,1945,9.769712537986,0.081410065128,0.0,33.7972159964405,2.467832252042001,0.0,0.0,,0.0,214.92502037527143,1.79094930770548,0.0
Italy,1946,13.43342185784,0.127930102344,0.682194712422,37.500687001884536,3.663709319854,57.14285714285716,0.046520037216,,0.682194712422,293.90798524734583,2.7989650760850564,14.9256440835531
Italy,1947,15.54828049417,0.11630009304,1.001973301578,15.74326079170758,2.11485863633,-9.090909090909092,-0.011630009304,46.87497327862423,0.3197785891559999,337.8664560240885,2.527218381828797,21.773029407454462
Italy,1948,10.118045872208,0.104670083736,1.24713710882,-34.9249849460725,-5.430234621962001,-10.000000000000009,-0.011630009304,24.46809778822385,0.2451638072420001,218.27398123395903,2.2580205883335136,26.904165619022464
Italy,1949,11.091864984596002,0.104670083736,2.6541635122180005,9.624576965625977,0.9738191123880018,0.0,0.0,112.82050653831335,1.4070264033980004,238.72135447901127,2.252730645170177,57.12344222773899
Italy,1950,10.297636571436,0.093040074432,5.436238515654001,-7.160458716933515,-0.7942284131600008,-11.111111111111104,-0.0116300093039999,104.8192769823404,2.782075003436,220.984067714672,1.996610966587266,116.65998230979208
Italy,1951,11.643760148334,0.209340167472,10.296875181938,13.072160466722329,1.3461235768979982,124.99999999999996,0.1163000930399999,89.41176242152513,4.860636666284,247.6868782883216,4.453098648627952,219.03584730776436
Italy,1952,10.945367645176,0.744320595456,15.274764164246,-5.997998020063355,-0.698392503157999,255.5555555555556,0.534980427984,48.343685772163546,4.977888982308,230.9587821564432,15.70594829094132,322.3136073145956
Italy,1953,11.055657733408,0.98855079084,24.303183886976,1.007641696536421,0.1102900882320003,32.8125,0.244230195384,59.1067700008294,9.028419722729996,231.59515121201585,20.708272217357607,509.10580654368727
Italy,1954,10.313662139812,0.837360669888,31.626116967540003,-6.711455903286867,-0.7419955935960019,-15.294117647058837,-0.1511901209520001,30.131579115806066,7.322933080564006,214.63990634559116,17.4264983015546,658.1781225685211
Italy,1955,10.261661264878,2.372521898016,38.661249262308,-0.5041940896363895,-0.0520008749339986,183.33333333333331,1.535161228128,22.24469194871006,7.035132294767994,212.29852004464584,49.08395187884807,799.8437864595332
Italy,1956,9.752909468988,6.617475293976001,47.59373529718,-4.957791752796159,-0.5087517958899994,178.92156862745102,4.2449533959600005,23.104494048464574,8.932486034872007,200.68127881207437,136.16484483170436,979.3151154793308
