Entity,Year,Aviation and shipping,Aviation and shipping (per capita),Buildings,Buildings (per capita),Electricity and heat,Electricity and heat (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Manufacturing and construction,Manufacturing and construction (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Transport,Transport (per capita)
Italy,2000,13.77,0.2428906506290867,69.19,1.2204505531609668,152.91,2.697197486397506,420.44,7.416190642737345,0.0,0.0,15.86,0.279756406606922,-34.52,-0.6089023427535277,73.35,1.2938292827627824,8.63,0.1522255856883819,436.3,7.695947049344268,401.78,7.087044706590739,116.36,2.052487734727708
Italy,2001,13.38,0.2352521350801583,72.92,1.2821065538150336,149.24,2.6239931718507354,420.18,7.387760995364795,0.0,0.0,16.39,0.2881750742872792,-34.71,-0.6102841262057024,70.87,1.246062691564337,8.66,0.1522633400444074,436.57,7.6759360696520735,401.86,7.065651943446372,118.49,2.0833352380902816
Italy,2002,13.89,0.2429063944207706,68.96,1.205962920032854,158.91,2.778996050209119,427.18,7.470464619774284,0.0,0.0,16.29,0.2848772617072969,-34.71,-0.6070036681313858,69.96,1.22345078140224,8.62,0.1507453650041067,443.47,7.755341881481581,408.76,7.148338213350195,120.75,2.111659260353352
Italy,2003,15.41,0.2676992968715541,73.69,1.28012726712945,164.5,2.8576595934698674,445.26,7.734963590202998,0.0,0.0,16.94,0.2942781368594502,-34.71,-0.602974860117563,76.46,1.328247127761131,8.8,0.1528717594075065,462.2,8.029241727062448,427.49,7.426266866944885,121.81,2.116057842435043
Italy,2004,15.67,0.270412890111363,75.55,1.303745618884076,178.32,3.0772193085295627,454.99,7.851637579564075,0.0,0.0,17.41,0.3004395926508506,-34.71,-0.5989809454859866,68.28,1.1782892237909297,8.81,0.152031752513153,472.41,8.1522497394709,437.69,7.553096226728939,124.04,2.1405242431023277
Italy,2005,16.21,0.2781342439207121,80.3,1.3778025778428855,177.76,3.0500396791700046,456.43,7.831512211766232,0.0,0.0,17.4,0.2985524888476489,-34.71,-0.5955607406840171,66.47,1.1405048237760476,8.95,0.1535657916773826,473.83,8.13006470061388,439.12,7.534503959929863,122.96,2.1097709211900524
Italy,2006,17.14,0.2927781553469618,74.71,1.2761642932305437,179.72,3.069900237978762,449.18,7.672700806228023,0.0,0.0,17.47,0.298415074323887,-34.71,-0.5929013869365837,61.76,1.0549579273178742,8.74,0.1492929450252302,466.65,7.97111588055191,431.94,7.378214493615327,124.26,2.1225562184021864
Italy,2007,17.98,0.3060536909411273,68.44,1.1649785655178395,179.47,3.0549196837154686,441.46,7.5144862293031185,0.0,0.0,17.91,0.3048621582177748,-34.71,-0.5908300118223877,60.54,1.03050558673948,8.28,0.1409412992765591,459.37,7.819348387520893,424.66,7.228518375698506,124.74,2.1233113130142502
Italy,2008,18.0,0.3054880106478185,72.45,1.2295892428574695,173.55,2.9454135693293844,428.86,7.278421569245748,0.0,0.0,16.13,0.2737512006527396,-34.71,-0.5890827138658767,56.96,0.9666998381388748,7.97,0.1352633024923952,444.98,7.552003054337017,410.27,6.96292034047114,117.93,2.001455616427625
Italy,2009,16.55,0.280007204729188,73.2,1.2384608692553816,147.37,2.49333303691483,383.72,6.492106622276981,0.0,0.0,13.34,0.2256976502167594,-34.71,-0.5872537810362609,43.23,0.7314025051627069,8.08,0.1367044238194465,397.06,6.717804272493741,362.34,6.130381302814138,111.84,1.892205787124616
Italy,2010,19.08,0.3216169470689975,76.15,1.283602228475061,153.13,2.5811951312723056,391.99,6.607475213919097,0.0,0.0,13.28,0.2238507891549417,-34.71,-0.585079886413255,45.8,0.772015522838579,7.72,0.1301301274304329,405.27,6.831326003074037,370.56,6.246246116660783,109.19,1.8405322039027168
Italy,2011,17.78,0.2983768667643244,70.39,1.1812568982868838,152.01,2.550971176425475,384.11,6.445980781374839,0.0,0.0,12.58,0.2111125412764455,-34.67,-0.5818181085893772,45.03,0.7556754955229206,7.53,0.1263654559468708,396.69,6.657093322651285,362.02,6.075275214061907,109.15,1.831711755192689
Italy,2012,17.25,0.2880787069103769,69.57,1.16183395013072,144.03,2.4053319510899467,366.68,6.123634797095479,0.0,0.0,10.07,0.1681711639760867,-34.67,-0.5789964503526241,43.32,0.7234533091801465,7.25,0.121076557976825,376.75,6.2918059610715655,342.08,5.712809510718941,102.51,1.7119390287178398
Italy,2013,16.02,0.2662596738521764,69.04,1.147476147487782,122.62,2.0380000753903795,337.58,5.6107328775916185,0.0,0.0,8.88,0.1475896319480229,-34.67,-0.576231141851121,38.09,0.6330730946959677,7.11,0.1181714282827075,346.45,5.75815630499916,311.79,5.182091367688521,100.72,1.6740121317347825
Italy,2014,15.39,0.2547607399364293,57.79,0.9566356829711664,113.74,1.882812641999316,319.16,5.283264311768082,0.0,0.0,8.34,0.1380574770025874,-34.67,-0.5739151951654324,35.12,0.581364339608018,7.11,0.1176964821928533,327.49,5.421156252227501,292.83,4.847406593605237,105.39,1.74458962845356
Italy,2015,15.6,0.2575171526645374,63.59,1.049712547303714,120.89,1.9955928580523032,329.66,5.441865676114834,,,8.2,0.135361580246744,-34.67,-0.5723153642871482,34.85,0.5752867160486621,7.32,0.1208349716348983,337.86,5.577227256361578,303.19,5.004911892074429,103.01,1.7004385830752564
Italy,2016,16.99,0.2800715585304719,63.65,1.0492380635941458,118.19,1.9483023839150369,325.66,5.368340420896616,,,7.68,0.1266009163928207,-12.82,-0.2113312172078075,34.65,0.5711877282566717,7.45,0.1228094826987649,333.34,5.494941337289435,320.52,5.283610120081629,101.71,1.6766379174887758
Italy,2017,17.65,0.290900369441821,63.46,1.0459228014038504,121.19,1.9974059927849457,321.48,5.298507125674597,,,7.71,0.1270731925437076,-12.82,-0.2112942060194983,31.92,0.52609290609535,7.3,0.1203157335368438,329.19,5.425580318218304,316.37,5.214286112198806,97.61,1.6087696918536063
Italy,2018,20.23,0.3336781120568293,63.58,1.048702637892892,113.38,1.8701148959467773,317.14,5.230977580707012,,,7.71,0.1271704519999087,-12.82,-0.211455926671703,32.26,0.5321036033096053,7.72,0.1273353942204015,324.85,5.3581480327069215,312.03,5.146692106035217,100.2,1.6527210493373357
