Entity,Year,Significant earthquake events (NGDC-NASA)
Italy,1659,1
Italy,1660,1
Italy,1661,1
Italy,1662,0
Italy,1663,0
Italy,1664,0
Italy,1665,0
Italy,1666,0
Italy,1667,0
Italy,1668,0
Italy,1669,1
Italy,1670,0
Italy,1671,0
Italy,1672,1
Italy,1673,0
Italy,1674,0
Italy,1675,0
Italy,1676,0
Italy,1677,0
Italy,1678,0
Italy,1679,0
Italy,1680,0
Italy,1681,0
Italy,1682,0
Italy,1683,0
Italy,1684,0
Italy,1687,0
Italy,1688,3
Italy,1689,0
Italy,1690,0
Italy,1691,0
Italy,1692,0
Italy,1693,1
Italy,1694,1
Italy,1695,2
Italy,1696,0
Italy,1697,0
Italy,1698,0
Italy,1699,0
Italy,1700,0
Italy,1701,0
Italy,1702,1
Italy,1703,3
Italy,1704,0
Italy,1705,0
Italy,1706,1
Italy,1707,0
Italy,1708,0
Italy,1709,0
Italy,1710,0
Italy,1711,0
Italy,1713,0
Italy,1714,0
Italy,1715,0
Italy,1716,0
Italy,1717,0
Italy,1718,0
Italy,1719,0
Italy,1720,0
Italy,1721,0
Italy,1722,0
Italy,1723,0
Italy,1725,0
Italy,1726,1
Italy,1727,1
Italy,1728,0
Italy,1729,0
Italy,1730,2
Italy,1731,1
Italy,1732,1
Italy,1733,0
Italy,1734,0
Italy,1735,0
Italy,1736,0
Italy,1737,0
Italy,1738,0
Italy,1739,0
Italy,1740,0
Italy,1741,1
Italy,1742,0
Italy,1743,0
Italy,1744,0
Italy,1746,0
Italy,1747,0
Italy,1748,0
Italy,1749,0
Italy,1750,0
Italy,1751,2
Italy,1752,0
Italy,1754,0
Italy,1755,0
Italy,1756,0
Italy,1757,2
Italy,1758,0
Italy,1759,1
Italy,1760,0
Italy,1761,0
Italy,1762,0
Italy,1763,0
Italy,1764,0
Italy,1765,0
Italy,1766,0
Italy,1767,1
Italy,1768,1
Italy,1769,0
Italy,1770,0
Italy,1771,0
Italy,1772,0
Italy,1773,0
Italy,1774,0
Italy,1775,0
Italy,1776,0
Italy,1777,0
Italy,1778,0
Italy,1779,0
Italy,1780,0
Italy,1781,1
Italy,1782,0
Italy,1783,8
Italy,1784,2
Italy,1785,0
Italy,1786,1
Italy,1787,0
Italy,1788,0
Italy,1789,1
Italy,1790,0
Italy,1791,1
Italy,1792,0
Italy,1793,0
Italy,1794,0
Italy,1795,0
Italy,1796,1
Italy,1797,0
Italy,1798,1
Italy,1799,2
Italy,1800,0
Italy,1801,0
Italy,1802,1
Italy,1803,0
Italy,1804,0
Italy,1805,1
Italy,1806,1
Italy,1808,1
Italy,1809,0
Italy,1810,0
Italy,1811,0
Italy,1812,1
Italy,1813,0
Italy,1814,0
Italy,1815,0
Italy,1816,0
Italy,1817,0
Italy,1818,3
Italy,1819,1
Italy,1820,0
Italy,1821,0
Italy,1822,0
Italy,1823,1
Italy,1824,0
Italy,1825,0
Italy,1826,0
Italy,1827,0
Italy,1828,1
Italy,1829,0
Italy,1830,0
Italy,1831,2
Italy,1832,2
Italy,1833,0
Italy,1834,1
Italy,1835,1
Italy,1836,2
Italy,1837,1
Italy,1838,0
Italy,1839,0
Italy,1840,0
Italy,1841,0
Italy,1842,0
Italy,1843,0
Italy,1844,0
Italy,1845,0
Italy,1846,2
Italy,1847,0
Italy,1848,1
Italy,1849,0
Italy,1850,0
Italy,1851,1
Italy,1852,0
Italy,1853,2
Italy,1854,2
Italy,1855,0
Italy,1856,1
Italy,1857,2
Italy,1858,0
Italy,1859,2
Italy,1860,0
Italy,1861,1
Italy,1862,0
Italy,1863,0
Italy,1864,0
Italy,1865,1
Italy,1866,0
Italy,1867,0
Italy,1868,1
Italy,1869,0
Italy,1870,3
Italy,1871,1
Italy,1872,0
Italy,1873,2
Italy,1874,0
Italy,1875,0
Italy,1876,0
Italy,1877,0
Italy,1878,0
Italy,1879,1
Italy,1880,0
Italy,1881,1
Italy,1882,1
Italy,1883,1
Italy,1884,0
Italy,1885,0
Italy,1886,0
Italy,1887,3
Italy,1888,0
Italy,1889,0
Italy,1890,0
Italy,1891,0
Italy,1892,0
