Entity,Year,Nickel Production (Clio-Infra & USGS),Tungsten Production (Clio-Infra & USGS),Zinc Production (Clio-Infra & USGS),Silver Production (Clio-Infra & USGS),Bauxite Production (Clio-Infra & USGS),Iron Ore Production (Clio-Infra & USGS),Gold Production (Clio-Infra & USGS),Tin Production (Clio-Infra & USGS),Lead Production (Clio-Infra & USGS),Copper Production (Clio-Infra & USGS),Aluminium Production (Clio-Infra & USGS),Manganese Production (Clio-Infra & USGS)
Italy,1839,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1840,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1841,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1842,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1843,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1844,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1845,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1846,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1847,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1848,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1849,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
Italy,1850,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1851,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1852,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1853,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1854,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1855,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1856,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1857,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1858,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1859,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1860,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1861,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1862,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1863,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
Italy,1864,,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,,0.0,0.0
Italy,1865,,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,,0.0,0.0
Italy,1866,,0.0,2.0,0.0,,0.0,0.0,0.0,3.0,,0.0,0.0
Italy,1867,,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0
Italy,1868,,0.0,17.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0
Italy,1869,,0.0,27.0,0.0,,0.0,0.0,0.0,4.0,,0.0,0.0
Italy,1870,,0.0,31.0,0.0,,0.0,0.0,0.0,4.0,,0.0,0.0
Italy,1871,,0.0,19.0,0.0,,0.0,0.0,0.0,4.0,,0.0,0.0
Italy,1872,,0.0,27.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0
Italy,1873,,0.0,26.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0
Italy,1874,,0.0,22.0,0.0,,0.0,0.0,0.0,4.0,,0.0,0.0
Italy,1875,,0.0,21.0,0.0,,0.0,0.0,0.0,6.0,,0.0,0.0
Italy,1876,,0.0,22.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0
Italy,1877,,0.0,30.0,0.0,,0.0,0.0,0.0,6.0,,0.0,0.0
Italy,1878,,0.0,21.0,0.0,,0.0,0.0,0.0,9.0,,0.0,0.0
Italy,1879,,0.0,25.0,0.0,,0.0,0.0,0.0,9.0,,0.0,0.0
Italy,1880,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0
Italy,1881,,0.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,,0.0,0.0
Italy,1882,,0.0,31.0,0.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0
Italy,1883,,0.0,33.0,0.0,0.0,0.0,0.0,0.0,14.0,,0.0,0.0
Italy,1884,,0.0,35.0,0.0,0.0,0.0,0.0,0.0,15.0,,0.0,0.0
Italy,1885,,0.0,36.0,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0
Italy,1886,,0.0,36.0,0.0,0.0,0.0,0.0,0.0,19.0,,0.0,0.0
Italy,1887,,0.0,31.0,0.0,0.0,0.0,0.0,0.0,19.0,,0.0,0.0
Italy,1888,,0.0,29.0,0.0,0.0,0.0,0.0,0.0,17.0,,0.0,0.0
Italy,1889,,0.0,32.0,0.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0
Italy,1890,,0.0,36.0,0.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0
Italy,1891,,0.0,40.0,28.0,0.0,0.0,0.0,0.0,19.0,,0.0,0.0
Italy,1892,,0.0,43.0,30.0,0.0,0.0,0.0,0.0,22.0,,0.0,0.0
Italy,1893,,0.0,44.0,40.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0
Italy,1894,,0.0,44.0,59.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0
Italy,1895,,0.0,40.0,55.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0
Italy,1896,,0.0,39.0,38.0,0.0,0.0,0.0,0.0,21.0,,0.0,0.0
Italy,1897,,0.0,41.0,38.0,0.0,0.0,0.0,0.0,22.0,,0.0,0.0
Italy,1898,,0.0,44.0,25.0,0.0,0.0,0.0,0.0,25.0,,0.0,0.0
Italy,1899,,0.0,50.0,26.0,0.0,0.0,0.0,0.0,21.0,,0.0,0.0
