Entity,Year,Mean male height (cm),Mean female height (cm),Male-to-female height ratio,Change in male height (cm),Change in female height (cm),Change in male height (%),Change in female height (%)
Italy,1945,170.6063446,158.5390622,1.076115515,,,,
Italy,1946,170.7872085,158.6123873,1.076758325,,,,
Italy,1947,170.9770519,158.6898419,1.07742909,,,,
Italy,1948,171.1757913,158.7719745,1.078123465,,,,
Italy,1949,171.3810389,158.8589231,1.078825385,,,,
Italy,1950,171.5916105,158.952529,1.079514819,,,,
Italy,1951,171.8051804,159.0532739,1.080173807,,,,
Italy,1952,172.0207672,159.1611535,1.080796183,,,,
Italy,1953,172.2383203,159.2772466,1.081374295,,,,
Italy,1954,172.4570375,159.4019447,1.081900461,,,,
Italy,1955,172.6750802,159.535411,1.082362086,,,,
Italy,1956,172.891422,159.6772805,1.082755302,,,,
Italy,1957,173.1072161,159.8276435,1.083086832,,,,
Italy,1958,173.3237192,159.9861302,1.083367158,,,,
Italy,1959,173.5397358,160.1511037,1.083599999,,,,
Italy,1960,173.7539073,160.3221039,1.083780109,,,,
Italy,1961,173.9657949,160.4979442,1.083912917,,,,
Italy,1962,174.1746833,160.6761807,1.084010602,,,,
Italy,1963,174.3781937,160.8530159,1.08408408,,,,
Italy,1964,174.5723197,161.0251309,1.084130898,,,,
Italy,1965,174.756497,161.1908069,1.084159205,,,,
Italy,1966,174.9318122,161.349927,1.084176581,,,,
Italy,1967,175.1013061,161.5042243,1.084190255,,,,
Italy,1968,175.2666032,161.6544522,1.084205234,,,,
Italy,1969,175.4307201,161.8018567,1.084231811,,,,
Italy,1970,175.5938574,161.9458544,1.0842751,,,,
Italy,1971,175.7550285,162.0867926,1.084326648,,,,
Italy,1972,175.91287,162.2243148,1.084380416,,,,
Italy,1973,176.0657528,162.3577623,1.084430768,,,,
Italy,1974,176.2121946,162.4868109,1.084470756,,,,
Italy,1975,176.3497451,162.6100954,1.084494445,,,,
Italy,1976,176.4770467,162.7273369,1.08449539,,,,
Italy,1977,176.5930542,162.8381359,1.084469883,,,,
Italy,1978,176.697876,162.9432759,1.084413426,,,,
Italy,1979,176.7926177,163.0436743,1.084326751,,,,
Italy,1980,176.8790491,163.1412931,1.084207718,,,,
Italy,1981,176.9604376,163.2376709,1.084066176,,,,
Italy,1982,177.0388938,163.3341351,1.083906274,,,,
Italy,1983,177.1136032,163.4312684,1.083719198,,,,
Italy,1984,177.1833687,163.5286995,1.083500139,,,,
Italy,1985,177.2473389,163.625582,1.083249555,,,,
Italy,1986,177.3056498,163.7210051,1.082974354,,,,
Italy,1987,177.3587805,163.8147993,1.082678618,,,,
Italy,1988,177.4079672,163.9068312,1.082370795,,,,
Italy,1989,177.4546931,163.996627,1.082063066,,,,
Italy,1990,177.4995803,164.0843612,1.08175806,,,,
Italy,1991,177.543999,164.1716899,1.081453198,,,,
Italy,1992,177.5883487,164.2591696,1.081147245,,,,
Italy,1993,177.6328607,164.3468908,1.080841018,,,,
Italy,1994,177.6777128,164.4341636,1.080540132,,,,
Italy,1995,177.7227248,164.5216085,1.080239407,,,,
Italy,1996,177.7676279,164.6091934,1.079937422,13.0566994,11.1055177,7.927038915,7.23469171
