Entity,Year,Primary energy (TWh),Fossil Fuels (TWh),Low-carbon energy (TWh),Coal (% primary direct energy),Gas (% primary direct energy),Oil (% primary direct energy),Nuclear (% primary direct energy),Hydro (% primary direct energy),Renewables (% primary direct energy),Solar (% primary direct energy),Wind (% primary direct energy),Other renewables (% primary direct energy),Coal (% sub energy),Gas (% sub energy),Oil (% sub energy),Nuclear (% sub energy),Hydro (% sub energy),Renewables (% sub energy),Solar (% sub energy),Wind (% sub energy),Other renewables (% sub energy),Fossil fuels (% sub energy),Low-carbon energy (% sub energy),Coal (% growth),Coal (TWh growth – sub method),Gas (% growth),Gas (TWh growth – sub method),Oil (% growth),Oil (TWh growth – sub method),Nuclear (% growth),Nuclear (TWh growth – sub method),Hydro (% growth),Hydro (TWh growth – sub method),Solar (% growth),Solar (TWh growth – sub method),Wind (% growth),Wind (TWh growth – sub method),Other renewables (% growth),Other renewables (TWh growth – sub method),Renewables (% growth),Renewables ((TWh growth – sub method),Fossil fuels (% growth),Fossil fuels (TWh growth – sub method),Low-carbon energy (% growth),Low-carbon energy (TWh growth – sub method),Fossil Fuels (% primary direct energy),Low-carbon energy (% primary direct energy),Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh),Solar per capita (kWh),Wind per capita (kWh),Hydro per capita (kWh),Renewables per capita (kWh),Fossil fuels per capita (kWh),Low-carbon energy per capita(kWh),Other renewables per capita (kWh),Hydro (TWh – sub method),Nuclear (TWh – sub method),Renewables (TWh – sub method),Solar (TWh – sub method),Wind (TWh – sub method),Other renewables (TWh – sub method),Low-carbon energy (TWh – sub method),Primary energy – direct (TWh),Biofuels (TWh),Biofuels (% primary direct energy),Biofuels (% sub energy),Biofuels (% growth),Biofuels (TWh growth – sub method),Biofuels per capita (kWh)
Italy,1977,,1502.517027845994,,,,,,,,,,,6.697793289642215,15.679168746385574,67.9004213957166,0.5649578927377564,8.535120140831944,,0.0,0.0,0.6225385346859178,90.2773834317444,,-1.66204986149584,-1.884061507247992,2.1261482678021304,5.432754346200028,-2.7555121123667425,-32.02213172879601,-11.084843708957193,-1.1722231600000017,30.53655299162752,33.23058214,,0.0,,0.0,-2.151101783840492,-0.2277779599999991,,,-1.8598051071180843,-28.473438889844147,,,,,1998.523417455628,20260.4912313879,4678.434306766108,168.57516045752806,0.0,0.0,2546.754839183908,,26937.448955609638,,185.75638065187,142.05289142,9.4027853,,0.0,0.0,10.361119400000002,,,,,,,,
Italy,1978,,1557.163180173992,,,,,,,,,,,6.645083623194252,15.066335672558564,69.54215805052898,0.7208107111606967,7.405239399596038,,0.0,0.0,0.6203725429614759,91.2535773462818,,1.721439749608744,1.9189515351599908,-1.47909493453815,-3.859753087800016,5.007297640787867,56.58695388063779,30.812407680945377,2.8972245400000016,-11.044408377168102,-15.688901439999997,,0.0,,0.0,2.171581769436992,0.2250001800000003,,,3.636973912125208,54.646152327997925,,,,,2025.2655113325836,21194.81744244391,4591.865467770455,219.68618550072335,0.0,0.0,2256.9431491900195,,27811.94842154695,,189.07498937291257,126.36398998,12.30000984,,0.0,0.0,10.586119580000002,,,,,,,,
Italy,1979,,1614.520853560094,,,,,,,,,,,7.070209604278439,15.006973132781647,69.65296820318491,0.4147550253632854,7.251426617338994,,0.0,0.0,0.6036674170527271,91.730150940245,,9.743589743589752,11.048508838800018,2.7383979579433504,7.040255632200001,3.3091499231640675,39.26890891510197,-40.65040650406504,-5.000004000000001,1.002396078345158,1.2666676799999976,,0.0,,0.0,0.3673576489110264,0.0388889199999979,,,3.683472234405971,57.35767338610208,,,,,2215.1215698814485,21822.520251701622,4701.737536174303,129.944210189042,0.0,0.0,2271.8974983089465,,28739.379357757374,,189.13112784363983,127.63065766,7.300005840000001,,0.0,0.0,10.6250085,,,,,,,,
Italy,1980,,1572.0492756939702,,,,,,,,,,,8.513994970009575,15.287771779096405,67.87037070625982,0.3576581439849126,7.328752294589393,,0.0,0.0,0.6414521060598974,91.6721374553658,,17.327102803738303,21.562037249615983,-0.7459282031090253,-1.9702515761999848,-5.062489431859085,-62.06336353953975,-15.981735159817346,-1.1666675999999994,-1.5300237229851965,-1.9527793400000208,,0.0,,0.0,3.529411764705892,0.3750003000000017,,,-2.6305995226058587,-42.47157786612388,,,,,2591.051071046798,20654.886141023875,4652.504210030347,108.8455560879519,0.0,0.0,2230.3479799109123,,27898.441422101016,,195.21213863600065,125.67787832,6.133338240000001,,0.0,0.0,11.000008800000002,,,,,,,,
Italy,1981,,1542.566294607604,,,,,,,,,,,8.910569185672108,15.13755016679212,67.81171862746464,0.4477833486757275,7.118547701112394,,0.0,0.0,0.5738309702830064,91.85983797992888,,2.485263660984538,3.628562902847989,-3.0381774749560164,-7.965006372000005,-2.160574160122541,-25.146537617214108,22.5996376811594,1.3861122199999991,-4.884625585713021,-6.138893799999991,,0.0,,0.0,-12.39898989898991,-1.3638899800000015,,,-1.8754489151334708,-29.48298108636618,,,,,2648.1143209497213,20152.82968840528,4498.698404725246,133.0758421378639,0.0,0.0,2115.5470227413502,,27299.64241408024,,170.53568392177684,119.53898452,7.519450460000001,,0.0,0.0,9.63611882,,,,,,,,
Italy,1982,,1501.9178320888602,,,,,,,,,,,10.1653264134737,15.391778232524384,65.70228794774766,1.1484009730845008,6.997920744423353,,0.0,0.0,0.5942856887464033,91.25939259374574,,11.806311207834618,17.665984132776032,-0.348546167123176,-0.8860007088000259,-5.0431762954996735,-57.42844594271992,151.3483561137791,11.38056466,-3.6552493377329465,-4.369447939999986,,0.0,,0.0,1.4989910637071446,0.1444445600000019,,,-2.635119324261126,-40.64846251874383,,,,,2953.4413247072125,19089.190495200284,4471.93843499338,333.6572534204255,0.0,0.0,2033.1809794333128,,26514.57025490088,,172.66419595727783,115.16953658,18.900015120000003,,0.0,0.0,9.780563380000002,,,,,,,,
Italy,1983,,1470.511186963564,,,,,,,,,,,9.719073750565975,16.168045802673678,65.38519110285725,0.9970610512591934,7.145632936094981,,0.0,0.0,0.5849953565489268,91.27231065609692,,-6.402502606882177,-10.711238568984015,2.8322695955888437,7.174505739599994,-2.5774278030612163,-27.869912295911945,-15.0058788947678,-2.836113380000004,-0.038590482622236,-0.0444444800000098,,0.0,,0.0,-3.635330871911402,-0.3555558400000009,,,-2.091102752379992,-31.40664512529611,,,,,2758.5033959139614,18557.86634906559,4588.874454149564,282.9895488417158,0.0,0.0,2028.0999224874483,,25905.244199129116,,166.03554197128514,115.1250921,16.06390174,,0.0,0.0,9.42500754,,,,,,,,
Italy,1984,,1489.5545133093242,,,,,,,,,,,10.854418215828744,18.756407612738546,61.431606762815214,1.1692715455486875,7.198821374010442,,0.0,0.0,0.5894744890583771,91.04243259138252,,13.413547237076662,21.003796803024017,17.80816527488389,46.38803711039998,-4.589595254877576,-48.34850756766412,19.09043748919248,3.066669120000004,2.306671492339252,2.655557680000016,,0.0,,0.0,2.3283230179781844,0.2194446199999991,,,1.2950140410072253,19.04332634576008,,,,,3123.124739673954,17675.619923975944,5396.751763012855,336.43266904665603,0.0,0.0,2071.305590278389,,26195.496426662758,,169.6085707753724,117.78064978000002,19.13057086,,0.0,0.0,9.64445216,,,,,,,,
Italy,1985,,1487.120049972866,,,,,,,,,,,10.758682070375782,19.13857724908477,61.35400950883548,1.197223498870959,7.004030184454078,,0.0,0.0,0.5474774883789179,91.25126882829602,,-1.2704649639816878,-2.256221804976036,1.63763614041863,5.025504020400035,-0.5177398929826937,-5.203745551882093,1.9892551183388951,0.3805558599999976,-3.0871913398269,-3.636114020000008,,0.0,,0.0,-7.48847926267282,-0.7222228000000008,,,-0.1634356658118951,-2.4344633364582933,,,,,3079.439033793561,17561.252440155997,5478.00199379314,342.67921948820623,0.0,0.0,2004.7514930537263,,26118.69346774269,,156.7035382967139,114.14453576,19.51112672,,0.0,0.0,8.92222936,,,,,,,,
Italy,1986,,1525.9591382663343,,,,,,,,,,,10.294376076104362,19.69795412109463,61.155004587529774,1.4531279534316486,6.818651104616014,,0.0,0.0,0.5808861572235902,91.14733478472876,,-1.704696205890155,-2.9889123911279967,5.731230207045024,17.875764300599997,2.395499048481664,23.952236383996137,24.68678815489749,4.816670519999999,0.009734254842808,0.0111111200000095,,0.0,,0.0,8.997509339975096,0.802778420000001,,,2.6116982481795725,38.83908829346842,,,,,3024.447351466657,17967.100704919943,5787.181732086199,426.9232984697459,0.0,0.0,2003.2929748701392,,26778.729788472803,,170.66207672329077,114.15564688000002,24.32779724,,0.0,0.0,9.72500778,,,,,,,,
