DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2005,1499073.1,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2006,1526048.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2007,1548363.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2008,1532522.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2009,1451219.3,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2010,1473410.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2011,1483657.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2012,1437289.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2013,1411158.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2014,1411139.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2015,1423637.4,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2016,1441236.7,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2017,1464349.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2018,1476454.8,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2019,1482791.2,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2020,1351294.0,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2021,1471978.9,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2022,1542945.6,,
ESTAT:NAMA_10_GDP(1.0),22/07/26 23:00:00,A,CLV05_MEUR,B1GQ,IT,2023,1557183.8,,
