DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2017,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2018,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2019,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2020,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2021,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2022,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2023,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2024,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2025,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC2,2026,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2013,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2014,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2015,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2016,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2017,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2018,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2019,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2020,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2021,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2022,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2023,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2024,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2025,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC20,2026,3245.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2013,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2014,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2015,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2016,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2017,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2018,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2019,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2020,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2021,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2022,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2023,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2024,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2025,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC3,2026,5408.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2013,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2014,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2015,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2016,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2017,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2018,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2019,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2020,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2021,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2022,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2023,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2024,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2025,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC31,2026,1154.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2013,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2014,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2015,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2016,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2017,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2018,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2019,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2020,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2021,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2022,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2023,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2024,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2025,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC32,2026,1545.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2013,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2014,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2015,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2016,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2017,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2018,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2019,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2020,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2021,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2022,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2023,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2024,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2025,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC33,2026,1831.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2013,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2014,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2015,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2016,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2017,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2018,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2019,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2020,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2021,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2022,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2023,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2024,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2025,878.0,,
ESTAT:REG_AREA3(1.0),22/01/26 23:00:00,A,L0008,KM2,ITC34,2026,878.0,,
