id,name,lat,lon,elevation,daily_start,daily_end
16333,Lecce / Collemeto,40.2383,18.1386,47,2005-07-30,2018-09-12
16334,Palascia / Porto Badisco,40.1108,18.5122,79,2005-09-16,2022-04-03
16336,Bonifati / Cittadella del Capo,39.5847,15.8908,484,,
16337,Bonifati,39.5833,15.8833,484,,
16342,Punta Alice / Madonna di Mare,39.3986,17.1528,3,,
16344,Monte Scuro,39.3333,16.4,1710,1974-10-15,2026-02-28
16345,Monte Scuro / Camigliatello Silano,39.3311,16.3964,1669,,
16350,Crotone,39.0,17.0667,155,2006-07-16,2017-12-01
16351,Crotnoe / San Pietro,38.9886,17.0789,154,,
16360,S. Maria Di Leuca,39.8167,18.35,104,1965-05-06,2025-08-24
16362,Lamezia Terme,38.9,16.25,15,1989-12-14,2022-04-25
16364,Serralta Di San Vit / Macri,38.7556,16.3683,996,2005-10-18,2022-04-03
16365,Catanzaro / Siano,38.9053,16.5953,332,2015-12-11,2022-01-26
16400,Ustica,38.7,13.1833,250,1957-07-01,2025-08-09
16401,Ustica / Marina,38.7075,13.1783,242,,
16405,Palermo / Punta Raisi,38.1833,13.1,21,1973-01-09,2022-04-25
16409,Palermo Boccadifalc / Boccadifalco,38.1119,13.3117,120,,
16410,Palermo Boccadifalco,38.1,13.3,107,1943-08-07,2009-01-11
16415,Isola Di Salina,38.5833,14.8667,46,1988-08-31,2020-11-21
16416,Isola Stromboli / Piscità,38.8025,15.2342,75,2005-07-30,2022-04-03
16420,Messina,38.2,15.55,59,1957-07-01,2025-08-24
16422,Reggio Calabria,38.0667,15.65,11,1976-08-01,2022-04-25
16429,Trapani / Birgi,37.9167,12.5,7,1965-04-29,2025-08-24
16434,Prizzi,37.7167,13.4333,1034,,
16435,Prizzi / Filaga,37.7228,13.4281,1034,,
16436,Sciacca / San Carlo,37.5136,13.1267,124,1943-10-11,2021-11-22
16442,Gibilmanna / Santuario di Gibilmanna,37.9908,14.0269,997,2005-09-08,2020-12-27
16450,Enna,37.5667,14.2833,940,1973-08-09,2025-08-24
16453,Gela,37.0833,14.2167,11,1943-09-03,1943-10-01
16459,Catania / Sigonella,37.4,14.9167,22,1943-08-11,2026-02-28
16460,Catania / Fontanarossa,37.4667,15.05,11,1943-10-29,2022-04-25
16464,Siracusa / Ciane,37.0661,15.2794,1,2005-08-03,2022-04-03
16465,Mezzo Gregorio / Testa dell’Acqua,36.9658,14.9578,638,2005-07-30,2021-11-21
16469,Cape Spartivento / Spropolo,37.9258,16.0606,117,2005-07-30,2021-11-15
16470,Pantelleria,36.8167,11.9667,191,1943-06-21,2007-05-13
16471,Pantellaria / Kamma,36.8131,11.9636,184,,
16480,Cozzo Spadaro,36.6833,15.1333,46,1966-01-01,2025-08-24
16490,Lampedusa,35.5,12.6,16,1977-06-12,2022-04-25
16491,Lampedusa / Linosa,35.5017,12.6247,49,,
16504,Porto Torres / Platamona,40.8392,8.4053,6,,
16506,Guardiavecchia,41.2167,9.4,158,,
16520,Alghero,40.6333,8.2833,23,1973-05-09,2022-04-25
16522,Capo Caccia,40.5667,8.1667,200,1975-09-01,2024-12-30
16523,Capo Caccia / Porto Conte Torre Nuova,40.5669,8.1589,203,,
16524,Macomer / Mulargia,40.2556,8.7358,585,,
16531,Olbia / Costa Smeralda,40.9,9.5167,11,1974-05-04,2022-04-25
16532,Monte Limbara / Nuchis,40.8525,9.1764,1362,,
16538,Fonni,40.1167,9.25,1022,,
16539,Capo Frasca,39.75,8.4667,89,,
16541,Perdasdefogu,39.6667,9.4333,608,,
16542,Capo S. Lorenzo,39.5,9.6333,4,,
16543,Capo S Lorenzo / Quirra,39.4975,9.6306,2,,
16545,Perdasdefogu / Taquisara,39.6739,9.4414,608,,
16546,Decimomannu,39.35,8.9667,29,1966-09-23,2025-08-24
16548,Carloforte,39.1333,8.3167,14,,
16549,Isola Di Carloforte,39.1333,8.3167,12,,
16550,Capo Bellavista,39.9333,9.7167,138,1951-01-01,2024-12-29
16560,Cagliari / Elmas,39.25,9.0667,4,1943-11-01,2025-08-24
16564,Capo Carbonara,39.1,9.5167,116,2009-05-03,2020-03-08
16565,Capo Carbonara / San Stèfano,39.1039,9.5136,117,,
16570,Teulada / Sant'Anna Arresi,38.9892,8.66,50,,
16582,Baggio,45.7,11.85,15,,
16585,Macchiareddu,39.25,9.05,17,,
KQHK0,Aviano / La Roiata,46.0333,12.6,128,2020-02-04,2021-03-07
KQLQ0,Naples / Poggioreale,40.85,14.28,27,2020-02-04,2021-04-18
KQNS0,Sigonella / Cuccumella,37.4,14.9333,22,1984-12-02,2004-04-08
LIAP0,L'Aquila / Preturo / San Vittorino,42.3799,13.3092,674,,
LICB0,Comiso,36.9333,14.6,220,2005-07-30,2022-04-25
LIER0,Fenosu / Oristano (Sardinia) / Palmas Arborea,39.8964,8.6417,9,,
LIMA0,Torino / Collegno,45.0864,7.6034,287,,
LIMW0,Aosta / Pollein,45.7394,7.362,546,1988-08-07,2022-04-24
LIPG0,Gorizia (it-Afb) / Miren,45.9,13.6,63,,
LIQD0,Passo Dellaporretta / Porretta Pass / San Momme,44.0333,10.9333,932,1991-04-03,1994-04-19
LIQS0,Siena,43.3167,11.35,322,1944-10-05,1945-01-15
LIRI0,Salerno / Bellizzi,40.6167,14.9167,40,,
LIRX0,Monte Calamita / Pareti,42.73,10.38,297,1991-04-04,1994-12-24
LIVE0,Passo Resia / Resia Pass,46.8333,10.5,1800,1991-03-15,2022-04-24
