time,time_label,geo,geo_label,unit,unit_label,freq,freq_label,OBS_VALUE
2005,2005,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,27500.0
2006,2006,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,28400.0
2007,2007,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,29900.0
2008,2008,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,30500.0
2009,2009,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,29000.0
2010,2010,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,28800.0
2011,2011,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,29500.0
2012,2012,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,29000.0
2013,2013,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,28700.0
2014,2014,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,29400.0
2015,2015,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,29900.0
2016,2016,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,30700.0
2017,2017,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,31500.0
2018,2018,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,31800.0
2019,2019,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,32500.0
2020,2020,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,29600.0
2021,2021,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,32700.0
2022,2022,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,35400.0
2023,2023,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,38800.0
2024,2024,ITC3,Liguria,EUR_HAB,Euro per inhabitant,A,Annual,39100.0
2000,2000,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,29500.0
2001,2001,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,30900.0
2002,2002,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,32100.0
2003,2003,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,32900.0
2004,2004,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,33600.0
2005,2005,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,34200.0
2006,2006,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,35100.0
2007,2007,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,36300.0
2008,2008,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,37300.0
2009,2009,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,35300.0
2010,2010,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,36700.0
2011,2011,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,37300.0
2012,2012,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,36400.0
2013,2013,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,35800.0
2014,2014,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,36400.0
2015,2015,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,37100.0
2016,2016,ITC4,Lombardia,EUR_HAB,Euro per inhabitant,A,Annual,38100.0
