time,time_label,geo,geo_label,na_item,na_item_label,unit,unit_label,freq,freq_label,OBS_VALUE
2023,2023,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3410.0
2024,2024,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3430.0
2025,2025,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,3440.0
1995,1995,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,14230.0
1996,1996,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,14400.0
1997,1997,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,14900.0
1998,1998,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15400.0
1999,1999,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15820.0
2000,2000,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16250.0
2001,2001,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16350.0
2002,2002,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16320.0
2003,2003,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16350.0
2004,2004,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16380.0
2005,2005,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16490.0
2006,2006,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16640.0
2007,2007,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16720.0
2008,2008,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16430.0
2009,2009,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16080.0
2010,2010,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16170.0
2011,2011,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,16150.0
2012,2012,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15520.0
2013,2013,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15140.0
2014,2014,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15180.0
2015,2015,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15480.0
2016,2016,IT,Italy,P31_S14,Final consumption expenditure of household,CLV10_EUR_HAB,"Chain linked volumes (2010), euro per capita",A,Annual,15640.0
