time,time_label,geo,geo_label,na_item,na_item_label,direct,direct_label,unit,unit_label,freq,freq_label,OBS_VALUE
2008,2008,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,23100.0
2009,2009,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22200.0
2010,2010,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22200.0
2011,2011,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22400.0
2012,2012,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21900.0
2013,2013,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21200.0
2014,2014,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21000.0
2015,2015,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21100.0
2016,2016,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20900.0
2017,2017,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21700.0
2018,2018,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22000.0
2019,2019,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22100.0
2020,2020,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20100.0
2021,2021,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21400.0
2022,2022,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,23200.0
2023,2023,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25100.0
2024,2024,ITC2,Valle d’Aosta/Vallée d’Aoste,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,26200.0
2000,2000,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,17100.0
2001,2001,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,18100.0
2002,2002,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,18400.0
2003,2003,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,18800.0
2004,2004,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,19400.0
2005,2005,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,19800.0
2006,2006,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20500.0
2007,2007,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21600.0
2008,2008,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21700.0
2009,2009,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20600.0
2010,2010,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20000.0
2011,2011,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20300.0
2012,2012,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,19800.0
2013,2013,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,19700.0
2014,2014,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,19800.0
2015,2015,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20100.0
2016,2016,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20500.0
2017,2017,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21300.0
2018,2018,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21300.0
2019,2019,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21600.0
2020,2020,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20000.0
2021,2021,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21700.0
2022,2022,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,23500.0
2023,2023,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25100.0
2024,2024,ITC3,Liguria,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25900.0
2000,2000,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,20900.0
2001,2001,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,21800.0
2002,2002,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22500.0
2003,2003,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,22700.0
2004,2004,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,23700.0
2005,2005,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24300.0
2006,2006,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25000.0
2007,2007,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25900.0
2008,2008,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,26300.0
2009,2009,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24900.0
2010,2010,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24800.0
2011,2011,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25300.0
2012,2012,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24600.0
2013,2013,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24300.0
2014,2014,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24500.0
2015,2015,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,24900.0
2016,2016,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25200.0
2017,2017,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25900.0
2018,2018,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,26200.0
2019,2019,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,26500.0
2020,2020,ITC4,Lombardia,B5N,"Balance of primary incomes/national income, net",BAL,Balance,EUR_HAB,Euro per inhabitant,A,Annual,25000.0
