Type,Country/area,Subregion,Region,Plant / Project name,Unit / Phase name,Plant / Project name (local),Plant / Project name (other),Capacity (MW),Status,Start year,Retired year,Technology,Fuel,Hydrogen production,Hydrogen capable,Country/area 1 (hydropower only),Country/area 2 (hydropower only),Country/area 1 Capacity (MW) (hydropower only),Country/area 2 Capacity (MW) (hydropower only),Owner,Parent,CHP,CCS,Conversion/replacement,Unit conversion year,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Captive Industry Type,Captive Industry Use,Captive Non Industry Use,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (state, province)",GEM location ID,GEM unit/phase ID,GEM.Wiki URL
hydropower,Italy,Southern Europe,Europe,Montorio hydroelectric plant,,,,110.0,operating,1954,,run-of-river,,,,Italy,,110.0,0.0,Enel SPA,,,,,,,,,,,42.5858,13.7089,exact,,Teramo,,Abruzzo,L602214,G602240,https://gem.wiki/Montorio_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Mucone I hydroelectric plant,,,Mucone 1S; Mucone I Salto,169.0,operating,,,run-of-river,,,,Italy,,169.0,0.0,Enel SPA,,,,,,,,,,,39.4716,16.4056,exact,,Cosenza,,Calabria,L602215,G602241,https://gem.wiki/Mucone_I_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Naturno hydroelectric plant,,,Centrale Naturno,175.0,operating,1963,,conventional storage,,,,Italy,,175.0,0.0,Alperia,,,,,,,,,,,46.6519,10.993,exact,,South Tyrol,,Trentino-Alto Adige/Südtirol,L602216,G602242,https://gem.wiki/Naturno_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Orichella hydroelectric plant,,,,151.0,operating,,,conventional storage,,,,Italy,,151.0,0.0,A2A,,,,,,,,,,,39.1922,16.7254,exact,,Cosenza,,Calabria,L602217,G602243,https://gem.wiki/Orichella_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Pescopagano hydroelectric plant,,,,270.0,pre-construction,,,pumped storage,,,,Italy,,270.0,0.0,Edison SPA,,,,,,,,,,,40.8467,15.413,approximate,Pescopagano,,,,L604317,G604724,https://gem.wiki/Pescopagano_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Pont Ventoux hydroelectric plant,,,Pont Ventoux-Susa,150.0,operating,2005,,pumped storage,,,,Italy,,150.0,0.0,Iren Energia,,,,,,,,,,,45.1506,7.0176,exact,,Torino,,Piedmont,L602218,G602244,https://gem.wiki/Pont_Ventoux_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Premadio hydroelectric plant,,,,245.0,operating,1956,,unknown,,,,Italy,,245.0,0.0,A2A,,,,,,,,,,,46.4858,10.3516,exact,Valdidentro,Sondrio,,Lombardy,L602219,G602245,https://gem.wiki/Premadio_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Presenzano hydroelectric plant,,,Domenico Cimarosa,985.0,operating,1991,,pumped storage,,,,Italy,,985.0,0.0,Enel SPA,,,,,,,,,,,41.3854,14.0929,exact,,Caserta,,Campania,L602220,G602246,https://gem.wiki/Presenzano_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Provvidenza hydroelectric plant,,,,139.0,operating,1962,,pumped storage,,,,Italy,,139.0,0.0,Enel SPA,,,,,,,,,,,42.5113,13.4104,exact,L'Aquila,L'Aquila,,Abruzzo,L602221,G602247,https://gem.wiki/Provvidenza_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Riva Del Garda hydroelectric plant,,,Nuovo Riva Del Garda,117.0,operating,,,pumped storage,,,,Italy,,117.0,0.0,Dolomiti Energia,,,,,,,,,,,45.8833,10.8382,exact,,Provincia di Trento,,Trentino-Alto Adige/Südtirol,L602222,G602248,https://gem.wiki/Riva_Del_Garda_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Roncovalgrande hydroelectric plant,,,,1000.0,operating,1971,,pumped storage,,,,Italy,,1000.0,0.0,Enel SPA,,,,,,,,,,,46.0694,8.7324,exact,Maccagno con Pino e Veddasca,Varese,,Lombardy,L602223,G602249,https://gem.wiki/Roncovalgrande_hydroelectric_plant
hydropower,Italy,Southern Europe,Europe,Rosone hydroelectric plant,,,Rosone-Ceresole,135.0,operating,1931,,conventional storage,,,,Italy,,135.0,0.0,Iren Energia,,,,,,,,,,,45.4361,7.4198,exact,,Torino,,Piedmont,L602224,G602250,https://gem.wiki/Rosone_hydroelectric_plant
