year,region,type,demand_GWh
2017,Calabria,Fonti tradizionali,13075.6045
2017,Calabria,Fonti rinnovabili,3808.866104447
2017,Campania,Saldo import/export,7712.511
2017,Campania,Fonti rinnovabili,4610.149862701
2017,Campania,Fonti tradizionali,5475.5083
2017,Emilia-Romagna,Fonti tradizionali,17244.682
2017,Emilia-Romagna,Saldo import/export,6775.213
2017,Emilia-Romagna,Fonti rinnovabili,4833.563643512
2017,Friuli-Venezia Giulia,Fonti rinnovabili,1258.06220933
2017,Friuli-Venezia Giulia,Saldo import/export,321.02863
2017,Friuli-Venezia Giulia,Fonti tradizionali,7641.669
2017,Lazio,Fonti rinnovabili,2449.458398381
2017,Lazio,Saldo import/export,3423.3037
2017,Lazio,Fonti tradizionali,16907.02
2017,Liguria,Fonti rinnovabili,297.904237143
2017,Liguria,Saldo import/export,465.7319
2017,Liguria,Fonti tradizionali,5379.155
2017,Lombardia,Fonti rinnovabili,6322.527590166
2017,Lombardia,Saldo import/export,24122.24
2017,Lombardia,Fonti tradizionali,29299.87
2017,Marche,Saldo import/export,4151.3936
2017,Marche,Fonti rinnovabili,1531.644082986
2017,Marche,Fonti tradizionali,1316.2438
2017,Molise,Fonti tradizionali,1715.6134
2017,Molise,Saldo import/export,-1541.0667
2017,Molise,Fonti rinnovabili,1105.071559966
2017,Piemonte,Fonti rinnovabili,3510.194128887
2017,Piemonte,Saldo import/export,-2411.6824
2017,Piemonte,Fonti tradizionali,18330.482
2017,Puglia,Fonti rinnovabili,10456.731098495
2017,Puglia,Saldo import/export,-12799.038
2017,Puglia,Fonti tradizionali,21108.65
2017,Sardegna,Saldo import/export,-3574.0417
2017,Sardegna,Fonti rinnovabili,3185.774641538
2017,Sardegna,Fonti tradizionali,8826.204
2017,Sicilia,Fonti rinnovabili,4915.691256582
2017,Sicilia,Fonti tradizionali,11963.344
2017,Sicilia,Saldo import/export,2371.1692
2017,Toscana,Fonti tradizionali,9103.463
2017,Toscana,Saldo import/export,3663.8445
2017,Toscana,Fonti rinnovabili,7403.029352294
2017,Trentino-Alto Adige,Saldo import/export,-2442.1377
2017,Trentino-Alto Adige,Fonti rinnovabili,829.8184263
2017,Trentino-Alto Adige,Fonti tradizionali,1060.8218
2017,Umbria,Fonti tradizionali,396.1227
2017,Umbria,Fonti rinnovabili,812.88917283
2017,Umbria,Saldo import/export,3070.049
2017,Valle d'Aosta,Fonti tradizionali,20.967382
2017,Valle d'Aosta,Fonti rinnovabili,39.91856
2017,Valle d'Aosta,Saldo import/export,-1684.8213
2017,Veneto,Fonti tradizionali,8792.741
2017,Veneto,Fonti rinnovabili,3829.839918643
2017,Veneto,Saldo import/export,16201.237
2018,Abruzzo,Saldo import/export,1200.0
2018,Abruzzo,Fonti rinnovabili,1240.86136393
2018,Abruzzo,Fonti tradizionali,2000.0
2018,Basilicata,Fonti rinnovabili,2700.28803436
2018,Basilicata,Saldo import/export,-334.9
2018,Basilicata,Fonti tradizionali,400.0
2018,Calabria,Fonti tradizionali,12000.0
2018,Calabria,Saldo import/export,-10783.391
2018,Calabria,Fonti rinnovabili,3701.248002247
2018,Campania,Fonti tradizionali,5100.0
2018,Campania,Fonti rinnovabili,4500.716427032
2018,Campania,Saldo import/export,7587.154
2018,Emilia-Romagna,Fonti rinnovabili,4801.042874532
2018,Emilia-Romagna,Fonti tradizionali,15500.0
2018,Emilia-Romagna,Saldo import/export,8663.5
2018,Friuli-Venezia Giulia,Saldo import/export,-282.87405
2018,Friuli-Venezia Giulia,Fonti tradizionali,7695.7
2018,Friuli-Venezia Giulia,Fonti rinnovabili,1401.820635217
2018,Lazio,Saldo import/export,5083.3
2018,Lazio,Fonti rinnovabili,2401.302341579
2018,Lazio,Fonti tradizionali,14300.0
2018,Liguria,Saldo import/export,846.13763
2018,Liguria,Fonti tradizionali,4875.3
2018,Liguria,Fonti rinnovabili,390.264863744
2018,Lombardia,Saldo import/export,19346.604
2018,Lombardia,Fonti tradizionali,33074.3
2018,Lombardia,Fonti rinnovabili,6310.293586007
2018,Marche,Saldo import/export,5147.1943
2018,Marche,Fonti rinnovabili,1300.585659478
2018,Marche,Fonti tradizionali,400.0
2018,Molise,Fonti rinnovabili,1000.289068546
2018,Molise,Saldo import/export,-1344.9
