DATAFLOW,LAST UPDATE,freq,indic_is,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2010,57.45,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2011,58.01,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2012,59.94,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2013,67.21,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2014,65.3,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2015,69.62,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2016,68.11,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2017,72.27,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2018,75.84,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2019,74.01,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2020,74.41,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,A_GE3_DCH,IT,2021,80.64,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q1,IT,2010,,u,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q1,IT,2011,17.48,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q1,IT,2012,20.85,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q1,IT,2013,24.68,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q2,IT,2010,,u,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q2,IT,2011,30.01,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q2,IT,2012,31.68,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q2,IT,2013,40.58,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q3,IT,2010,,u,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q3,IT,2011,44.61,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q3,IT,2012,46.16,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q3,IT,2013,55.48,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q4,IT,2010,,u,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q4,IT,2011,61.94,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q4,IT,2012,63.33,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HHI_Q4,IT,2013,73.15,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2010,46.88,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2011,45.98,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2012,47.38,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2013,57.08,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2014,56.46,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2015,57.72,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2016,60.93,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2017,62.05,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2018,65.44,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2019,66.87,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2020,66.39,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG1,IT,2021,70.74,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2010,37.7,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2011,36.6,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2012,42.8,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2013,48.98,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2014,50.72,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2015,51.97,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2016,54.44,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2017,55.31,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2018,58.46,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2019,58.25,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2020,59.49,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG2,IT,2021,65.39,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2010,30.69,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2011,32.6,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2012,33.27,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2013,43.25,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2014,44.67,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2015,46.31,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2016,46.4,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2017,50.19,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2018,55.47,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2019,54.44,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2020,52.44,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_DEG3,IT,2021,56.63,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_NO1,IT,2010,43.37,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_NO1,IT,2011,43.74,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_NO1,IT,2012,45.01,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_NO1,IT,2013,53.28,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_O1,IT,2010,33.76,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_O1,IT,2011,30.36,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_O1,IT,2012,34.01,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,HH_O1,IT,2013,42.19,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2010,40.8,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2011,40.18,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2012,42.09,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2013,50.32,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2014,51.11,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2015,52.55,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2016,55.23,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2017,56.66,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2018,60.34,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2019,60.85,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2020,60.83,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH,TOTAL,IT,2021,65.68,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2010,63.43,,
ESTAT:ISOC_CI_IT_H(1.0),16/06/24 23:00:00,A,H_BBFIX,PC_HH_IACC,A1,IT,2011,60.07,,
