time,time_label,geo,geo_label,unit,unit_label,vehicle,vehicle_label,freq,freq_label,OBS_VALUE
2013,2013,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2014,2014,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2015,2015,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2016,2016,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2017,2017,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2018,2018,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2019,2019,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2020,2020,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2021,2021,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.4
2022,2022,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.5
2023,2023,IT,Italy,PC,Percentage,SEAV,Seagoing vessels,A,Annual,0.6
2008,2008,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.6
2009,2009,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.2
2010,2010,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.2
2011,2011,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.3
2012,2012,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.9
2013,2013,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.8
2014,2014,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.8
2015,2015,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.8
2016,2016,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.6
2017,2017,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.4
2018,2018,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.8
2019,2019,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.8
2020,2020,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,3.9
2021,2021,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,3.8
2022,2022,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,5.7
2023,2023,IT,Italy,PC,Percentage,TRN,Trains,A,Annual,6.1
