DATAFLOW,LAST UPDATE,freq,tra_type,tra_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2020,1959.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2021,2122.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2022,3068.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2023,3048.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CAB,THS_T,IT,2024,2241.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,1999,505.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2000,407.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2001,608.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2002,528.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2003,834.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2004,1097.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2005,1197.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2006,696.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2007,1115.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2008,1032.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2009,1088.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2010,701.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2011,234.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2012,368.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2013,325.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2014,379.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2015,200.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2016,293.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2017,607.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2018,496.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2019,505.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2020,545.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2021,573.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2022,767.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2023,640.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_TKM,IT,2024,765.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_VKM,IT,1999,26.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_VKM,IT,2000,24.0,,
ESTAT:ROAD_GO_TA_TOTT(1.0),17/02/26 23:00:00,A,HIRE,LINTL_CTRD,MIO_VKM,IT,2001,34.0,,
