DATAFLOW,LAST UPDATE,freq,regisveh,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2016,635,b,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2017,630,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2018,614,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2019,601,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2020,523,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2022,522,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2023,559,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FI,2024,64,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2013,3187,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2014,3234,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2015,3259,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2016,3308,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2017,3173.003,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2018,3213.492,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2019,3270.326,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2020,2348.903,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2021,2791.157,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2022,3065.500,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2023,3259.367,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,FR,2024,3314.527,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2008,306,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2009,299,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2010,310,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2011,300,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2012,300,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2013,300,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2014,290,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2015,300,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2016,305,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2017,320,,
ESTAT:ROAD_TF_VEHMOV(1.0),17/12/25 23:00:00,A,TERNAT_REG,MIO_VKM,BUS_MCO_TRO,HR,2018,320,,
