time,time_label,geo,geo_label,unit,unit_label,siec,siec_label,nrg_bal,nrg_bal_label,freq,freq_label,OBS_VALUE
2024,2024,IT,Italy,TJ_GCV,Terajoule (gross calorific value - GCV),G3000,Natural gas,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,613433.896
2010,2010,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2011,2011,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2012,2012,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2013,2013,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2014,2014,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,0.0
2015,2015,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,38033.0
2016,2016,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,39635.0
2017,2017,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,37888.128
2018,2018,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,45704.009
2019,2019,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,37173.876
2020,2020,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,36409.312
2021,2021,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,29636.864
2022,2022,IT,Italy,TJ,Terajoule,H8000,Heat,FC_OTH_HH_E,Final consumption - other sectors - households - energy use,A,Annual,28740.559
