dataset,source_csv,has_italy,rows,country_col,status,out
Child deaths – United Nations Population Division (2015),Child deaths – United Nations Population Division (2015).csv,True,13,Entity,ok,sources/owid-datasets/italy/Child_deaths_United_Nations_Population_Division_2015_841be0b8.csv
Child mortality - Gapminder (2013),Child mortality - Gapminder (2013).csv,True,205,Entity,ok,sources/owid-datasets/italy/Child_mortality_-_Gapminder_2013_7e4ad145.csv
Child mortality by income level (1960-2012) - World Bank (WDI) (2016),Child mortality by income level (1960-2012) - World Bank (WDI) (2016).csv,False,0,Entity,ok,
Child mortality data - IHME (2017),Child mortality data - IHME (2017).csv,True,8,Entity,ok,sources/owid-datasets/italy/Child_mortality_data_-_IHME_2017_7e8cca04.csv
Child mortality estimates - Gapminder (2015),Child mortality estimates - Gapminder (2015).csv,True,216,Entity,ok,sources/owid-datasets/italy/Child_mortality_estimates_-_Gapminder_2015_96295e3d.csv
"Child mortality, 1950-2017 (IHME, 2017)","Child mortality, 1950-2017 (IHME, 2017).csv",True,14,Entity,ok,sources/owid-datasets/italy/Child_mortality_1950-2017_IHME_2017_4e8adbc8.csv
Child violence – Ending Violence in Childhood Report (2017),Child violence – Ending Violence in Childhood Report (2017).csv,True,1,Entity,ok,sources/owid-datasets/italy/Child_violence_Ending_Violence_in_Childhood_Report_2017_47154538.csv
Children that died before 5 years of age per woman - Gapminder (2017),Children that died before 5 years of age per woman - Gapminder (2017).csv,True,145,Entity,ok,sources/owid-datasets/italy/Children_that_died_before_5_years_of_age_per_woman_-_Gapminder_2017_9181db9c.csv
Children that survived past 5 years of age per woman - Gapminder (2017),Children that survived past 5 years of age per woman - Gapminder (2017).csv,True,145,Entity,ok,sources/owid-datasets/italy/Children_that_survived_past_5_years_of_age_per_woman_-_Gapminder_2017_1f4490df.csv
City populations (1950-2035) - UN Urbanization Prospects (2018),City populations (1950-2035) - UN Urbanization Prospects (2018).csv,False,0,Entity,ok,
"Clark, Flèche & Senik – Happiness Inequality","Clark, Flèche & Senik – Happiness Inequality.csv",True,4,Entity,ok,sources/owid-datasets/italy/Clark_Fle_che_Senik_Happiness_Inequality_d70848cc.csv
Coal output and employment in UK - BEIS (2020),Coal output and employment in UK - BEIS (2020).csv,False,0,Entity,ok,
Coal production - The SHIFT Project,Coal production - The SHIFT Project.csv,True,115,Entity,ok,sources/owid-datasets/italy/Coal_production_-_The_SHIFT_Project_6c64e83f.csv
Coefficient of Variation (CV) in caloric intake,Coefficient of Variation (CV) in caloric intake.csv,True,21,Entity,ok,sources/owid-datasets/italy/Coefficient_of_Variation_CV_in_caloric_intake_57c4cdf5.csv
Conflict deaths by country – UCDP (2019),Conflict deaths by country – UCDP (2019).csv,True,1,Entity,ok,sources/owid-datasets/italy/Conflict_deaths_by_country_UCDP_2019_da485d06.csv
Conflict deaths – UCDP Georeferenced Event Data (2019),Conflict deaths – UCDP Georeferenced Event Data (2019).csv,True,30,Entity,ok,sources/owid-datasets/italy/Conflict_deaths_UCDP_Georeferenced_Event_Data_2019_5d55d015.csv
Consumption shares in selected non-essential products - World Bank Global Consumption Database,Consumption shares in selected non-essential products - World Bank Global Consumption Database.csv,False,0,Entity,ok,
"Corporal Punishment in Schools - Longitudinal Evidence from Ethiopia, India, Peru and Vietnam (UNICE","Corporal Punishment in Schools - Longitudinal Evidence from Ethiopia, India, Peru and Vietnam (UNICE.csv",False,0,Entity,ok,
Correlates of War! National Material Capabilities (v4.0),Correlates of War! National Material Capabilities (v4.0).csv,True,192,Entity,ok,sources/owid-datasets/italy/Correlates_of_War_National_Material_Capabilities_v4_0_68a8bc5f.csv
Corruption Perception Index - Transparency International (2018),Corruption Perception Index - Transparency International (2018).csv,True,7,Entity,ok,sources/owid-datasets/italy/Corruption_Perception_Index_-_Transparency_International_2018_7c4c503d.csv
Countries Continents,Countries Continents.csv,True,1,Entity,ok,sources/owid-datasets/italy/Countries_Continents_e2af0cee.csv
Countries in which same-sex sexual acts are legal – OWID based on Kenny & Patel (2017) and Carroll &,Countries in which same-sex sexual acts are legal – OWID based on Kenny & Patel (2017) and Carroll &.csv,False,0,,read_fail: No columns to parse from file,
Country Income Classification - World Bank (2017),Country Income Classification - World Bank (2017).csv,True,30,Entity,ok,sources/owid-datasets/italy/Country_Income_Classification_-_World_Bank_2017_671e4845.csv
"Cross-country literacy rates - World Bank, CIA World Factbook, and other sources","Cross-country literacy rates - World Bank, CIA World Factbook, and other sources.csv",True,10,Entity,ok,sources/owid-datasets/italy/Cross-country_literacy_rates_-_World_Bank_CIA_World_Factbook_and_other_sources_94d02d13.csv
"Crude Birth and Death Rates (per 1,000), England and Wales 1541-2015 - Wrigley and Schofield, Mitche","Crude Birth and Death Rates (per 1,000), England and Wales 1541-2015 - Wrigley and Schofield, Mitche.csv",False,0,Entity,ok,
Crude Oil Consumption vs. Price - BP Statistics (2016),Crude Oil Consumption vs. Price - BP Statistics (2016).csv,False,0,Entity,ok,
"Crude marriage rate (OWID based on UN, OECD, Eurostat and other sources)","Crude marriage rate (OWID based on UN, OECD, Eurostat and other sources).csv",True,58,Entity,ok,sources/owid-datasets/italy/Crude_marriage_rate_OWID_based_on_UN_OECD_Eurostat_and_other_sources_5be59199.csv
"Cumulative CO2 emissions share (OWID based on GCP, 2017)","Cumulative CO2 emissions share (OWID based on GCP, 2017).csv",True,267,Entity,ok,sources/owid-datasets/italy/Cumulative_CO2_emissions_share_OWID_based_on_GCP_2017_2f8dacfd.csv
"Cumulative share of marriages ending in divorce (England and Wales, UK ONS)","Cumulative share of marriages ending in divorce (England and Wales, UK ONS).csv",False,0,Entity,ok,
Current GDP (British pounds) - Fouquin and Hugot (CEPII 2016),Current GDP (British pounds) - Fouquin and Hugot (CEPII 2016).csv,False,0,,read_fail: No columns to parse from file,
D1 vs D10-D1 income!consumption – Povcal (2018),D1 vs D10-D1 income!consumption – Povcal (2018).csv,False,0,Entity,ok,
Daily fat supply- FAO (2017),Daily fat supply- FAO (2017).csv,True,53,Entity,ok,sources/owid-datasets/italy/Daily_fat_supply-_FAO_2017_82f51bfb.csv
Daily protein supply - FAO (2017),Daily protein supply - FAO (2017).csv,True,55,Entity,ok,sources/owid-datasets/italy/Daily_protein_supply_-_FAO_2017_1af7f0a7.csv
Daily supply of calories per person (OWID based on UN FAO & historical sources),Daily supply of calories per person (OWID based on UN FAO & historical sources).csv,True,65,Entity,ok,sources/owid-datasets/italy/Daily_supply_of_calories_per_person_OWID_based_on_UN_FAO_historical_sources_43fd741b.csv
Days and hours of work in Old and New Worlds - Huberman and Minns (2007),Days and hours of work in Old and New Worlds - Huberman and Minns (2007).csv,True,13,Entity,ok,sources/owid-datasets/italy/Days_and_hours_of_work_in_Old_and_New_Worlds_-_Huberman_and_Minns_2007_d60d4cc5.csv
Death rate by age group in England and Wales - ONS,Death rate by age group in England and Wales - ONS.csv,False,0,Entity,ok,
Deaths attributed to air pollution (Lelieveld et al. 2019),Deaths attributed to air pollution (Lelieveld et al. 2019).csv,True,1,Entity,ok,sources/owid-datasets/italy/Deaths_attributed_to_air_pollution_Lelieveld_et_al_2019_ca1896dc.csv
Deaths by World Region - WHO (2016),Deaths by World Region - WHO (2016).csv,False,0,Entity,ok,
"Deaths from Chernobyl (Range of long-term estimates) - WHO (2005), Fairlie & Sumner (2006), Cardis e","Deaths from Chernobyl (Range of long-term estimates) - WHO (2005), Fairlie & Sumner (2006), Cardis e.csv",False,0,Entity,ok,
Deaths from Smalllpox and all causes in London 1629-1902,Deaths from Smalllpox and all causes in London 1629-1902.csv,False,0,Entity,ok,
"Deaths from smallpox per million population (Edwardes, 1902)","Deaths from smallpox per million population (Edwardes, 1902).csv",False,0,Entity,ok,
Deaths per TWh energy production,Deaths per TWh energy production.csv,False,0,Entity,ok,
"Deaths per TWh from low-carbon energy (Sovacool et al., 2016)","Deaths per TWh from low-carbon energy (Sovacool et al., 2016).csv",False,0,Entity,ok,
Decomposition of Gender Wage Gap 1980 - Blau and Kahn (2017),Decomposition of Gender Wage Gap 1980 - Blau and Kahn (2017).csv,False,0,Entity,ok,
Decomposition of Gender Wage Gap 2010 - Blau and Kahn (2017),Decomposition of Gender Wage Gap 2010 - Blau and Kahn (2017).csv,False,0,Entity,ok,
Decomposition times of marine debris,Decomposition times of marine debris.csv,False,0,Entity,ok,
Deforestation by commodity (Pendrill et al. (2019)),Deforestation by commodity (Pendrill et al. (2019)).csv,False,0,Entity,ok,
Deforestation in trade (Pendrill),Deforestation in trade (Pendrill).csv,True,9,Entity,ok,sources/owid-datasets/italy/Deforestation_in_trade_Pendrill_06520bfe.csv
Delivery points in the US - United States Postal Service (2018),Delivery points in the US - United States Postal Service (2018).csv,False,0,Entity,ok,
Democracy - Bertelsmann Transformation Index (2022),Democracy - Bertelsmann Transformation Index (2022).csv,False,0,,read_fail: No columns to parse from file,
Democracy - Economist Intelligence Unit (2023),Democracy - Economist Intelligence Unit (2023).csv,False,0,,read_fail: No columns to parse from file,
Democracy - OWID based on Boix-Miller-Rosato,Democracy - OWID based on Boix-Miller-Rosato.csv,False,0,,read_fail: No columns to parse from file,
Democracy - OWID based on Episodes of Regime Transformation (v13),Democracy - OWID based on Episodes of Regime Transformation (v13).csv,False,0,,read_fail: No columns to parse from file,
Democracy - Polity 5,Democracy - Polity 5.csv,False,0,,read_fail: No columns to parse from file,
Democracy and Human rights - OWID based on Varieties of Democracy (v13) and Regimes of the World,Democracy and Human rights - OWID based on Varieties of Democracy (v13) and Regimes of the World.csv,False,0,,read_fail: No columns to parse from file,
Democratic satisfaction - Claassen,Democratic satisfaction - Claassen.csv,True,48,Entity,ok,sources/owid-datasets/italy/Democratic_satisfaction_-_Claassen_2785b9d9.csv
Democratic support - Claassen,Democratic support - Claassen.csv,True,33,Entity,ok,sources/owid-datasets/italy/Democratic_support_-_Claassen_67611690.csv
Depression prevalence by education - OECD,Depression prevalence by education - OECD.csv,True,1,Entity,ok,sources/owid-datasets/italy/Depression_prevalence_by_education_-_OECD_064597de.csv
Diet compositions by commodity categories - FAO (2017),Diet compositions by commodity categories - FAO (2017).csv,True,53,Entity,ok,sources/owid-datasets/italy/Diet_compositions_by_commodity_categories_-_FAO_2017_e36b9b94.csv
Diet compositions by specific food commodities - FAO (2017),Diet compositions by specific food commodities - FAO (2017).csv,True,53,Entity,ok,sources/owid-datasets/italy/Diet_compositions_by_specific_food_commodities_-_FAO_2017_d11e66de.csv
Dietary macronutrient compositions - FAO (2017),Dietary macronutrient compositions - FAO (2017).csv,True,53,Entity,ok,sources/owid-datasets/italy/Dietary_macronutrient_compositions_-_FAO_2017_5fc7bbd8.csv
Difference in the value of goods exported to and imported by the US for 2016 (DOTS (2017)),Difference in the value of goods exported to and imported by the US for 2016 (DOTS (2017)).csv,True,1,Entity,ok,sources/owid-datasets/italy/Difference_in_the_value_of_goods_exported_to_and_imported_by_the_US_for_2016_DOTS_2017_29d8208c.csv
Differences in population estimates - OWID based on UN vs US Census Bureau,Differences in population estimates - OWID based on UN vs US Census Bureau.csv,False,0,Entity,ok,
Disability Adjusted Life Years - WHO (2015),Disability Adjusted Life Years - WHO (2015).csv,True,2,Entity,ok,sources/owid-datasets/italy/Disability_Adjusted_Life_Years_-_WHO_2015_f42d7435.csv
Distribution of bilateral and unilateral trade partnerships - Fouquin and Hugot (CEPII 2016),Distribution of bilateral and unilateral trade partnerships - Fouquin and Hugot (CEPII 2016).csv,False,0,Entity,ok,
Drinking habits in Great Britain - UK ONS,Drinking habits in Great Britain - UK ONS.csv,False,0,Entity,ok,
Drivers of forest loss in Brazil Legal Amazon (Tyukavina et al. 2017),Drivers of forest loss in Brazil Legal Amazon (Tyukavina et al. 2017).csv,False,0,Entity,ok,
Drug overdose deaths in the US (CDC WONDER),Drug overdose deaths in the US (CDC WONDER).csv,False,0,,read_fail: No columns to parse from file,
Duration of marriages ending in divorce (OWID based on national statistics),Duration of marriages ending in divorce (OWID based on national statistics).csv,False,0,Entity,ok,
ECI Country Rankings (Observatory of Economic Complexity (2016) and the Atlas of Economic Complexity,ECI Country Rankings (Observatory of Economic Complexity (2016) and the Atlas of Economic Complexity.csv,True,53,Entity,ok,sources/owid-datasets/italy/ECI_Country_Rankings_Observatory_of_Economic_Complexity_2016_and_the_Atlas_of_Economic_Complexity_fbdfcbe6.csv
Earthquake deaths (NGDC-NOAA),Earthquake deaths (NGDC-NOAA).csv,True,402,Entity,ok,sources/owid-datasets/italy/Earthquake_deaths_NGDC-NOAA_11a9b170.csv
Economic Freedom of the World - Fraser Institute (2018),Economic Freedom of the World - Fraser Institute (2018).csv,True,27,Entity,ok,sources/owid-datasets/italy/Economic_Freedom_of_the_World_-_Fraser_Institute_2018_356743c8.csv
Economic impacts 2vs1.5C - Pretis et al.,Economic impacts 2vs1.5C - Pretis et al..csv,True,1,Entity,ok,sources/owid-datasets/italy/Economic_impacts_2vs1_5C_-_Pretis_et_al_fdb2349d.csv
Economic impacts of 1.5C - Pretis et al.,Economic impacts of 1.5C - Pretis et al..csv,True,1,Entity,ok,sources/owid-datasets/italy/Economic_impacts_of_1_5C_-_Pretis_et_al_1a37ef19.csv
Economic impacts of 2C - Pretis et al. (2018),Economic impacts of 2C - Pretis et al. (2018).csv,True,1,Entity,ok,sources/owid-datasets/italy/Economic_impacts_of_2C_-_Pretis_et_al_2018_89cec811.csv
"Economic losses from disasters as a share of GDP (Pielke, 2018)","Economic losses from disasters as a share of GDP (Pielke, 2018).csv",False,0,Entity,ok,
