indicator_id,date,value,countryiso3code,unit,obs_status,indicator_name
EG.FEC.RNEW.ZS,2017,16.4,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2016,16.1,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2015,16.6,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2014,17.1,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2013,16.3,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2012,14.4,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2011,11.9,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2010,12.8,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2009,12.5,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2008,10.8,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2007,8.7,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2006,7.5,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2005,6.7,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2004,5.9,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2003,6.2,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2002,5.6,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2001,5.4,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,2000,5.1,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1999,5.0,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1998,4.8,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1997,4.8,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1996,4.8,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1995,4.5,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1994,5.2,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1993,4.8,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1992,4.8,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1991,4.7,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1990,3.8,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1989,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1988,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1987,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1986,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1985,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1984,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1983,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1982,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1981,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1980,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1979,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1978,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1977,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1976,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1975,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1974,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1973,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1972,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1971,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1970,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1969,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1968,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1967,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1966,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1965,,ITA,,,Renewable energy consumption (% of total final energy consumption)
EG.FEC.RNEW.ZS,1964,,ITA,,,Renewable energy consumption (% of total final energy consumption)
