year,region,province,activity,class,consumption_GWh
2015,Calabria,Reggio Di Calabria,Manifatturiera non di base,Lavorazione plastica e gomma,2.217291
2015,Calabria,Reggio Di Calabria,Manifatturiera non di base,Mezzi di trasporto,8.187945
2015,Calabria,Reggio Di Calabria,Manifatturiera non di base,"Tessile, abbigl. e calzature",1.09252
2015,Calabria,Reggio Di Calabria,Manifatturiera di base,Materiali da costruzione,12.622465
2015,Calabria,Reggio Di Calabria,Energia ed acqua,Raffinazione e cokerie,0.210158
2015,Calabria,Reggio Di Calabria,Energia ed acqua,Elettricità e gas,2.766158
2015,Calabria,Reggio Di Calabria,Manifatturiera di base,Metalli non ferrosi,0.193955
2015,Calabria,Reggio Di Calabria,Energia ed acqua,Estrazione combustibili,0.172155
2015,Calabria,Reggio Di Calabria,Manifatturiera non di base,Alimentare,28.670099
2015,Calabria,Reggio Di Calabria,Manifatturiera di base,Cartaria,1.102146
2015,Calabria,Reggio Di Calabria,Manifatturiera di base,Siderurgica,0.364509
2015,Calabria,Reggio Di Calabria,Energia ed acqua,Acquedotti,100.359735
2015,Calabria,Reggio Di Calabria,Manifatturiera non di base,Meccanica,9.699556
2015,Calabria,Reggio Di Calabria,,,7.601582
2015,Calabria,Reggio Di Calabria,Manifatturiera di base,Chimica,18.42334
2015,Calabria,Reggio Di Calabria,Manifatturiera non di base,Altre manifatturiere,0.876417
2015,Calabria,Reggio Di Calabria,Manifatturiera non di base,Legno e mobilio,3.165936
2015,Calabria,Reggio Di Calabria,,,0.0
2015,Calabria,Vibo Valentia,Manifatturiera non di base,Lavorazione plastica e gomma,0.686443
2015,Calabria,Vibo Valentia,Energia ed acqua,Acquedotti,22.553482
2015,Calabria,Vibo Valentia,Energia ed acqua,Elettricità e gas,0.211016
2015,Calabria,Vibo Valentia,,,2.98437
2015,Calabria,Vibo Valentia,Manifatturiera di base,Materiali da costruzione,1.456635
2015,Calabria,Vibo Valentia,Energia ed acqua,Raffinazione e cokerie,0.943585
2015,Calabria,Vibo Valentia,,,0.0
2015,Calabria,Vibo Valentia,Manifatturiera non di base,Mezzi di trasporto,0.66851
2015,Calabria,Vibo Valentia,Manifatturiera non di base,Altre manifatturiere,0.430642
2015,Calabria,Vibo Valentia,Manifatturiera non di base,Legno e mobilio,1.550333
2015,Calabria,Vibo Valentia,Manifatturiera di base,Chimica,0.803578
2015,Calabria,Vibo Valentia,Manifatturiera non di base,Alimentare,9.957492
2015,Calabria,Vibo Valentia,Energia ed acqua,Estrazione combustibili,0.160267
2015,Calabria,Vibo Valentia,Manifatturiera di base,Cartaria,0.265043
2015,Calabria,Vibo Valentia,Manifatturiera non di base,Meccanica,7.668922
2015,Calabria,Vibo Valentia,Manifatturiera non di base,"Tessile, abbigl. e calzature",0.279498
2015,Calabria,Vibo Valentia,Manifatturiera di base,Siderurgica,0.170845
2015,Calabria,Vibo Valentia,Manifatturiera di base,Metalli non ferrosi,0.187038
2015,Campania,Avellino,Manifatturiera di base,Chimica,7.635241
2015,Campania,Avellino,Manifatturiera di base,Metalli non ferrosi,27.235646
2015,Campania,Avellino,,,0.0
2015,Campania,Avellino,Manifatturiera non di base,"Tessile, abbigl. e calzature",33.851209
2015,Campania,Avellino,Manifatturiera di base,Cartaria,6.968374
2015,Campania,Avellino,Energia ed acqua,Raffinazione e cokerie,0.963575
2015,Campania,Avellino,Manifatturiera non di base,Legno e mobilio,69.494297
2015,Campania,Avellino,Manifatturiera non di base,Altre manifatturiere,13.231984
2015,Campania,Avellino,Manifatturiera di base,Materiali da costruzione,27.941644
2015,Campania,Avellino,Energia ed acqua,Acquedotti,124.78336
2015,Campania,Avellino,,,5.227818
2015,Campania,Avellino,Energia ed acqua,Elettricità e gas,9.102744
2015,Campania,Avellino,Energia ed acqua,Estrazione combustibili,0.167736
2015,Campania,Avellino,Manifatturiera non di base,Mezzi di trasporto,94.448818
2015,Campania,Avellino,Manifatturiera di base,Siderurgica,11.579261
2015,Campania,Avellino,Manifatturiera non di base,Lavorazione plastica e gomma,14.533623
2015,Campania,Avellino,Manifatturiera non di base,Meccanica,78.289602
2015,Campania,Avellino,Manifatturiera non di base,Alimentare,114.497111
2015,Campania,Benevento,Manifatturiera non di base,Meccanica,22.722673
2015,Campania,Benevento,Manifatturiera di base,Metalli non ferrosi,3.76246
2015,Campania,Benevento,,,0.0
2015,Campania,Benevento,Manifatturiera non di base,"Tessile, abbigl. e calzature",2.960593
2015,Campania,Benevento,Manifatturiera non di base,Alimentare,44.920403
2015,Campania,Benevento,Manifatturiera non di base,Legno e mobilio,2.473279
2015,Campania,Benevento,Energia ed acqua,Acquedotti,24.88906
2015,Campania,Benevento,Manifatturiera di base,Chimica,15.072977
2015,Campania,Benevento,,,5.262981
2015,Campania,Benevento,Energia ed acqua,Elettricità e gas,6.063537
2015,Campania,Benevento,Manifatturiera non di base,Lavorazione plastica e gomma,20.739458
2015,Campania,Benevento,Energia ed acqua,Estrazione combustibili,0.128412
2015,Campania,Benevento,Manifatturiera di base,Materiali da costruzione,20.060016
2015,Campania,Benevento,Manifatturiera non di base,Mezzi di trasporto,9.212237
2015,Campania,Benevento,Manifatturiera di base,Cartaria,0.564037
2015,Campania,Benevento,Energia ed acqua,Raffinazione e cokerie,0.009215
2015,Campania,Benevento,Manifatturiera non di base,Altre manifatturiere,9.136878
2015,Campania,Benevento,Manifatturiera di base,Siderurgica,0.527732
2015,Campania,Caserta,,,0.0
2015,Campania,Caserta,Energia ed acqua,Estrazione combustibili,0.186348
2015,Campania,Caserta,Manifatturiera di base,Chimica,249.343595
2015,Campania,Caserta,Manifatturiera non di base,Meccanica,101.710617
2015,Campania,Caserta,Manifatturiera non di base,Altre manifatturiere,32.48605
2015,Campania,Caserta,Manifatturiera non di base,Alimentare,142.41536
2015,Campania,Caserta,Manifatturiera di base,Metalli non ferrosi,93.760971
