date,price
2022-01-10,115.14000000
2022-01-11,115.38000000
2022-01-12,114.74000000
2022-01-13,114.06000000
2022-01-14,113.89000000
2022-01-18,114.60000000
2022-01-19,114.28000000
2022-01-20,114.08000000
2022-01-21,113.72000000
2022-01-24,113.82000000
2022-01-25,113.88000000
2022-01-26,114.33000000
2022-01-27,115.47000000
2022-01-28,115.21000000
2022-01-31,115.22000000
2022-02-01,114.77000000
2022-02-02,114.36000000
2022-02-03,114.88000000
2022-02-04,115.22000000
2022-02-07,115.09000000
2022-02-08,115.62000000
2022-02-09,115.44000000
2022-02-10,115.84000000
2022-02-11,115.91000000
2022-02-14,115.72000000
2022-02-15,115.64000000
2022-02-16,115.41000000
2022-02-17,115.03000000
2022-02-18,115.08000000
2022-02-22,114.94000000
2022-02-23,115.12000000
2022-02-24,115.45000000
2022-02-25,115.62000000
2022-02-28,115.11000000
2022-03-01,114.87000000
2022-03-02,115.59000000
2022-03-03,115.67000000
2022-03-04,114.65000000
2022-03-07,115.41000000
2022-03-08,115.64000000
2022-03-09,115.87000000
2022-03-10,116.05000000
2022-03-11,117.08000000
2022-03-14,118.00000000
2022-03-15,118.19000000
2022-03-16,118.48000000
2022-03-17,118.45000000
2022-03-18,119.17000000
2022-03-21,119.15000000
2022-03-22,120.66000000
2022-03-23,121.02000000
2022-03-24,122.08000000
2022-03-25,121.98000000
2022-03-28,123.25000000
2022-03-29,122.61000000
2022-03-30,121.97000000
2022-03-31,121.44000000
2022-04-01,122.60000000
2022-04-04,122.70000000
2022-04-05,123.48000000
2022-04-06,123.70000000
2022-04-07,123.80000000
2022-04-08,124.31000000
2022-04-11,125.55000000
2022-04-12,125.25000000
2022-04-13,125.51000000
2022-04-14,125.92000000
2022-04-15,126.31000000
2022-04-18,126.77000000
2022-04-19,128.55000000
2022-04-20,127.76000000
2022-04-21,128.62000000
2022-04-22,128.78000000
2022-04-25,127.66000000
2022-04-26,127.37000000
2022-04-27,128.44000000
2022-04-28,130.94000000
2022-04-29,129.84000000
2022-05-02,130.18000000
2022-05-03,130.09000000
2022-05-04,129.97000000
2022-05-05,130.41000000
2022-05-06,130.35000000
2022-05-09,130.37000000
2022-05-10,130.21000000
2022-05-11,130.20000000
2022-05-12,128.10000000
2022-05-13,129.23000000
2022-05-16,129.15000000
2022-05-17,129.31000000
2022-05-18,128.22000000
2022-05-19,127.62000000
2022-05-20,127.86000000
2022-05-23,127.78000000
2022-05-24,126.56000000
2022-05-25,127.31000000
2022-05-26,127.23000000
2022-05-27,127.14000000
2022-05-31,128.53000000
2022-06-01,130.09000000
2022-06-02,129.83000000
2022-06-03,130.71000000
2022-06-06,131.55000000
2022-06-07,132.53000000
2022-06-08,134.06000000
2022-06-09,134.06000000
2022-06-10,134.19000000
2022-06-13,134.12000000
2022-06-14,134.89000000
2022-06-15,134.50000000
2022-06-16,131.65000000
2022-06-17,135.14000000
2022-06-21,136.25000000
2022-06-22,136.05000000
2022-06-23,134.72000000
2022-06-24,135.22000000
2022-06-27,135.26000000
2022-06-28,136.19000000
2022-06-29,136.50000000
2022-06-30,135.69000000
2022-07-01,135.09000000
2022-07-05,135.72000000
2022-07-06,135.66000000
2022-07-07,135.99000000
2022-07-08,136.16000000
2022-07-11,137.29000000
2022-07-12,136.68000000
2022-07-13,137.34000000
2022-07-14,138.94000000
2022-07-15,138.57000000
2022-07-18,138.23000000
2022-07-19,137.94000000
2022-07-20,138.16000000
2022-07-21,137.94000000
2022-07-22,136.12000000
2022-07-25,136.72000000
2022-07-26,136.62000000
2022-07-27,137.31000000
2022-07-28,134.45000000
2022-07-29,133.25000000
2022-08-01,131.80000000
2022-08-02,132.32000000
2022-08-03,134.18000000
2022-08-04,133.28000000
2022-08-05,135.33000000
2022-08-08,134.73000000
2022-08-09,134.95000000
2022-08-10,132.58000000
2022-08-11,132.66000000
2022-08-12,133.57000000
2022-08-15,133.13000000
2022-08-16,134.38000000
2022-08-17,135.40000000
2022-08-18,135.29000000
2022-08-19,137.01000000
2022-08-22,137.57000000
2022-08-23,136.36000000
2022-08-24,136.92000000
2022-08-25,136.83000000
2022-08-26,137.07000000
2022-08-29,138.74000000
2022-08-30,138.73000000
2022-08-31,138.69000000
2022-09-01,139.93000000
2022-09-02,140.03000000
2022-09-06,142.95000000
2022-09-07,144.39000000
2022-09-08,144.05000000
2022-09-09,142.44000000
2022-09-12,142.41000000
2022-09-13,144.30000000
2022-09-14,142.93000000
2022-09-15,143.57000000
2022-09-16,143.04000000
2022-09-19,143.34000000
2022-09-20,143.64000000
2022-09-21,144.14000000
2022-09-22,142.16000000
2022-09-23,143.18000000
2022-09-26,144.45000000
2022-09-27,144.71000000
2022-09-28,144.15000000
2022-09-29,144.45000000
2022-09-30,144.71000000
2022-10-03,144.50000000
2022-10-04,144.32000000
2022-10-05,144.73000000
2022-10-06,144.94000000
2022-10-07,145.19000000
2022-10-11,145.55000000
2022-10-12,146.87000000
2022-10-13,147.15000000
2022-10-14,148.46000000
2022-10-17,148.71000000
2022-10-18,149.23000000
2022-10-19,149.77000000
2022-10-20,149.82000000
2022-10-21,146.35000000
2022-10-24,148.76000000
2022-10-25,147.85000000
2022-10-26,146.50000000
2022-10-27,146.02000000
2022-10-28,147.68000000
2022-10-31,148.63000000
2022-11-01,148.11000000
2022-11-02,147.11000000
2022-11-03,148.18000000
2022-11-04,147.22000000
2022-11-07,146.64000000
2022-11-08,145.38000000
2022-11-09,146.15000000
2022-11-10,141.78000000
2022-11-14,140.43000000
2022-11-15,139.36000000
2022-11-16,139.59000000
2022-11-17,140.45000000
2022-11-18,140.03000000
2022-11-21,141.95000000
2022-11-22,141.29000000
2022-11-23,139.76000000
2022-11-25,139.21000000
2022-11-28,138.67000000
2022-11-29,138.28000000
2022-11-30,139.31000000
2022-12-01,135.55000000
2022-12-02,134.89000000
2022-12-05,136.55000000
2022-12-06,136.67000000
2022-12-07,136.57000000
2022-12-08,136.45000000
2022-12-09,136.40000000
2022-12-12,137.47000000
2022-12-13,135.14000000
2022-12-14,134.95000000
2022-12-15,137.92000000
2022-12-16,136.55000000
2022-12-19,136.87000000
2022-12-20,131.08000000
2022-12-21,132.36000000
2022-12-22,132.34000000
2022-12-23,132.78000000
2022-12-27,133.43000000
2022-12-28,134.27000000
2022-12-29,133.16000000
2022-12-30,131.81000000
2023-01-03,130.83000000
2023-01-04,132.00000000
2023-01-05,133.57000000
2023-01-06,132.21000000
2023-01-09,131.58000000
2023-01-10,132.25000000
2023-01-11,132.58000000
2023-01-12,129.75000000
2023-01-13,127.85000000
2023-01-17,128.18000000
2023-01-18,128.45000000
2023-01-19,128.48000000
2023-01-20,129.97000000
2023-01-23,130.69000000
2023-01-24,130.07000000
2023-01-25,129.64000000
2023-01-26,130.40000000
2023-01-27,129.94000000
2023-01-30,130.34000000
2023-01-31,130.17000000
2023-02-01,129.27000000
2023-02-02,128.45000000
2023-02-03,131.07000000
2023-02-06,132.76000000
2023-02-07,131.37000000
2023-02-08,131.27000000
2023-02-09,130.98000000
2023-02-10,131.50000000
2023-02-13,132.71000000
2023-02-14,133.05000000
2023-02-15,134.22000000
2023-02-16,133.95000000
2023-02-17,134.21000000
2023-02-21,134.87000000
2023-02-22,134.77000000
2023-02-23,134.80000000
2023-02-24,136.36000000
2023-02-27,136.18000000
2023-02-28,136.09000000
2023-03-01,135.82000000
2023-03-02,136.84000000
2023-03-03,136.09000000
2023-03-06,135.93000000
2023-03-07,136.90000000
2023-03-08,137.18000000
2023-03-09,136.41000000
2023-03-10,135.05000000
2023-03-13,133.13000000
2023-03-14,134.33000000
2023-03-15,132.81000000
2023-03-16,133.01000000
2023-03-17,132.01000000
2023-03-20,131.59000000
2023-03-21,132.27000000
2023-03-22,132.67000000
2023-03-23,130.99000000
2023-03-24,130.64000000
2023-03-27,131.49000000
2023-03-28,130.97000000
2023-03-29,132.69000000
2023-03-30,132.71000000
2023-03-31,132.75000000
2023-04-03,132.35000000
2023-04-04,131.60000000
2023-04-05,131.11000000
2023-04-06,131.67000000
2023-04-07,132.11000000
2023-04-10,133.75000000
2023-04-11,133.63000000
2023-04-12,133.25000000
2023-04-13,132.37000000
2023-04-14,133.74000000
2023-04-17,134.51000000
2023-04-18,134.11000000
2023-04-19,134.79000000
2023-04-20,134.10000000
2023-04-21,134.28000000
2023-04-24,134.41000000
2023-04-25,133.96000000
2023-04-26,133.72000000
2023-04-27,134.04000000
2023-04-28,135.99000000
2023-05-01,137.35000000
2023-05-02,136.46000000
2023-05-03,135.31000000
2023-05-04,133.76000000
2023-05-05,134.85000000
2023-05-08,134.83000000
2023-05-09,135.15000000
2023-05-10,134.52000000
2023-05-11,134.46000000
2023-05-12,135.63000000
2023-05-15,136.07000000
2023-05-16,136.62000000
2023-05-17,137.51000000
2023-05-18,138.50000000
2023-05-19,137.67000000
2023-05-22,138.65000000
2023-05-23,138.74000000
2023-05-24,139.14000000
2023-05-25,139.81000000
2023-05-26,140.53000000
2023-05-30,139.83000000
2023-05-31,139.78000000
2023-06-01,138.74000000
2023-06-02,139.76000000
2023-06-05,139.64000000
2023-06-06,139.67000000
2023-06-07,139.98000000
2023-06-08,138.83000000
2023-06-09,139.35000000
2023-06-12,139.72000000
