zone,eic,datetime,price_eur_mwh
IT-North,10Y1001A1001A73I,2026-04-25 18:30:00+02:00,146.89
IT-North,10Y1001A1001A73I,2026-04-25 18:45:00+02:00,174.23
IT-North,10Y1001A1001A73I,2026-04-25 19:00:00+02:00,142.84
IT-North,10Y1001A1001A73I,2026-04-25 19:15:00+02:00,149.62
IT-North,10Y1001A1001A73I,2026-04-25 19:30:00+02:00,163.97
IT-North,10Y1001A1001A73I,2026-04-25 19:45:00+02:00,183.57
IT-North,10Y1001A1001A73I,2026-04-25 20:00:00+02:00,161.99
IT-North,10Y1001A1001A73I,2026-04-25 20:15:00+02:00,174.23
IT-North,10Y1001A1001A73I,2026-04-25 20:30:00+02:00,174.23
IT-North,10Y1001A1001A73I,2026-04-25 20:45:00+02:00,173.27
IT-North,10Y1001A1001A73I,2026-04-25 21:00:00+02:00,157.5
IT-North,10Y1001A1001A73I,2026-04-25 21:15:00+02:00,150.17
IT-North,10Y1001A1001A73I,2026-04-25 21:30:00+02:00,145.35
IT-North,10Y1001A1001A73I,2026-04-25 21:45:00+02:00,142.84
IT-North,10Y1001A1001A73I,2026-04-25 22:00:00+02:00,152.82
IT-North,10Y1001A1001A73I,2026-04-25 22:15:00+02:00,145.35
IT-North,10Y1001A1001A73I,2026-04-25 22:30:00+02:00,142.84
IT-North,10Y1001A1001A73I,2026-04-25 22:45:00+02:00,142.84
IT-North,10Y1001A1001A73I,2026-04-25 23:00:00+02:00,142.84
IT-North,10Y1001A1001A73I,2026-04-25 23:15:00+02:00,132.0
IT-North,10Y1001A1001A73I,2026-04-25 23:30:00+02:00,132.0
IT-North,10Y1001A1001A73I,2026-04-25 23:45:00+02:00,123.25
IT-North,10Y1001A1001A73I,2026-04-26 00:00:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 00:15:00+02:00,139.87
IT-North,10Y1001A1001A73I,2026-04-26 00:30:00+02:00,135.89
IT-North,10Y1001A1001A73I,2026-04-26 00:45:00+02:00,112.4
IT-North,10Y1001A1001A73I,2026-04-26 01:00:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 01:15:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 01:30:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 01:45:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 02:00:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 02:15:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 02:30:00+02:00,134.0
IT-North,10Y1001A1001A73I,2026-04-26 02:45:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 03:00:00+02:00,132.16
IT-North,10Y1001A1001A73I,2026-04-26 03:15:00+02:00,131.57
IT-North,10Y1001A1001A73I,2026-04-26 03:30:00+02:00,134.0
IT-North,10Y1001A1001A73I,2026-04-26 03:45:00+02:00,138.97
IT-North,10Y1001A1001A73I,2026-04-26 04:00:00+02:00,130.98
IT-North,10Y1001A1001A73I,2026-04-26 04:15:00+02:00,129.5
IT-North,10Y1001A1001A73I,2026-04-26 04:30:00+02:00,132.63
IT-North,10Y1001A1001A73I,2026-04-26 04:45:00+02:00,132.16
IT-North,10Y1001A1001A73I,2026-04-26 05:00:00+02:00,139.42
IT-North,10Y1001A1001A73I,2026-04-26 05:15:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 05:30:00+02:00,140.0
IT-North,10Y1001A1001A73I,2026-04-26 05:45:00+02:00,122.84
IT-North,10Y1001A1001A73I,2026-04-26 06:00:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 06:15:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 06:30:00+02:00,138.01
IT-North,10Y1001A1001A73I,2026-04-26 06:45:00+02:00,140.54
IT-North,10Y1001A1001A73I,2026-04-26 07:00:00+02:00,151.11
