Società,Partita IVA,Sede Legale,Settori Attività
ASM TERNI S.P.A.,00693630550,Via Bruno Capponi 100 - 05100 Terni (Terni), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti; Trattamento e recupero dei rifiuti urbani; Trattamento e smaltimento dei rifiuti urbani
ASM TIONE - AZIENDA SERVIZI MUNICIPALIZZATI,01531350229,Via Stenico 11 - 38079 Tione di Trento (Trento), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Depurazione - Depurazione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse
ASM VERCELLI SPA,01938630025,Corso PALESTRO 130 - 13100 Vercelli (Vercelli)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - proprietari non utilizzatori di immobilizzazioni (art. 17 TIU); Attività diverse - altro - ( GESTIONE, MANUTENZIONE E SVILUPPO IMPIANTI DI ILLUMINAZIONE CIMITERIALE ) ; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Trattamento e recupero dei rifiuti urbani; Trattamento e smaltimento dei rifiuti urbani"
ASPM SORESINA SERVIZI SRL,01300290192,Via Cairoli 17 - 26015 Soresina (Cremona), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; h) vendita di energia elettrica ai clienti finali in maggior tutela
AURINO ENERGIA SRL,00742610215,Via ENZ SCHACHEN 11 - 39030 Valle Aurina/Ahrntal (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZ. EL. HALLER SAS DI KRUSELBURGHER ANDREAS,01545520213,"Via Ridanna, Masseria  22 - 39040 Racines/Ratschings (Bolzano/Bozen)", d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
AZIENDA ELETTRICA - E-WERKE Gröbner Ekkehard & Co. Kg.-S.A.S,01190060218,Via MULINO 3 - Frazione COLLE ISARCO 3 - 39041 Brennero/Brenner (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZIENDA ELETTRICA ANTERSELVA SRL,00100010214,Via Anterselva di Mezzo 21 - 39030 Rasun Anterselva/Rasen-Antholz (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
Azienda Elettrica Casies Società Coop. ,00169230216,Via San Martino 10 b - 39030 Valle di Casies/Gsies (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZIENDA ELETTRICA CHIENES S.R.L.,00159160217,Via Grünbach 28 - 39030 Chienes/Kiens (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZIENDA ELETTRICA DOBBIACO SPA,00099970212,Piazza Municipio 1 - 39034 Dobbiaco/Toblach (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZIENDA ELETTRICA KALMTAL,01544360215,Via Trifterweg 9x - 39010 San Martino in Passiria/St. Martin in Passeier (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZIENDA ELETTRICA LA VALLE COOPERATIVA,00318000213,Via Pidrô  9 - 39030 La Valle/Wengen (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZIENDA ELETTRICA LUSON,00167510213,Via Luson 21 - 39040 Luson/Luesen (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZIENDA ELETTRICA STEIN S.R.L.,01569400219,Via Fraz. Sasso 92 - 39040 Val di Vizze/Pfitsch (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
AZIENDA ELETTRICA STELVIO SOC. COOP,00160540217,Via Gomagoi 30 - 39029 Stelvio/Stilfs (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica
AZIENDA ELETTRICA VERSCIACO PRATO ALLA DRAVA SOC. COOP. A R.L.,00163060213,Via delle Ombre 1 - 39038 San Candido/Innichen (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
Azienda Elettrica Weissteiner Srl,01508980214,Via Kahler 16 - 39030 Chienes/Kiens (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
AZIENDA ENERGETICA FUNES SOCIETÀ COOPERATIVA,00170740211,Via Weissenbach 9 - 39040 Funes/Villnoess (Bolzano/Bozen)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - altro - ( - negozio di articoli elettrici e elettrodomestici
- installazione di impianti elettrici per terzi
 ) ; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica"
"Azienda Energetica Prato Società Cooperativa in breve ""EWP Società Cooperativa""",00156340218,Via Croce 5/C - 39026 Prato allo Stelvio/Prad am Stilfser Joch (Bolzano/Bozen)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica"
AZIENDA ENERGETICA S. MARTINO SRL,01035730215,Via Paese 46 - 39010 San Martino in Passiria/St. Martin in Passeier (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
AZIENDA PUBBLISERVIZI BRUNICO,00734480213,Via ANELLO NORD 19 - 39031 Brunico/Bruneck (Bolzano/Bozen)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Adduzione; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - produzione combinata di energia elettrica e termica quando il rapporto tra quantità di energia elettrica ed energia termica è inferiore a 1; Attività diverse - trasporto, distribuzione e vendita di energia termica; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Acquedotto - Distribuzione; Acquedotto - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica"
C.E.G. SOCIETA' COOPERATIVA ELETTRICA GIGNOD,00035870070,Località La Croix-Noire - Rue Croix-Noire 61 - 11020 Saint-Christophe (Aosta)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - altro - ( servizi conto terzi ) "
Castalta Cooperativa  Elettrica,01065190215,"Via Badia, Castalta 2 - 39036 Badia/Abtei (Bolzano/Bozen)", a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
CENTRALE ELETTRICA AHRNTAL SOCIETA' COOPERATIVA,01109590214,Via Rio Weissenbach 12/A - 39030 Valle Aurina/Ahrntal (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
CENTRALE ELETTRICA S.N.C. COLZ SPESSA,01456270212,Via SPESSA 224 - 39030 La Valle/Wengen (Bolzano/Bozen), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela
COMUNE DI ANDALO,00319630224,Piazza CENTRALE 1 - 38010 Andalo (Trento)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Altre attività idriche - Riscossione; Attività diverse - Ente territorialmente competente: laddove l'Ente di governo dell'Ambito non sia costituito ed operativo, è la Regione o la Provincia autonoma o altri enti competenti, ai sensi dell'art. 1 del MTR - delib. ARERA 443/2019/R/RIF - (settore rifiuti)"
COMUNE DI ANVERSA DEGLI ABRUZZI,00161690664,Via Giambattista Manso 5 - 67030 Anversa degli Abruzzi (L'Aquila)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Fognatura - Nera e mista; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
COMUNE DI BENETUTTI,00289880908,Corso FRANCESCO COCCO ORTU 76 - 07010 Benetutti (Sassari)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - Ente territorialmente competente: laddove l'Ente di governo dell'Ambito non sia costituito ed operativo, è la Regione o la Provincia autonoma o altri enti competenti, ai sensi dell'art. 1 del MTR - delib. ARERA 443/2019/R/RIF - (settore rifiuti); Gestione tariffe e rapporto con gli utenti"
COMUNE DI BERCHIDDA,00111140901,Piazza del Popolo  5 - 07022 Berchidda (Sassari)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - Ente territorialmente competente: laddove l'Ente di governo dell'Ambito non sia costituito ed operativo, è la Regione o la Provincia autonoma o altri enti competenti, ai sensi dell'art. 1 del MTR - delib. ARERA 443/2019/R/RIF - (settore rifiuti); Gestione tariffe e rapporto con gli utenti"
COMUNE DI CASTEL DEL MONTE,00114540669,Via della Vittoria 1 - 67023 Castel del Monte (L'Aquila)," d) distribuzione dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Fognatura - Nera e mista; Gestione tariffe e rapporto con gli utenti"
COMUNE DI CASTIGLIONE DI SICILIA,00291090876,Piazza  LAURIA 1 - 95012 Castiglione di Sicilia (Catania)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Gestione tariffe e rapporto con gli utenti; Trattamento e smaltimento dei rifiuti urbani"
COMUNE DI PACENTRO,00196170666,Via  S.MARIA MAGGIORE  22 - 67030 Pacentro (L'Aquila)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
COMUNE DI PERDIFUMO,00222010654,Piazza municipio 1 - 84060 Perdifumo (Salerno)," d) distribuzione dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Gestione tariffe e rapporto con gli utenti"
COMUNE DI ROCCA PIA,00144520665,Piazza San Rocco 12 - 67030 Rocca Pia (L'Aquila)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
COMUNE DI RONCO CANAVESE,01487160010,Via P.zza Municipio 1 - 10080 Ronco Canavese (Torino), d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Gestione tariffe e rapporto con gli utenti
COMUNE DI SARACINESCO,02145961005,Piazza  Roma  3 - 00020 Saracinesco (Roma)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - Ente territorialmente competente: laddove l'Ente di governo dell'Ambito non sia costituito ed operativo, è la Regione o la Provincia autonoma o altri enti competenti, ai sensi dell'art. 1 del MTR - delib. ARERA 443/2019/R/RIF - (settore rifiuti); Gestione tariffe e rapporto con gli utenti"
COMUNE DI SELLA GIUDICARIE,02401900226,Piazza CESARE BATTISTI 1 - 38087 Sella Giudicarie (Trento)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Bianca; Fognatura - Nera e mista; Altre attività idriche - Riscossione"
COMUNE DI SESSA CILENTO,00234990653,Via Roma 13 - 84074 Sessa Cilento (Salerno)," d) distribuzione dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
Comune di Silandro,01095160212,Via Principale 120 - 39028 Silandro/Schlanders (Bolzano/Bozen)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Fognatura - Bianca; Fognatura - Nera e mista; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti; Trattamento e smaltimento dei rifiuti urbani"
COMUNE DI USSITA,00166310433,Piazza XI Febbraio 5 - 62039 Ussita (Macerata)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Acquedotto - Distribuzione; Fognatura - Bianca; Fognatura - Nera e mista; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti"
COMUNE DI VILLA LATINA,00605750603,Piazza Umberto I 0 - 03040 Villa Latina (Frosinone)," d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti; Attività diverse - Ente territorialmente competente: laddove l'Ente di governo dell'Ambito non sia costituito ed operativo, è la Regione o la Provincia autonoma o altri enti competenti, ai sensi dell'art. 1 del MTR - delib. ARERA 443/2019/R/RIF - (settore rifiuti); Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti; Trattamento e recupero dei rifiuti urbani"
CONSORZIO ELETTRICO DI POZZA DI FASSA,00104200225,Strada de Pucia 3 - 38036 San Giovanni di Fassa (Trento), a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica
CONSORZIO ELETTRICO DI STORO SOCIETA' COOPERATIVA,00107210221,Via GARIBALDI 180 - 38089 Storo (Trento)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - attività non riconducibili ai settori dell'energia elettrica, del gas, idrico, teleriscaldamento e rifiuti"
CONSORZIO ELETTRICO INDUSTRIALE DI STENICO S.C.,00124060229,Frazione Ponte Arche Via Marconi 6 - 38077 Comano Terme (Trento)," a) produzione dell'energia elettrica; d) distribuzione dell'energia elettrica; e) misura dell'energia elettrica; h) vendita di energia elettrica ai clienti finali in maggior tutela; i) vendita ai clienti liberi dell'energia elettrica; Attività diverse - gestione, manutenzione e sviluppo di infrastrutture semaforiche e di illuminazione pubblica; Attività diverse - servizi prestati ad altre imprese ed enti, inclusi quelli prestati ad imprese rientranti nei settori del gas naturale e dell'energia elettrica (comma 26.2, lettera b) TIU); Attività diverse - altro - ( fornitura impianti fotovoltaici; elaborazine dati conto terzi ) "
