Società,Partita IVA,Sede Legale,Settori Attività
ASTEA SPA,01501460438,"Via L. GIGLI, 2 - 62019 Recanati (Macerata)", a) produzione dell'energia elettrica; p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Altre attività idriche - Attività idriche diverse; Produzione di energia termica; Distribuzione di energia termica; Misura di energia termica; Acquisto e vendita di energia termica; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti; Trattamento e recupero dei rifiuti urbani
ATAC CIVITANOVA SPA,01349510436,Via DEL CASONE 30 - 62012 Civitanova Marche (Macerata), p) distribuzione del gas naturale; q) misura del gas naturale; Acquedotto - Captazione; Acquedotto - Potabilizzazione; Acquedotto - Adduzione; Depurazione - Depurazione; Acquedotto - Distribuzione; Acquedotto - Misura; Fognatura - Nera e mista; Fognatura - Misura; Altre attività idriche - Attività idriche diverse; Altre attività idriche - Riscossione
AUSA MULTISERVIZI SRL,02268930308,Via Trieste 52 - 33052 Cervignano del Friuli (Udine), p) distribuzione del gas naturale; q) misura del gas naturale
Azienda Municipale Gas SpA,05491170725,Viale Biagio Accolti Gil Z.I. 9 - 70123 Bari (Bari), p) distribuzione del gas naturale; q) misura del gas naturale
AZIENDA SERVIZI INTERCOMUNALI MULTISERVICES SRL,02617890542,Via Piazza Matteotti 1 - 06019 Umbertide (Perugia), p) distribuzione del gas naturale; q) misura del gas naturale
AZIENDA SERVIZI TERRITORIALI SRL,03376720177,Via Breda 18/A - 25039 Travagliato (Brescia), p) distribuzione del gas naturale; q) misura del gas naturale; Raccolta e trasporto dei rifiuti urbani; Spazzamento e lavaggio delle strade; Gestione tariffe e rapporto con gli utenti
AZIENDA SERVIZI VALTROMPIA SPA,02013000985,Via Mameli 2/R - 25063 Gardone Val Trompia (Brescia), p) distribuzione del gas naturale; q) misura del gas naturale; Raccolta e trasporto dei rifiuti urbani
BA.SE. S.R.L.,03518190404,Via L. Galvani 17/B - 47122 Forlì (Forlì-Cesena), p) distribuzione del gas naturale; q) misura del gas naturale
BADANO GAS SRL,00497660092,Località Cà di Lodi snc - 17027 Giustenice (Savona)," p) distribuzione del gas naturale; q) misura del gas naturale; u) distribuzione, misura e vendita di altri gas a mezzo di reti canalizzate; Attività diverse - altro - ( VENDITA GAS GPL IN SERBATOI PRESSO CLIENTI CONCESSI IN COMODATO D'USO ) "
BASENGAS SRL,00126410778,Via Padova  - Marconia 1 - 75020 Pisticci (Matera), p) distribuzione del gas naturale; q) misura del gas naturale
BITRIGAS SRL,03262370715,Piazza MUNICIPIO  1 - 71032 Biccari (Foggia), p) distribuzione del gas naturale; q) misura del gas naturale
