DATA_RILEVAZIONE,BENZINA,GASOLIO_AUTO,GPL,METANO,GNL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ
2008-06-23,"0,39","0,31","-1,97",,,"-12,67","-5,4","0,5"
2008-06-30,"-0,06","-0,13","1,97",,,"9,01","20,51","12,37"
2008-07-07,"3,33","3,55","1,44",,,"19,86","31,51","35,2"
2008-07-14,"4,05","4,35","1,86",,,"-4,96","-2,72","8,91"
2008-07-21,"-8,23","-9,44",0,,,-20,"-18,89","-16,99"
2008-07-28,"-34,48","-34,27","0,24",,,"-36,22","-24,84","-19,51"
2008-08-04,"-22,19","-22,35","-7,88",,,"-21,25","4,74","-14,02"
2008-08-11,"-14,25","-34,48",0,,,"-33,25","-29,14","-17,9"
2008-08-18,"-4,66","-9,33",0,,,"-11,2","8,55","4,3"
2008-08-25,"1,81","-0,3",0,,,"20,93","-11,67","11,02"
2008-09-01,"3,78","-2,28","0,79",,,"-7,96","4,15","1,56"
2008-09-08,"-8,44","-19,44","-1,59",,,"-22,07","-21,81","-31,38"
2008-09-15,"-1,16","-20,79",0,,,"-5,66","-18,01","-15,32"
2008-09-22,"-39,06","-22,46","2,37",,,"-25,35","-14,23","-39,02"
2008-09-29,"7,92","9,49","0,35",,,"19,06","20,7","31,95"
2008-10-06,"-9,56","-3,14","-3,94",,,"-13,64","-7,53","-10,84"
2008-10-13,"-52,32","-61,87","-1,7",,,"-54,15","-46,19","-34,18"
2008-10-20,"-58,66","-45,08",0,,,"-59,75","-35,84","-50,27"
2008-10-27,"-26,32","-20,38","-1,78",,,"-2,14","6,93","14,21"
2008-11-03,"-10,84","-14,93",0,,,"-20,84","-21,89","-28,96"
2008-11-10,"-33,18","-7,45","-3,4",,,"-5,68","-9,8","-21,32"
2008-11-17,"-22,75","-17,25","-22,35",,,"-29,5","-21,47","-8,97"
2008-11-24,"-45,65","-44,04","-4,49",,,"-30,35","-11,28","-10,9"
2008-12-01,"-7,15","-6,78","-12,9",,,"-5,16","1,47","-4,54"
2008-12-08,"-19,15","-28,83","-14,09",,,"-34,88","-18,88","-15,49"
2008-12-15,"-13,22","-32,83","-9,78",,,"-35,8","-10,47","-18,11"
2008-12-22,"-12,41","-26,74","-8,15",,,"-23,35","-17,81","-15,58"
2009-01-05,"-19,54","-30,96","-1,21",,,"-17,46","-7,89","-16,08"
2009-01-12,"30,23","29,69","-1,41",,,"25,31","16,68","30,79"
2009-01-19,"19,54","17,93","-14,53",,,"1,41","-3,26","-12,01"
2009-01-26,"4,02","-9,11","-6,57",,,"-13,52","-6,21","9,68"
2009-02-02,"7,75","1,59","-0,7",,,"6,63","6,16","-0,51"
2009-02-09,"-2,11","3,34","6,66",,,"-8,07","-0,34","0,13"
2009-02-16,"-7,41","-4,76",0,,,"-6,41","-0,42","10,25"
2009-02-23,"8,63","-27,93",0,,,"-20,5","23,61","-4,74"
2009-03-02,"12,94","-12,38",0,,,"2,59","5,88","5,07"
2009-03-09,"4,45","-2,72",0,,,"-13,88","-66,7","-9,87"
2009-03-16,"4,32","0,69","-13,27",,,"-7,97","0,89","8,22"
2009-03-23,"-0,52","7,67","-11,72",,,"16,47","32,32","-7,01"
2009-03-30,"21,94","15,03","-7,08",,,"25,54","55,3","10,66"
2009-04-06,"-10,55","-9,23","-1,15",,,"-2,83","-40,01","-1,06"
2009-04-20,"20,44","19,52","-10,92",,,"4,34","4,99","13,89"
2009-04-27,"1,27","3,37","-1,59",,,"-15,27","-6,16","-2,55"
2009-05-04,"-14,26","-3,33",0,,,"-2,64","-1,46","-3,69"
2009-05-11,"46,06","19,23","-7,5",,,"12,89","21,4","26,42"
2009-05-18,"4,66",-5,"-3,16",,,"-0,81","-34,16","6,82"
2009-05-25,"29,02","-6,06","0,87",,,"-6,13","2,26","0,11"
2009-06-01,"12,75","4,67","4,03",,,"6,71","30,16","1,47"
2009-06-08,"7,56","25,43","9,17",,,"31,42","12,73","25,03"
2009-06-15,"21,7","19,42","3,44",,,"17,91","7,93","8,44"
2009-06-22,"10,99","8,54","0,44",,,"17,79","11,96","0,45"
2009-06-29,"-24,6","-16,47","0,58",,,"-15,02","-6,97","-18,2"
2009-07-06,"-12,03","-5,45","-10,55",,,"-12,54","-4,9","8,89"
2009-07-13,"-19,9","-21,51","2,33",,,"-22,78","-13,42","-13,19"
2009-07-20,"-8,24","-9,74","0,71",,,"7,38","10,07","17,33"
2009-07-27,"28,11","37,85","0,76",,,"20,59","12,6","9,87"
2009-08-03,"0,63","1,23",0,,,"9,55","4,62",-2
2009-08-10,"27,41","23,23","1,41",,,"11,82","9,27","8,55"
2009-08-17,"-3,54","-3,6","-0,42",,,"-2,67","-2,63","7,02"
2009-08-24,"-7,62","-4,71","-1,41",,,"1,04","7,4","5,59"
2009-08-31,"-4,21","-2,07",0,,,"-6,28","-8,46","1,24"
2009-09-07,"-20,02",-22,0,,,"-19,07","-9,79","-18,73"
2009-09-14,"-2,01","-1,86",0,,,"0,51","-1,76","-2,49"
2009-09-21,"-2,85","-1,59","-0,62",,,"1,4","5,9","5,88"
2009-09-28,"-26,19","-15,72",0,,,"-14,62","-17,67","-14,8"
2009-10-05,"-4,61","3,48","-0,01",,,"1,43","-0,6","6,74"
2009-10-12,"14,79","7,39","0,01",,,"6,11","9,66","-1,08"
2009-10-19,"13,28","19,94",0,,,"26,45","9,68","6,79"
2009-10-26,"22,08","20,08",0,,,"18,12","17,06",22
2009-11-02,"8,34",8,"-1,44",,,"10,01","2,62","9,09"
2009-11-09,"-1,8","-5,11","24,03",,,"-4,96","0,57","-6,39"
2009-11-16,"-10,47","-12,83","14,38",,,"-10,73","-6,9","-2,44"
2009-11-23,"6,16",8,"5,72",,,"0,8","4,65","2,41"
2009-11-30,"-7,48","-7,13","5,18",,,"-5,66","-5,09","-4,43"
2009-12-07,"-0,22","0,56","0,64",,,"1,16","1,56","-0,46"
2009-12-14,"-10,76","-9,18","2,46",,,"-6,19","-11,28","-8,22"
2009-12-21,"-6,33","4,46","7,67",,,"15,13","11,63","5,01"
2009-12-28,"8,05","3,63","0,42",,,"6,62","4,18","10,04"
2010-01-04,"21,94","18,49","3,91",,,"13,44","7,48","4,26"
2010-01-11,"16,79","17,51","4,9",,,"29,33","22,42","21,87"
2010-01-18,"5,18","4,55","9,25",,,"-13,14","-13,43","-16,2"
2010-01-25,"-2,11","-10,37","1,97",,,"-4,47","-3,45","-2,48"
2010-02-01,"-1,23","-11,11","1,52",,,"-11,8","-2,65","0,93"
2010-02-08,"8,22","6,9","11,33",,,"5,85","-0,31","-2,21"
2010-02-15,"-13,84","-7,71","9,14",,,"-4,67","7,29","1,39"
2010-02-22,"4,12","19,85","9,58",,,"16,76","15,98","7,34"
2010-03-01,"22,08","25,79","0,09",,,"6,76","-7,35","-12,21"
2010-03-08,"19,25","0,94","0,02",,,"12,03","3,47","13,37"
2010-03-15,"10,72","7,72","0,02",,,"8,44","2,74","1,52"
