node_id,lon,lat,sslm_m
577,13.06949,46.08278,122
578,7.39401,45.31824,662
579,9.13157,41.13936,53
580,8.50683,45.79118,401
581,10.70989,44.34180,743
582,14.41184,41.83861,770
583,10.22588,43.92200,1
584,10.71828,44.34684,854
585,10.54308,43.51898,64
586,11.05181,44.12224,557
587,13.19746,43.35760,725
588,14.38463,41.82809,847
589,10.89704,43.80367,62
590,12.77628,45.88853,18
591,11.81685,44.16513,229
592,14.15981,40.83407,21
593,7.38674,44.28139,964
594,13.71409,45.75991,234
595,10.60897,44.33998,933
596,11.89400,45.66551,38
597,13.92591,41.21516,109
598,12.47391,41.93781,43
599,12.16736,43.70937,792
600,13.25281,46.18869,182
601,9.33792,46.44478,1435
602,7.56446,44.19092,1165
603,9.77499,45.89238,972
604,13.33505,45.90584,25
605,8.48979,45.61411,242
606,9.70162,44.33668,596
607,15.83878,40.64020,646
608,13.11101,45.68560,0
609,13.16389,42.59094,810
610,13.93358,42.64410,91
611,12.53639,41.81707,65
612,9.04497,45.00605,83
613,11.34521,44.53869,26
614,14.47285,40.73734,4
615,16.94452,39.00990,49
616,10.52114,43.34967,54
617,16.83419,39.18396,116
618,16.08630,40.31373,782
619,12.45419,46.01878,743
620,17.99843,40.49645,38
621,13.53380,41.53508,90
622,10.91122,44.05952,616
623,8.48672,45.69319,302
624,13.50718,45.94842,47
625,9.30218,45.53894,133
626,10.74910,43.39361,399
627,10.37012,44.75143,72
628,10.39231,44.65992,140
629,10.89309,43.20769,647
630,9.59506,45.84114,551
631,8.27707,44.38047,339
632,10.66731,44.16854,1195
633,14.07313,41.44523,161
634,13.98765,42.47746,125
635,14.88608,41.06925,293
636,10.58833,43.29846,106
637,10.89015,44.68052,35
638,11.95759,43.97101,370
639,11.41856,43.21890,199
640,11.76648,44.19131,384
641,10.48571,43.88231,38
642,13.30273,46.07257,102
643,11.69392,42.84044,586
644,14.79678,36.72702,25
645,8.16831,44.99594,202
646,10.15410,45.81859,803
647,14.38312,40.97769,21
648,10.55818,43.33135,11
649,14.52095,41.93196,377
650,12.76741,42.06323,276
651,12.75928,42.71608,825
652,10.33255,44.51402,377
653,13.25376,46.39641,383
654,11.95556,45.28190,2
655,12.68275,37.65322,35
656,14.90144,41.63983,475
657,17.10315,40.58017,36
658,13.02910,41.27055,17
659,11.22102,44.23438,457
660,7.50087,45.73343,569
661,10.84701,46.03179,542
662,10.61077,43.27513,67
663,10.73626,45.53692,122
664,16.64548,39.59118,79
665,10.92775,45.96782,149
666,14.38622,42.23200,243
667,15.02231,40.42203,19
668,10.77090,43.73847,13
669,11.22213,46.50321,892
670,14.71185,41.82841,659
671,10.52667,43.42536,97
672,13.70736,43.28853,13
673,16.54342,38.57098,93
674,13.88233,42.60832,150
675,10.77546,43.74332,17
676,11.87581,43.95142,467
677,11.60274,44.85864,5
678,10.25742,42.77428,65
679,8.35481,44.53339,389
680,10.87300,44.73665,29
681,16.73871,40.33819,31
682,13.11445,46.50565,675
683,13.97861,42.51430,219
684,13.83999,42.20107,272
685,10.53914,43.52853,83
686,16.60409,38.90120,215
687,9.01270,39.08132,10
688,10.71960,43.15881,173
689,16.37195,40.60938,482
690,9.00008,39.22764,10
691,11.15375,45.38441,29
692,14.38575,42.23014,278
693,9.77000,44.08511,265
694,11.82030,44.14201,475
695,13.98309,42.61297,93
696,10.37406,44.74951,73
697,12.80349,45.94942,29
698,6.75159,45.04431,1228
699,10.53615,43.54042,48
700,9.67485,45.79474,325
701,11.71161,46.29683,1472
702,9.83305,45.86662,661
703,9.28375,45.71983,308
704,14.67110,42.16176,75
705,12.06897,45.35466,2
706,10.35798,46.06608,582
707,10.85311,44.37051,582
708,10.84133,44.31390,752
709,11.57507,46.63641,709
710,14.76796,41.56209,366
711,10.64035,43.54108,55
712,7.32349,44.65155,472
713,13.28389,38.12844,133
714,14.76035,42.06148,33
715,11.72094,44.04831,464
716,14.18313,41.57707,327
717,15.17227,37.23195,37
718,8.17668,45.37185,184
719,12.65828,46.08740,199
720,11.49304,44.51787,29
721,11.41755,43.23010,167
722,10.61196,43.07153,170
723,10.69814,43.27863,82
724,10.55158,43.32803,11
725,14.67595,42.16534,58
726,15.83922,40.64016,646
727,15.15921,37.22306,40
728,8.50605,45.74022,373
729,14.63786,41.55261,711
730,12.85306,37.69566,219
731,11.81811,44.07677,378
732,17.36103,40.82527,114
733,9.39962,46.32377,386
734,16.00995,40.93957,380
735,15.19873,38.08965,332
736,13.96085,42.65158,90
737,10.50068,43.62358,4
738,12.61539,41.93987,34
739,10.72388,43.15397,113
740,13.68880,37.92233,585
741,11.07480,44.27910,468
742,13.22597,41.43176,46
743,9.12998,39.77825,494
744,14.11611,42.34011,35
745,12.05779,43.65855,464
746,9.99494,44.31763,263
747,12.74055,42.88705,245
748,18.12965,40.16386,63
749,11.84888,45.11575,0
750,10.35472,43.53027,43
751,12.12853,43.82937,623
752,11.87378,44.11434,189
753,14.12968,42.32860,84
754,10.74135,43.38711,401
755,14.41221,41.83447,725
756,11.60814,44.09586,457
757,12.43919,44.09327,22
758,16.60407,40.14101,60
759,16.53804,40.40984,106
760,10.69053,44.28944,957
761,12.24546,45.42931,11
762,8.33659,44.36778,447
763,13.77543,42.50001,370
764,8.53281,45.63846,265
765,9.74068,45.73040,285
766,12.54326,42.00482,80
767,11.81046,44.88836,1
768,10.35865,44.14006,468
769,16.54420,40.41597,66
770,14.36380,37.93901,703
771,15.53596,40.85374,544
772,8.16402,45.67187,711
773,7.50574,45.73239,602
774,15.28286,38.18618,77
775,10.88599,45.65187,128
776,13.51285,46.11833,158
777,16.54555,40.42621,57
778,11.22998,44.21888,572
779,10.58965,43.04002,36
780,16.24941,39.38077,149
781,10.55353,44.26555,921
782,15.10336,41.68643,71
783,9.37967,46.17772,439
784,13.30202,46.14472,140
785,10.51754,45.18108,31
786,16.32238,40.79223,254
787,14.29862,41.82123,1091
788,8.98974,45.01818,78
789,12.47267,41.65465,45
790,13.94966,42.06050,407
791,9.99183,44.32244,289
792,12.82922,46.02515,69
793,14.33991,41.82492,811
794,13.10609,46.25098,180
795,10.49839,43.46523,57
796,12.73860,42.24905,163
797,14.66570,42.16572,73
798,14.71254,41.82641,634
799,14.68773,36.75382,71
800,14.88807,41.62752,553
801,13.58095,43.28763,92
802,9.38883,46.06644,850
803,12.51707,41.62973,36
804,12.22686,43.53361,366
805,11.97604,44.08496,149
806,10.90834,45.29863,34
807,11.56269,42.99861,319
808,12.68474,46.13033,249
809,12.68329,37.63184,68
810,10.61914,43.51177,254
811,10.67211,43.33364,40
812,9.00175,39.19876,11
813,7.56623,44.43320,486
814,10.81737,43.18959,251
815,11.54882,45.28059,11
816,9.43615,45.50106,113
817,9.02010,40.59190,512
818,12.71906,45.62969,-3
819,15.68172,41.06391,221
820,17.22028,40.48729,17
821,10.45041,43.70672,4
822,13.52991,37.30044,91
823,12.49932,41.63122,44
824,13.05603,41.93807,350
825,13.09751,45.93415,28
826,11.11635,45.93118,375
827,15.75975,38.16477,431
828,14.71329,41.57733,663
829,7.78566,44.87573,247
830,8.91718,39.38893,22
831,11.83724,43.66149,321
832,11.02632,44.35716,638
833,16.85269,41.05122,81
834,13.27967,46.37568,376
835,16.09392,39.68421,388
836,10.57536,43.37248,249
837,13.96379,42.64878,63
838,18.00132,40.12139,12
839,9.46746,45.17251,107
840,11.18385,46.69174,504
841,8.95024,45.58685,200
842,12.71179,41.80605,519
843,14.59189,41.82711,479
844,14.87465,37.53278,58
845,10.62440,43.86290,36
846,13.18182,46.15673,198
847,11.75950,45.23863,9
848,14.54402,40.76752,14
849,9.82269,45.86088,819
850,11.24982,45.02189,10
851,15.52468,38.17297,106
852,12.70501,45.86702,6
853,10.65396,43.72419,5
854,12.21933,46.71658,1231
855,11.54949,45.84913,1097
856,11.76015,42.12951,15
857,13.46671,46.10854,149
858,15.71751,40.60181,766
859,15.79033,40.32936,626
860,10.28296,45.65430,686
861,10.72065,43.69513,17
862,8.98162,44.54212,392
863,9.73777,45.38794,82
864,13.18175,45.86663,10
865,10.69885,43.83788,27
866,9.25493,45.41500,101
867,12.44556,42.17687,223
868,13.98272,42.61483,137
869,9.09044,45.53736,155
870,8.44591,45.73742,342
871,11.08263,46.06468,963
872,13.26524,46.02179,87
873,9.48203,40.95172,34
874,9.16264,45.61625,194
875,14.41864,42.23199,224
876,14.35278,37.92520,934
877,14.41557,40.93254,25
878,16.18975,40.26639,278
879,12.24111,42.05356,225
880,13.86031,42.31274,767
881,10.32426,46.21625,1158
882,8.19900,45.58964,339
883,9.46417,45.94376,737
884,13.93506,42.72054,39
885,16.85427,41.05090,80
886,12.91682,46.16500,158
887,10.74531,44.24693,900
888,7.59313,45.74421,455
889,14.99018,41.32753,850
890,11.07504,46.57428,716
891,10.33182,43.58480,0
892,10.68292,43.65442,40
893,10.17513,42.73886,27
894,11.84547,45.65338,43
895,10.76425,43.83206,16
896,9.69074,45.89718,1200
897,16.67166,41.17222,32
898,10.37892,45.83975,2044
899,8.55352,45.70173,368
900,13.35729,42.35803,623
901,9.95297,45.99501,908
902,12.54558,44.00874,28
903,10.52216,45.21346,35
904,11.76574,44.19241,377
905,10.84345,43.77388,60
906,10.32423,43.58461,2
907,13.07950,41.99959,1185
908,13.44784,45.85688,14
909,8.25986,46.04751,228
910,9.18518,44.82552,396
911,9.40463,46.14492,201
912,14.34321,37.92204,978
913,8.28979,44.38067,357
914,11.59283,44.17667,274
915,9.34255,39.33881,452
916,10.42649,44.71310,91
917,10.98647,46.06755,246
918,15.64256,40.85330,463
919,14.13348,42.40334,35
920,12.77786,46.42785,882
921,7.51099,44.98767,275
922,14.68293,36.76902,78
923,12.56071,45.87302,11
924,15.18980,37.17569,12
925,13.28733,43.20487,201
926,14.40360,40.77566,76
927,10.11327,45.84046,193
928,8.17750,44.07518,41
929,16.63398,40.13827,14
930,11.77734,43.72735,351
931,12.88185,46.18104,200
932,10.97507,44.32998,786
933,11.98451,44.09007,155
934,12.75444,45.61391,-3
935,16.28260,40.52008,283
936,14.88304,41.63759,535
937,10.59626,43.36136,142
938,12.35219,41.90382,40
939,14.33503,37.97615,505
940,16.51180,40.45685,62
941,12.73607,45.63593,-2
942,11.77973,45.32411,10
943,12.25068,41.77268,8
944,14.39770,41.81743,845
945,11.94039,44.53913,3
946,11.21895,44.21620,589
947,14.63204,42.18261,48
948,14.22938,41.86130,765
949,11.83816,44.83027,3
950,15.68068,41.07598,195
951,11.53650,46.82352,844
952,12.72603,43.52008,468
953,12.36434,41.93365,76
954,13.03202,46.17383,175
955,12.89101,41.47936,15
956,14.52804,42.18205,69
957,15.82594,40.63977,654
958,11.79425,43.07105,483
959,14.24954,40.90591,98
960,11.30326,45.38272,26
961,14.38208,37.30709,511
962,15.71629,41.35508,55
963,12.48234,44.07456,25
964,7.24664,45.81834,1585
965,10.57112,43.40072,394
966,13.08656,41.73312,201
967,12.88799,42.34127,405
968,11.49198,43.04427,552
969,15.05437,37.16705,471
970,8.99433,44.98770,96
971,13.65471,42.84472,82
972,10.74095,44.20741,1252
973,13.75408,37.96737,6
974,13.47787,45.72651,-2
975,10.37752,42.75562,6
976,14.43800,42.25043,192
977,14.41547,40.93285,25
978,13.29285,43.19410,369
979,10.05973,45.81134,313
980,16.73867,40.33817,31
981,15.82609,38.27380,587
982,16.48023,40.51133,74
983,16.53956,40.42687,68
984,7.00489,44.46925,1204
985,8.71557,44.42554,282
986,10.96727,45.83481,454
987,9.89856,45.54037,151
988,11.50809,45.09034,10
989,16.60069,40.69275,312
990,9.86498,45.48328,109
991,10.41806,45.23107,37
992,9.79993,45.88689,1239
