qid,name,type,lat,lon,capacity_mw
Q3664576,centrale idroelettrica di Ligonchio e Predare,centrale elettrica,44.314815,10.344796,
Q3664577,centrale idroelettrica di Lovero,centrale elettrica,,,
Q3664579,centrale idroelettrica di Montjovet,centrale elettrica,45.720027777,7.66725,50
Q3664580,centrale idroelettrica di Montorio,centrale elettrica,42.585825,13.70896944,
Q3664581,centrale idroelettrica di Morasco,centrale elettrica,46.4279,8.39092,
Q3664582,centrale idroelettrica di Piaganini,centrale elettrica,42.56115,13.56353,
Q3664583,Centrale idroelettrica di Pallanzeno,centrale elettrica,46.04789167,8.25907222,
Q3664584,centrale idroelettrica di Piova-Castellamonte,centrale elettrica,,,
Q3664586,centrale idroelettrica di Premadio,centrale elettrica,46.486444444,10.351361111,226
Q3664588,centrale idroelettrica di Quart,centrale elettrica,,,
Q3664589,centrale idroelettrica di Rusià,centrale elettrica,45.31541944,7.37939167,
Q3664590,centrale idroelettrica di Santa Caterina,centrale elettrica,,,
Q3664591,centrale idroelettrica di San Damiano Macra,centrale elettrica,44.48744444,7.24623889,
Q3664594,centrale idroelettrica di San Mauro Torinese,centrale elettrica,,,
Q3664595,centrale idroelettrica di Scandarello,centrale elettrica,42.64148,13.27028,
Q3664596,centrale idroelettrica di Sendren,centrale elettrica,,,
Q3664597,centrale idroelettrica di Soverzene,centrale elettrica,46.2009,12.3025,214
Q3664598,centrale idroelettrica di Signayes,centrale elettrica,45.753664,7.317334,
Q3664599,centrale idroelettrica di Stazzona,centrale elettrica,46.213667,10.15,30
Q3664601,centrale idroelettrica di Torrite,centrale elettrica,44.100666666,10.383027777,81
Q3664602,centrale idroelettrica di Venamartello,centrale elettrica,42.793814,13.430059,
Q3664603,centrale idroelettrica di Venaus,centrale elettrica,45.162055555,7.007888888,230
Q3664604,centrale idroelettrica di Verampio,centrale elettrica,46.24226,8.32451,54
Q3664605,centrale idroelettrica di Zuino,centrale elettrica,,,
Q16538850,centrale idroelettrica Molino di Poleo,centrale elettrica,45.72859,11.32687,
Q16538852,Centrale idroelettrica di Devero,centrale elettrica,46.32153889,8.25541944,
Q17624546,centrale idroelettrica di Piano della Rocca,centrale elettrica,44.0046981,10.5440581,
Q21236623,centrale idroelettrica di Isola Serafini,centrale elettrica,45.093194444,9.904777777,82
Q34599854,impianto dell'Armalunga,centrale elettrica,45.05522,9.71445,
Q38588050,centrale idroelettrica di Porto della Torre,centrale elettrica,45.676037,8.670573,
Q41528965,centrale idroelettrica di Rosone,centrale elettrica,45.435833333,7.418333333,185
Q41795029,centrale idroelettrica di Timpagrande,centrale elettrica,39.175777777,16.781138888,213.5
Q48804071,centrale idroelettrica di Lana,centrale elettrica,46.6128,11.1392,
Q48804131,asta idroelettrica di Valle Orco,centrale elettrica,45.440761,7.2079754,40
Q48804137,Centrale idroelettrica di Bardonetto,centrale elettrica,45.408801131,7.487190617,
Q51879620,centrale idroelettrica di San Floriano,centrale elettrica,46.290666666,11.246222222,180
Q55378800,centrale idroelettrica Guida,centrale elettrica,38.484325,16.453545,
Q56247635,centrale idroelettrica di Vizzola Ticino,centrale elettrica,45.6266,8.6822,
Q56357636,Q56357636,centrale elettrica,46.342638888,13.067,172.8
Q56357637,Q56357637,centrale elettrica,46.427305555,12.785972222,62.1
Q56357645,Q56357645,centrale elettrica,46.310527777,9.399916666,66.9
Q56357647,Q56357647,centrale elettrica,46.304527777,9.376916666,172.6
Q56357659,centrale idroelettrica di Ponte Gardena,centrale elettrica,46.604,11.531861111,55
Q56357674,Q56357674,centrale elettrica,46.717888888,11.668611111,90
Q56357675,Seled Glorenza hydroelectric power station,centrale elettrica,46.673972222,10.575972222,102
Q56357684,Castelbello hydroelectric power station,centrale elettrica,46.622722222,10.914833333,87
Q56357686,Lasa hydroelectric power station,centrale elettrica,46.611027777,10.708333333,63
Q56357698,centrale idroelettrica di Cogolo,centrale elettrica,46.366027777,10.689305555,98.3
Q56357717,Centrale idroelettrica di Mezzocorona,centrale elettrica,46.219416666,11.105527777,54
Q56357749,centrale di Torbole,centrale elettrica,45.883055555,10.883083333,110
Q56357785,centrale di Malga Boazzo,centrale elettrica,46.007916666,10.512111111,95
Q56357786,centrale idroelettrica di Cimego,centrale elettrica,45.922861111,10.627638888,220
Q56357788,centrale idroelettrica di Sonico,centrale elettrica,46.171,10.347916666,60
Q56357793,Q56357793,centrale elettrica,46.066027777,10.351222222,72
Q56357796,Q56357796,centrale elettrica,46.14075,10.12325,66
Q56357798,Q56357798,centrale elettrica,46.152777777,10.085138888,66.8
Q56357816,Q56357816,centrale elettrica,46.159916666,9.924638888,152.4
Q56357822,centrale di Sondrio,centrale elettrica,46.173361111,9.888166666,148
Q56357841,Q56357841,centrale elettrica,46.170111111,9.646361111,56.7
Q56357865,Q56357865,centrale elettrica,46.0365,12.303944444,65
Q56357886,Q56357886,centrale elettrica,46.279277777,8.353527777,71
Q56357909,centrale idroelettrica Valpelline,centrale elettrica,45.824666666,7.333055555,130
Q56357998,Q56357998,centrale elettrica,42.551333333,12.696694444,326
Q56358008,Q56358008,centrale elettrica,42.551388888,12.671611111,68
Q56358010,Q56358010,centrale elettrica,42.656416666,12.235833333,108
Q56358015,Q56358015,centrale elettrica,42.598805555,13.704166666,120.9
Q56358016,Q56358016,centrale elettrica,41.9615,14.348611111,57
Q56358096,Q56358096,centrale elettrica,40.130416666,15.510833333,60
Q56358121,Q56358121,centrale elettrica,39.183416666,16.834277777,50.5
Q56358137,Mucone 1 hydroelectric power station,centrale elettrica,39.47275,16.407222222,101
Q56358140,Mucone 2 hydroelectric power station,centrale elettrica,39.476472222,16.291222222,54
Q56404458,Galleto hydroelectric power station,centrale elettrica,,,295
Q56580070,ex centralina idroelettrica,centrale elettrica,46.052634369,11.398108903,
Q57315764,centrale idroelettrica Buzzi,centrale elettrica,45.83475,8.65012,
Q57333646,Centrale idroelettrica di Pozzolago,centrale elettrica,46.165722222,11.232416666,
Q58188365,centrale idroelettrica Malga Mare,centrale elettrica,,,
Q60333113,Impianto idroelettrico di San Colombano,centrale elettrica,45.880269444,11.06205,
Q63390113,Centrale idroelettrica Sant'Antonio,centrale elettrica,46.5132,11.3563,90
Q69300630,Centrale idroelettrica di Cadarese,centrale elettrica,46.289781,8.355377,
Q70327278,Centrale idroelettrica di Crevola Toce,centrale elettrica,46.159517,8.307285,
Q84704932,centrale della Lanca,centrale elettrica,45.95989,8.50924,
Q85860589,centrale idroelettrica di Rasin,centrale elettrica,46.489130555,10.305419444,
Q86211699,centrale idroelettrica di Naturno,centrale elettrica,46.65182,10.99306,175
Q101244771,Centrale idroelettrica di Maën,centrale elettrica,45.868166666,7.614666666,
Q102358430,centrale idroelettrica Antonio Pitter,centrale elettrica,46.148075816,12.634863643,
Q105781392,centrale idroelettrica di Pedesalto,centrale elettrica,46.02129,11.77848,
Q107179764,Kraftwerk Marling,centrale elettrica,46.660505,11.143184,
Q107227000,centrale idroelettrica di Muccia,centrale elettrica,43.0871,13.1104,
Q107232714,centrale idroelettrica di Caoria,centrale elettrica,46.20410171,11.662480509,
Q109376972,Centrale idroelettrica di Alanno,centrale elettrica,42.253333333,13.946111111,
Q116697989,centrale idroelettrica di Casuzze,centrale elettrica,38.0735542,13.3601805,
Q116762169,centrale idroelettrica di Tocco da Casauria,centrale elettrica,42.11587,13.52545,
Q116763985,Centrale idroelettrica di Meduno,centrale elettrica,46.21751933,12.77519434,
Q116763986,Centrale idroelettrica di Mese,centrale elettrica,46.304911,9.378257,
Q116763987,Centrale idroelettrica di Prestone,centrale elettrica,46.389631,9.3519,
