qid,name,lat,lon,capacity_mw,fuel,operator,commissioning,wikipedia_it
Q3664567,centrale idroelettrica di Fedio-Demonte,44.32946389,7.26705556,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Fedio-Demonte
Q3664564,centrale idroelettrica di Crego,46.246772,8.331979,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Crego
Q3664565,centrale idroelettrica di Demonte,44.31485278,7.27141944,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Demonte
Q3664570,centrale idroelettrica di Fucine,45.23163333,7.36585278,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Fucine
Q3664571,centrale idroelettrica di Grosio,46.29193316,10.266192392,428,,A2A,1956-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Grosio
Q3664568,centrale idroelettrica di Fervento,45.84223611,8.07566111,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Fervento
Q3664569,centrale idroelettrica di Gressoney,,,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Gressoney
Q3664574,centrale idroelettrica di Issime,,,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Issime
Q3664575,centrale idroelettrica di La Stanga,,,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_La_Stanga
Q3664572,centrale idroelettrica di Isollaz,,,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Isollaz
Q3664573,centrale idroelettrica di Isorella,,,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Isorella
Q3664578,centrale termoelettrica di Moncalieri,44.99285,7.67555278,754,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Moncalieri
Q3664579,centrale idroelettrica di Montjovet,45.720027777,7.66725,50,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Montjovet
Q3664576,centrale idroelettrica di Ligonchio e Predare,44.314815,10.344796,,,,1950-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Ligonchio_e_Predare
Q3664577,centrale idroelettrica di Lovero,,,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Lovero
Q3664582,centrale idroelettrica di Piaganini,42.56115,13.56353,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Piaganini
Q3664583,Centrale idroelettrica di Pallanzeno,46.04789167,8.25907222,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Pallanzeno
Q3664580,centrale idroelettrica di Montorio,42.585825,13.70896944,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Montorio
Q3664581,centrale idroelettrica di Morasco,46.4279,8.39092,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Morasco
Q3664586,centrale idroelettrica di Premadio,46.486444444,10.351361111,226,,,1953-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Premadio
Q3664587,centrale idroelettrica di Provvidenza,42.51124,13.41059,,,Enel,1940-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Provvidenza
Q3664584,centrale idroelettrica di Piova-Castellamonte,,,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Piova-Castellamonte
Q3664585,centrale idroelettrica di Pont Ventoux-Susa,45.137055555,7.032472222,150,,,1995-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Pont_Ventoux-Susa
Q3664590,centrale idroelettrica di Santa Caterina,,,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Santa_Caterina
Q3664591,centrale idroelettrica di San Damiano Macra,44.48744444,7.24623889,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_San_Damiano_Macra
Q3664588,centrale idroelettrica di Quart,,,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Quart
Q3664589,centrale idroelettrica di Rusià,45.31541944,7.37939167,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Rusi%C3%A0
Q3664594,centrale idroelettrica di San Mauro Torinese,,,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_San_Mauro_Torinese
Q3664595,centrale idroelettrica di Scandarello,42.64148,13.27028,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Scandarello
Q3664592,centrale idroelettrica di San Giacomo,42.537805555,13.556388888,490,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_San_Giacomo
Q3664593,centrale idroelettrica di San Fiorano,46.050111111,10.351444444,272,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_San_Fiorano
Q3664598,centrale idroelettrica di Signayes,45.753664,7.317334,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Signayes
Q3664599,centrale idroelettrica di Stazzona,46.213667,10.15,30,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Stazzona
Q3664596,centrale idroelettrica di Sendren,,,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Sendren
Q3664597,centrale idroelettrica di Soverzene,46.2009,12.3025,214,,Società Adriatica di Elettricità,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Soverzene
Q3664602,centrale idroelettrica di Venamartello,42.793814,13.430059,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Venamartello
Q3664603,centrale idroelettrica di Venaus,45.162055555,7.007888888,230,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Venaus
Q3664601,centrale idroelettrica di Torrite,44.100666666,10.383027777,81,,,1941-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Torrite
Q3664604,centrale idroelettrica di Verampio,46.24226,8.32451,54,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Verampio
Q3664605,centrale idroelettrica di Zuino,,,,,Compagnia Valdostana delle Acque,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Zuino
Q3664638,"centrale termoelettrica ""Alessandro Volta""",42.3583234,11.5363892,3600,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_%22Alessandro_Volta%22
Q3664639,"centrale termoelettrica ""Andrea Palladio""",45.4305635,12.2467364,871,,,1974-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_termoelettrica_%22Andrea_Palladio%22
Q3664636,Centrale solare termodinamica Archimede,37.1390489,15.2158928,700,,,,https://it.wikipedia.org/wiki/Centrale_solare_termodinamica_Archimede
Q3664637,centrale termica e cabina apparati centrali,43.78165,11.24496,,,,1935-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_termica_e_cabina_apparati_centrali
Q3664642,centrale termoelettrica EniPower di Brindisi,40.629214,18.0029016,1170,,EniPower,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_EniPower_di_Brindisi
Q3664640,centrale termoelettrica Edipower di Brindisi,40.6438532,17.9789503,640,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_Edipower_di_Brindisi
Q3664641,"centrale termoelettrica ""Eugenio Montale""",44.11083333,9.87444444,520,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_%22Eugenio_Montale%22
Q3664647,centrale termoelettrica di Nera Montoro,42.497091666,12.480719444,,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_di_Nera_Montoro
Q3664644,centrale termoelettrica Santa Barbara,43.56431389,11.47807778,391,,Enel,1955-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_termoelettrica_Santa_Barbara
Q3664645,centrale termoelettrica Marzocco,43.567603,10.311141,310,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_Marzocco
Q3664650,centrale termoelettrica di Turbigo,45.5202,8.7424,1280,,,1928-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_termoelettrica_di_Turbigo
Q3664648,centrale termoelettrica di Porto Tolle,44.956483,12.4877946,2640,olio combustibile,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_di_Porto_Tolle
Q3664649,centrale termoelettrica di Torrevaldaliga Nord,42.127432,11.758437,1845,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_di_Torrevaldaliga_Nord
Q3895583,parco eolico di Castiglione Messer Marino,41.877368,14.425191,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Castiglione_Messer_Marino
Q3895581,parco eolico dei Poggi Alti,42.74499444,11.38613056,,,,,https://it.wikipedia.org/wiki/Parco_eolico_dei_Poggi_Alti
Q3895586,parco eolico di Fraine,41.889445,14.467176,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Fraine
Q3895587,parco eolico di Monteferrante,41.947568,14.397175,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Monteferrante
Q3895584,parco eolico di Cocullo,42.049016,13.784899,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Cocullo
Q3895585,parco eolico di Collarmele,42.07341,13.64553,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Collarmele
Q3895590,parco eolico di Roccaspinalveti,41.906445,14.450819,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Roccaspinalveti
Q3895591,parco eolico di Roio del Sangro,41.902063,14.390682,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Roio_del_Sangro
Q3895588,parco eolico di Montazzoli,41.92079,14.401676,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Montazzoli
Q3895589,parco eolico di Montemignaio,43.717601,11.587189,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Montemignaio
Q3895592,parco eolico di Schiavi di Abruzzo,41.836354,14.483888,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Schiavi_di_Abruzzo
Q3895593,parco eolico di Tocco da Casauria,42.206418,13.903684,,,,,https://it.wikipedia.org/wiki/Parco_eolico_di_Tocco_da_Casauria
Q3895611,parco fotovoltaico di Sticciano,42.9594,11.13345,,,,,https://it.wikipedia.org/wiki/Parco_fotovoltaico_di_Sticciano
Q3984489,Termovalorizzatore di Acerra,40.978473,14.384058,99,,A2A,2009-03-01T00:00:00Z,https://it.wikipedia.org/wiki/Termovalorizzatore_di_Acerra
Q4138183,Centrale idroelettrica del Ponale,45.88313611,10.83803333,,,,1925-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_idroelettrica_del_Ponale
Q7371716,parco fotovoltaico di Rovigo,45.03583333,11.57222222,70.6,,MEMC Electronic Materials,,https://it.wikipedia.org/wiki/Parco_fotovoltaico_di_Rovigo
Q11971440,"Centrale termoelettrica ""Galileo Ferraris""",45.25206,8.19393,746,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_%22Galileo_Ferraris%22
Q11995737,Centrale di Piombino,42.956888,10.6032173,1280,,Enel,1977-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_Enel_di_Piombino
Q12008789,Centrale termoelettrica di Vado Ligure,44.2758371,8.4308229,760,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_di_Vado_Ligure
Q14646095,centrale idroelettrica di Roncovalgrande,46.06944444,8.73194444,1000,,,1968-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Roncovalgrande
Q16538823,centrale del Mercure,39.982163888,16.021294444,34,,,1965-11-14T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_del_Mercure
Q16538832,centrale di cogenerazione di Bolgiano,45.4152217,9.2843654,66,,EniPower,,https://it.wikipedia.org/wiki/Centrale_di_cogenerazione_di_Bolgiano
Q16538850,centrale idroelettrica Molino di Poleo,45.72859,11.32687,,,,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_Molino_di_Poleo
Q16538852,Centrale idroelettrica di Devero,46.32153889,8.25541944,,,Enel,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Devero
Q16538860,"centrale termoelettrica ""Giuseppe Volpi""",45.4592672,12.2305008,126,,,,https://it.wikipedia.org/wiki/Centrale_termoelettrica_%22Giuseppe_Volpi%22
Q17624546,centrale idroelettrica di Piano della Rocca,44.0046981,10.5440581,,,Enel Produzione,,https://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Piano_della_Rocca
Q17761941,centrale termoelettrica di Cassano d'Adda,45.51152778,9.51,748,,A2A,1961-01-01T00:00:00Z,https://it.wikipedia.org/wiki/Centrale_termoelettrica_di_Cassano_d%27Adda
Q1619540,Q1619540,46.79859,11.66793,,,,,
Q2551197,centrale di Cardano,46.495,11.396,121,,Societá Idroelettrica dell'Isarco,1926-01-01T00:00:00Z,
Q3664600,centrale idroelettrica di Telessio,45.483583333,7.372583333,,,,,
Q4721980,Alfonsine Solar Park,44.56666667,11.98333333,,,,,
Q5058285,Cellino San Marco Solar Park,40.46666667,17.96666667,,,,,
Q5340183,Centrale idroelettrica di Edolo,46.17083333,10.34777778,950,,,,
Q7232212,Portoscuso Wind Farm,,,,,,,
Q7241025,centrale idroelettrica di Presenzano,41.38138889,14.09027778,985,,,1991-01-01T00:00:00Z,
Q7419045,Sant'Alberto Solar Park,44.51666667,12.15,,,,,
Q7453211,Serenissima Solar Park,44.94305556,11.65333333,,,,,
Q11957609,Altomonte power plant,39.7114538,16.2153375,808,,,,
Q11963002,Q11963002,,,,,,,
Q11963074,Candela power plant,41.2018337,15.4762816,401,,,,
Q11968742,Ferrera Erbognone power plant,45.0994374,8.866788,1006,,EniPower,,
Q11983644,Leini power plant,45.1625228,7.7502805,385,,,,
Q11989857,Monfalcone power plant,,,315,,,,
Q11995675,Pietrafitta power plant,42.995278,12.199444,365,,,,
Q11998022,Rizziconi Power Station,38.4450477,15.9901339,760,,,,
Q11998472,centrale termoelettrica di Rossano,39.6214124,16.6075052,1738,,,,
Q11999586,Sarlux power plant,39.0780953,9.0222279,590,,,,
Q11999654,Scandale power plant,39.1022191,17.0326764,821,,,,
Q12003920,Sulcis power plant,39.1963096,8.4004104,432,,,,
Q12005579,centrale termoelettrica Ettore Maiorana,37.9684762,13.7517929,1052,,,,
Q12007122,Centrale termoelettrica Torrevaldaliga Sud,42.124492,11.761901,1180,,,,
Q12007183,centrale termoelettrica di Torviscosa,45.8168889,13.2891118,867,,,,
Q17772520,centrale termoelettrica Fiume Santo,40.847838888,8.30515,534,,,,
Q17776176,centrale termoelettrica di Gissi,42.0504149,14.5635387,840,,A2A,,
Q18745015,Q18745015,39.192444444,16.724777777,,,,,
Q19298796,Capriati hydroelectric power station,41.476305555,14.128222222,113,,,1963-01-01T00:00:00Z,
Q19375845,Isab Energy,37.1317066,15.2010495,576,,,,
Q19378684,Centrale Termoelletrica di La Casella,45.090568,9.4798937,1476,,,,
Q19380053,Livorno Ferraris power plant,45.2377183,8.1925848,776,,EP Produzione,,
Q19381036,Centrale di Marghera Levante,45.4460714,12.2553162,753,,,,
Q19381523,Q19381523,,,,,,,
Q19381733,Modugno power plant,41.1028328,16.7557275,810,,,,
Q19384929,Ostiglia power plant,45.0599482,11.1380397,1123,,EP Produzione,,
Q19385545,Ponti sul Mincio power plant,45.3999035,10.7142408,381,,,,
Q19386285,Enipower Ravenna power plant,44.4485512,12.2374445,961,,EniPower,,
Q19387537,Centrale di San Filippo del Mela,38.2029957,15.285212,960,,A2A,,
Q19388252,Sermide power plant,45.0266584,11.2511304,1151,,,,
Q19391999,centrale di Tavazzano,45.332976,9.43526,1970,,EP Produzione,,
Q30092492,Centrale Edison,45.542817,9.2517509,,,,,
Q30252550,parco eolico di Sedini,40.8558574,8.7701797,,,,,
Q30253156,parco eolico di Florinas,40.6191,8.645897,,,,,
Q30320986,parco eolico di Tula,40.760391,8.960209,,,,,
Q30321744,parco eolico di Campeda,40.399346,8.797871,,,,,
Q30329354,parco eolico di Buddusò e Alà dei Sardi,40.6742589,9.2623329,,,,,
Q34599854,impianto dell'Armalunga,45.05522,9.71445,,,,,
Q47492014,parco eolico di Ploaghe,40.712785,8.75399,,,,,
Q47492034,parco eolico di Fiume Santo,40.8397394,8.2924032,,,,,
Q47538509,parco eolico di Macchiareddu,39.2029943,8.9775467,,,,,
Q47538517,parco eolico del Medio Campidano,39.592858,8.671389,,,,,
Q47538571,parco eolico di Aggius-Bortigiadas-Viddalba,40.9188959,8.994112,,,,,
Q47538576,parco eolico di Ulassai,39.7003191,9.518795,,,,,
Q51879620,centrale idroelettrica di San Floriano,46.290666666,11.246222222,180,,,1952-01-01T00:00:00Z,
Q54872964,ex stazione Bellini,40.8502542,14.2444228,,,,,
Q55378800,centrale idroelettrica Guida,38.484325,16.453545,,,,,
Q56247635,centrale idroelettrica di Vizzola Ticino,45.6266,8.6822,,,,1901-01-01T00:00:00Z,
Q56258315,Centrale idroelettrica Umberto I (Area ex Lanerossi),45.7147,11.3488,,,,,
Q56258316,Centrale termica (Area ex Lanerossi),45.7138,11.35174,,,,,
Q56357636,Q56357636,46.342638888,13.067,172.8,,,1955-01-01T00:00:00Z,
Q56357637,Q56357637,46.427305555,12.785972222,62.1,,,1941-01-01T00:00:00Z,
Q56357647,Q56357647,46.304527777,9.376916666,172.6,,,,
Q56357645,Q56357645,46.310527777,9.399916666,66.9,,,,
Q56357659,centrale idroelettrica di Ponte Gardena,46.604,11.531861111,55,,,1936-01-01T00:00:00Z,
Q56357674,Q56357674,46.717888888,11.668611111,90,,,1936-01-01T00:00:00Z,
Q56357675,Seled Glorenza hydroelectric power station,46.673972222,10.575972222,102,,,1939-01-01T00:00:00Z,
Q56357686,Lasa hydroelectric power station,46.611027777,10.708333333,64,,,1954-01-01T00:00:00Z,
Q56357684,Castelbello hydroelectric power station,46.622722222,10.914833333,87,,,1939-01-01T00:00:00Z,
Q56357698,centrale idroelettrica di Cogolo,46.366027777,10.689305555,98.3,,,1926-01-01T00:00:00Z,
Q56357717,Centrale idroelettrica di Mezzocorona,46.219416666,11.105527777,54,,,1926-01-01T00:00:00Z,
Q56357749,centrale di Torbole,45.883055555,10.883083333,110,,,,
Q56357786,centrale idroelettrica di Cimego,45.922861111,10.627638888,220,,,1953-01-01T00:00:00Z,
Q56357785,centrale di Malga Boazzo,46.007916666,10.512111111,95,,,1955-01-01T00:00:00Z,
Q56357788,centrale idroelettrica di Sonico,46.171,10.347916666,60,,Edison,,
Q56357793,Q56357793,46.066027777,10.351222222,72,,,,
Q56357798,Q56357798,46.152777777,10.085138888,66.8,,,1943-01-01T00:00:00Z,
Q56357796,Q56357796,46.14075,10.12325,66,,,1953-01-01T00:00:00Z,
Q56357818,Q56357818,46.304,9.928694444,,,,1961-01-01T00:00:00Z,
Q56357819,Q56357819,46.091916666,9.89075,,,,1930-01-01T00:00:00Z,
Q56357816,Q56357816,46.159916666,9.924638888,152.4,,,1922-01-01T00:00:00Z,
Q56357822,centrale di Sondrio,46.173361111,9.888166666,148,,,,
Q56357820,centrale di Lanzada,46.268388888,9.876611111,,,,,
Q56357843,Gargnano hydroelectric power station,45.703833333,10.686083333,137,,,1959-01-01T00:00:00Z,
Q56357841,Q56357841,46.170111111,9.646361111,56.7,,,1962-01-01T00:00:00Z,
Q56357861,Fadalto hydroelectric power station,46.069277777,12.331388888,220,,,1920-01-01T00:00:00Z,
Q56357865,Q56357865,46.0365,12.303944444,65,,,1921-01-01T00:00:00Z,
Q56357886,Q56357886,46.279277777,8.353527777,71,,,1925-01-01T00:00:00Z,
Q56357909,centrale idroelettrica Valpelline,45.824666666,7.333055555,130,,,,
Q56357994,Q56357994,42.384222222,12.913472222,,,,1938-01-01T00:00:00Z,
Q56357998,Q56357998,42.551333333,12.696694444,326,,,1926-01-01T00:00:00Z,
Q56358010,Q56358010,42.656416666,12.235833333,108,,,1959-01-01T00:00:00Z,
Q56358008,Q56358008,42.551388888,12.671611111,68,,,,
Q56358015,Q56358015,42.598805555,13.704166666,120.9,,,,
Q56358016,Q56358016,41.9615,14.348611111,57,,,1950-01-01T00:00:00Z,
Q56358096,Q56358096,40.130416666,15.510833333,60,,,1954-01-01T00:00:00Z,
Q56358121,Q56358121,39.183416666,16.834277777,50.5,,,,
Q56358137,Mucone 1 hydroelectric power station,39.47275,16.407222222,101,,,,
Q56358140,Mucone 2 hydroelectric power station,39.476472222,16.291222222,54,,,,
Q56358177,Guadalami hydroelectric power station,37.955638888,13.279472222,80,,,,
Q56358183,Taloro hydroelectric power station,40.127055555,9.140722222,240,,,,
Q56404458,Galleto hydroelectric power station,,,295,,,,
Q56580070,ex centralina idroelettrica,46.052634369,11.398108903,,,,,
Q57315764,centrale idroelettrica Buzzi,45.83475,8.65012,,,,,
Q57333646,Centrale idroelettrica di Pozzolago,46.165722222,11.232416666,,,,,
Q58188365,centrale idroelettrica Malga Mare,,,,,,,
Q60333113,Impianto idroelettrico di San Colombano,45.880269444,11.06205,,,,,
Q67465217,centrale idroelettrica di Bertonico,45.232028,9.648847,,,,,
Q68294848,Centrale Termica,45.459711,7.87293,,,,,
Q81803591,centrale di Turbigo Inferiore,45.52793,8.72168,,,,,
Q84704932,centrale della Lanca,45.95989,8.50924,,,,,
Q86211699,centrale idroelettrica di Naturno,46.65182,10.99306,175,,,,
Q97170317,centrale elettrica di Sparanise,41.17792,14.11297,760,,,2002-01-01T00:00:00Z,
Q97179280,centrale termoelettrica di Jesi,43.5532972,13.2851961,140,,,,
Q97179314,Q97179314,40.931944,14.385,100,,,,
Q97179325,Q97179325,40.978333,14.3825,107.5,,,,
Q97179358,Q97179358,44.594167,7.484722,120,,,,
Q97179370,Voghera power plant,45.0299624,8.9722177,381,,,,
Q97179416,Q97179416,41.476111,13.751944,100,,,,
Q97179445,Porto Corsini power plant,44.4837505,12.2651786,704,,,,
Q97179513,centrale termoelettrica di San Quirico,44.9289537,10.3051147,132,,,,
Q97179542,Q97179542,45.619444,13.783056,180,,,,
Q97179578,centrale termoelettrica di Simeri Crichi,38.8757461,16.6571815,885,,,,
Q97179583,Q97179583,42.323611,14.377778,104,,,,
Q97179591,centrale di Cogenerazione di Teverola,41.009167,14.228056,150,,,,
Q97179605,centrale di Teverola,41.0087995,14.2293873,404,,,,
Q97179613,Q97179613,41.956667,14.996389,100,,,,
Q97179623,centrale termoelettrica di Terni,42.5545108,12.6172936,95,,,,
Q97179662,Q97179662,44.860556,11.586944,150,,,,
Q97179670,centrale termoelettrica di Ferrara,44.8638925,11.5939412,761,,,,
Q97182168,centrale di Aprilia,41.5616876,12.6334137,787,,,,
Q97182174,centrale di Bertonico-Turano Lodigiano,45.2267313,9.6373594,800,,,,
Q97182233,centrale di mantova,45.1496149,10.8348938,812,,EniPower,,
Q97182241,Q97182241,41.066389,15.711944,,,,,
Q97182273,Centrale Napoli Levante,40.8341188,14.300959,400,,,,
Q97182292,Centrale di Piacenza,45.0553157,9.7082419,806,,,,
Q97182336,Q97182336,45.052222,9.507222,180,,,,
Q97182374,centrale di Termoli,41.9369638,15.0004202,769,,,,
Q97182385,Q97182385,41.810278,12.421111,19,,,,
Q97182406,Trapani power plant,37.8770184,12.5896955,212,,EP Produzione,,
Q97277641,centrale termoelettrica di Bussi sul Tirino,42.2001416,13.8396862,122,,,,
Q97277661,Centrale termoelettrica di Chivasso,45.1855684,7.9011776,1123,,,,
Q97277727,Q97277727,45.456944,8.649722,100,,,,
Q97277739,Porcari Sondel Power Plant,43.823611,10.602222,100,,Edison,1996-01-01T00:00:00Z,
Q97277749,Roselectra,43.381429,10.4485613,386,,,,
Q97277761,centrale di San Severo,41.6267494,15.4235192,419,,,,
Q97277795,Q97277795,43.641111,13.379722,282,,,,
Q100705202,Larderello geothermal power plant,43.231888,10.884598,,,,,
Q106083690,ex centrale del Battiferro,44.520699,11.333326,,,,1850-01-01T00:00:00Z,
Q106777461,Rosen,43.3819319,10.449543,325,,,,
Q107179764,Kraftwerk Marling,46.660505,11.143184,,,,,
Q107227000,centrale idroelettrica di Muccia,43.0871,13.1104,,,,,
Q107232714,centrale idroelettrica di Caoria,46.20410171,11.662480509,,,,,
