"Aeroporti","Numero   Movimenti del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter","Numero  passeggeri del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter","Numero  Transiti  del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter","Tonnellate Cargo  del Traffico aereo commerciale internazionale e nazionale - Servizi di linea e charter","Movimenti Traffico aereo commerciale internazionale - Servizi di linea e charte","Passeggeri Traffico aereo commerciale internazionale - Servizi di linea e charte","Tonnellate Cargo Traffico aereo commerciale internazionale - Servizi di linea e charte ","Movimenti Traffico aereo commerciale nazionale - Servizi di linea e charter","Passeggeri Traffico aereo commerciale nazionale - Servizi di linea e charter","Tonnellate Cargo Traffico aereo commerciale nazionale - Servizi di linea e charter","Movimenti Traffico aereo commerciale di linea internazionale e nazionale","Passeggeri Traffico aereo commerciale di linea internazionale e nazionale","Tonnellate Cargo Traffico aereo commerciale di linea internazionale e nazionale","Movimenti  Traffico aereo commerciale di linea internazionale","Passeggeri  Traffico aereo commerciale di linea internazionale","Tonnellate Cargo Traffico aereo commerciale di linea internazionale","Movimenti Traffico aereo di linea nazionale","Passeggeri Traffico aereo di linea nazionale","Tonnellate Cargo Traffico aereo di linea nazionale","Movimenti  Traffico aereo charter complessivo internazionale e nazionale","Passeggeri  Traffico aereo charter complessivo internazionale e nazionale","Tonnellate Cargo Traffico aereo charter complessivo internazionale e nazionale","Movimenti Traffico aereo charter internazionale","Passeggeri Traffico aereo charter internazionale","Tonnellate Cargo Traffico aereo charter internazionale","Movimenti Traffico aereo charter nazionale","Passeggeri Traffico aereo charter nazionale","Tonnellate Cargo Traffico aereo charter nazionale","lat","lon"
"Pisa-San Giusto",37.356,4.480.789,6.631,6.836,25.318,3.155.018,1.301,12.038,1.325.771,5.535,36.620,4.405.823,6.272,24.680,3.083.376,737,11.940,1.322.447,5.535,736,74.966,564,638,71.642,564,98,3.324,"-","43.6890842","10.3956958"
"Reggio di Calabria",5.382,569.286,"-",114,"-","-","-",5.382,569.286,114,5.382,569.286,114,"-","-","-",5.382,569.286,114,"-","-","-","-","-","-","-","-","-","38.071944","15.6511443"
"Rimini-Miramare",7.545,784.726,7.551,744,4.709,622.057,744,2.836,162.669,"-",4.750,381.264,186,2.031,222.167,186,2.719,159.097,"-",2.795,403.462,558,2.678,399.890,558,117,3.572,"-","44.022888","12.6166303"
"Roma-Ciampino",31.830,4.460.478,"-",16.943,24.311,3.456.436,16.864,7.519,1.004.042,79,31.752,4.455.438,16.912,24.235,3.451.494,16.833,7.517,1.003.944,79,78,5.040,31,76,4.942,31,2,98,"-","41.7993434","12.5878215"
"Roma-Fiumicino",309.292,36.741.158,239.144,143.244,191.066,24.929.710,133.526,118.226,11.811.448,9.718,303.691,36.119.353,142.133,186.220,24.326.121,132.630,117.471,11.793.232,9.503,5.601,621.805,1.111,4.846,603.589,896,755,18.216,215,"41.7998868","12.2440497"
"Taranto-Grottaglie",116,292,"-",383,114,180,383,2,112,"-","-","-","-","-","-","-","-","-","-",116,292,383,114,180,383,2,112,"-","40.5184266","17.4016403"
"Torino-Caselle",41.943,3.507.498,7.637,692,20.286,1.405.750,360,21.657,2.101.748,332,40.385,3.320.411,634,18.808,1.223.029,304,21.577,2.097.382,330,1.558,187.087,58,1.478,182.721,56,80,4.366,2,"45.1965359","7.6456783"
"Tortolì","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","39.9223426","9.6752332"
"Trapani-Birgi",12.733,1.576.469,778,38,3.299,465.967,"-",9.434,1.110.502,38,12.706,1.573.510,38,3.287,464.140,"-",9.419,1.109.370,38,27,2.959,"-",12,1.827,"-",15,1.132,"-","37.909518","12.4903339"
"Treviso-Sant'Angelo",16.689,2.325.126,2.939,53,13.351,1.841.188,41,3.338,483.938,12,16.199,2.312.827,"-",13.070,1.829.605,"-",3.129,483.222,"-",490,12.299,53,281,11.583,41,209,716,12,"45.6532764","12.1998926"
"Trieste-Ronchi dei Legionari",11.308,876.991,1.776,153,4.754,352.520,89,6.554,524.471,64,10.790,829.399,64,4.384,314.126,"-",6.406,515.273,64,518,47.592,89,370,38.394,89,148,9.198,"-","45.8206774","13.4831253"
"Venezia-Tessera",78.805,8.158.682,16.807,33.112,58.981,6.343.273,30.851,19.824,1.815.409,2.261,77.339,8.014.601,28.679,57.733,6.208.120,26.418,19.606,1.806.481,2.261,1.466,144.081,4.433,1.248,135.153,4.433,218,8.928,"-","45.505061","12.3375823"
"Verona-Villafranca",31.802,3.151.945,39.759,175,21.963,2.103.563,78,9.839,1.048.382,97,26.211,2.395.383,132,16.649,1.361.281,35,9.562,1.034.102,97,5.591,756.562,43,5.314,742.282,43,277,14.280,"-","45.4000011","10.8879519"
