locode,nome_porto,merci_in_contenitori,merci_in_contenitori_note,merci_in_rinfuse_liquide,merci_in_rinfuse_liquide_note,merci_in_rinfuse_solide,merci_in_rinfuse_solide_note,merci_in_ro_ro,merci_in_ro_ro_note,merci_altro_carico,merci_altro_carico_note,n_tot_merci_trasportate,n_tot_merci_trasportate_note,n_tot_passeggeri_sbarcati,n_tot_passeggeri_sbarcati_note,n_tot_passeggeri_imbarcati,n_tot_passeggeri_imbarcati_note,n_tot_passeggeri,n_tot_passeggeri_note,merce_sbarcata,merce_sbarcata_note,merce_imbarcata,merce_imbarcata_note,tot_merce_imbarcata_sbarcata,tot_merce_imbarcata_sbarcata_note,anno_riferimento,lat,lon
,Favignana,,N/D,,N/D,,N/D,,N/D,,N/D,,N/D,398,,359,,756,,,N/D,,N/D,,N/D,2017,37.933333,12.333333
ITFCO,FIUMICINO,0,,2480,,0,,0,,0,,248,,,N/D,,N/D,,N/D,2327,,153,,2480,,2014,41.7706694444,12.2256694444
ITFCO,FIUMICINO,0,,2812,,0,,0,,0,,2812,,,N/D,,N/D,,N/D,2802,,9,,2811,,2015,41.7706694444,12.2256694444
ITFCO,FIUMICINO,,N/D,2602,,,N/D,,N/D,,N/D,2602,,,N/D,,N/D,,N/D,2542,,60,,2602,,2016,41.7706694444,12.2256694444
ITFCO,Fiumicino,,N/D,3,,,N/D,,N/D,,N/D,3,,,N/D,,N/D,,N/D,2495,,135,,2629,,2017,41.7706694444,12.2256694444
ITGAE,Gaeta,0,,1783,,546,,0,,86,,2414,,,N/D,,N/D,,N/D,1922,,491,,2413,,2014,41.2229111111,13.5727722222
ITGAE,Gaeta,0,,1641,,384,,0,,123,,215,,,N/D,,N/D,,N/D,1910,,240,,2150,,2015,41.2229111111,13.5727722222
ITGAE,Gaeta,,N/D,1581,,448,,,N/D,38,,2067,,,N/D,,N/D,,N/D,1739,,328,,2067,,2016,41.2229111111,13.5727722222
ITGAE,Gaeta,,N/D,1,,440,,,N/D,45,,2,,,N/D,,N/D,,N/D,1629,,283,,1913,,2017,41.2229111111,13.5727722222
,Gela,,N/D,1,,,N/D,,N/D,,N/D,1,,,N/D,,N/D,,N/D,227,,894,,1122,,2017,37.066667,14.25
ITGOA,Genova,15828,,17426,,1199,,8349,,591,,43394,,1108,,1088,,2196,,22217,,11205,,33422,,2014,44.4090972222,8.9179666667
ITGOA,Genova,14097,,11879,,1169,,8022,,248,,43425,,1166,,1178,,2344,,21312,,15472,,36784,,2015,44.4090972222,8.9179666667
