id,name,fuel,capacity_mw,co2_tonnes_yr,co2_source,owner,commissioning_year,latitude,longitude
WRI1002904,LEINI,Gas,379.5,582979,Climate TRACE,Engie Italia SpA,2007,45.163,7.7505
WRI1002951,SERMIDE,Gas,1151.0,546275,EU ETS verified (EUTL 2023),Edipower,2004,45.0265,11.2522
WRI1002871,CHIVASSO,Gas,1123.0,513299,EU ETS verified (EUTL 2023),A2A SpA [100%],2004,45.1856,7.9016
WRI1002947,SAN FILIPPO DEL MELA,Oil,960.0,465908,Climate TRACE,Edipower,1999,38.2049,15.2818
WRI1002880,ENIPOWER RAVENNA,Gas,972.0,463159,EU ETS verified (EUTL 2023),Enipower,2000,45.512,9.509
WRI1002890,GISSI,Gas,840.0,451843,EU ETS verified (EUTL 2023),A2A,2004,42.0502,14.5639
WRI1002916,NAPOLI L,Gas,400.0,410484,Climate TRACE,Tirreno,2009,40.8339,14.3006
GOGPT_tenarisdalmine_italy,Tenaris Dalmine power station,Gas,122.0,402510,EU ETS verified (EUTL 2023),Dalmine SpA [100%],2007,45.63919,9.60481
WRI1002918,PIACENZA,Gas,806.0,395927,EU ETS verified (EUTL 2023),Edipower,2006,45.0543,9.7086
WRI1002909,MILAZZO,Gas,155.0,344103,EU ETS verified (EUTL 2023),Raffineria di Milazzo SCPA [100%],1999,38.2212,15.2383
CT-206,Piombino Steel Plant power station,Gas,271.0,314580,Climate TRACE,,2001,42.9385,10.5444
WRI1002866,CENTRALE DI TEVEROLA,Gas,404.0,308234,Climate TRACE,Repower AG,2007,41.0092,14.2281
WRI1002911,Monfalcone power station,Coal,336.0,305627,EU ETS verified (EUTL 2023),A2A Spa,1968,45.7979,13.5455
GOGPT_presenzanoedison_italy,Presenzano Edison power station,Gas,765.0,301093,EU ETS verified (EUTL 2023),Edison SpA [100%],2023,41.376619,14.07642
WRI1002923,PORCARI,Gas,100.0,294337,EU ETS verified (EUTL 2023),Edison,1996,43.8235,10.6023
CT-208,Discaria Malagrotta power station,Other,49.6,282180,Climate TRACE,Consorzio Laziale Rifiuti,,41.8522,12.333
CT-209,PORTO MARGHERA ALSAR,Coal,160.0,271620,Climate TRACE,Enel SpA [100%],1952,45.4591,12.2318
CT-210,Servola power station,Gas,230.0,218390,Climate TRACE,Finarvedi SpA [100%],2000,45.6195,13.783
WRI1002906,LIVORNO MARZOCCO,Oil,310.0,212230,Climate TRACE,ENEL,1965,43.5673,10.31
GOGPT_gelabiorefinery_italy,Gela Biorefinery power station,Oil,210.0,211194,EU ETS verified (EUTL 2023),Eni Rewind SpA [100%],1962,37.0546,14.2769
GOGPT_ferrero_italy,Ferrero cogeneration power station,Gas,50.0,209288,EU ETS verified (EUTL 2023),Ferrero SpA [100%],2006,44.703,8.027
CT-212,TORINO MIRAFORI,Gas,221.0,201110,Climate TRACE,,,45.0277,7.6259
WRI1002982,VERZUOLO,Gas,140.0,180557,EU ETS verified (EUTL 2023),Smurfit Kappa Group PLC [100%],2002,44.5947,7.4858
GOGPT_cassanospinola_italy,Cassano Spinola power station,Gas,50.0,175845,EU ETS verified (EUTL 2023),Roquette Italia SpA [100%],2003,44.76046,8.85529
