id,dataSet,indicator,periodType,periodFrom,periodTo,operatorKey,tsoEicCode,operatorLabel,pointKey,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,interruptionType,restorationInformation,capacityType,capacityBookingStatus,isCamRelevant,isNA,originalPeriodFrom,isCmpRelevant,bookingPlatformKey,bookingPlatformLabel,bookingPlatformURL,interruptionCalculationRemark,isArchived
"1Physical Flowday2022-01-012022-01-02IT-TSO-0001UGS-00008entrykWh/d",1,"Physical Flow",day,"2022-01-01 06:00","2022-01-02 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",UGS-00008,"UGS - IT - Snam Rete Gas/STOGIT",21Z000000000274I,entry,kWh/d,,,663670641,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001FNC-00005exitkWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",FNC-00005,"Industrial Consumers (IT)",21Y0000000000573,exit,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity information per point are available at www.snamretegas.it at the following path: Business & Services/Thermal year/Transportation capacity.",,243099644,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001FNC-00006exitkWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",FNC-00006,"Thermal Plants (IT)",21Y0000000000549,exit,kWh/d,"According to Annex 1 Chapter 3 of Regulation CE n. 715/2009, physical flow data are published in aggregate. Capacity information per point are available at www.snamretegas.it at the following path: Business & Services/Thermal year/Transportation capacity.",,444743549,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001ITP-00040entrykWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00040,"Tarvisio (IT) / Arnoldstein (AT)",21Z000000000004A,entry,kWh/d,,,225806069,"2022-03-11 12:21",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001ITP-00040exitkWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00040,"Tarvisio (IT) / Arnoldstein (AT)",21Z000000000004A,exit,kWh/d,,,0,"2022-03-11 12:21",,Confirmed,,,,,1,,,1,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001ITP-00074entrykWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00074,Gela,21Z000000000149L,entry,kWh/d,,,82900877,"2022-03-11 12:21",,Confirmed,,,,,,,,,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001ITP-00093entrykWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00093,"Mazara del Vallo",21Z000000000080V,entry,kWh/d,,,696714917,"2022-03-11 12:21",,Confirmed,,,,,,,,,PRISMA,,https://platform.prisma-capacity.eu/,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001ITP-00278exitkWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00278,Bizzarone,21Z000000000277C,exit,kWh/d,,,5896423,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001ITP-00283exitkWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",ITP-00283,"Rep. San Marino",21Z000000000276E,exit,kWh/d,,,1790136,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
"1Physical Flowday2022-01-022022-01-03IT-TSO-0001LNG-00015entrykWh/d",1,"Physical Flow",day,"2022-01-02 06:00","2022-01-03 06:00",IT-TSO-0001,21X-IT-A-A0A0A-7,"Snam Rete Gas",LNG-00015,"Cavarzere (Porto Levante / Adriatic LNG)",21Z000000000142Z,entry,kWh/d,,,109724578,"2022-03-11 12:21",,Confirmed,,,,,,,,,,,,,
