Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Wind,TWh,2.44,0.5,25.77
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Total,Total Generation,TWh,22.82,1.53,7.19
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity imports,Electricity imports,Net Imports,TWh,4.55,-0.18,-3.81
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity prices,Day-ahead electricity price,Day-ahead electricity price,EUR/MWh,56.8,12.39,27.9
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.53,-0.02,-3.64
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Fossil,mtCO2,8.38,1.55,22.69
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,5.87,-0.36,-5.78
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.42,0.0,0.0
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.53,-0.02,-3.64
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.11,-0.02,-15.38
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,390.45,43.81,12.64
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Bioenergy,mtCO2,0.33,-0.01,-2.94
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Coal,mtCO2,2.51,1.91,318.33
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Gas,mtCO2,5.63,-0.44,-7.25
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Hydro,mtCO2,0.07,0.01,16.67
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Other Fossil,mtCO2,0.24,0.08,50.0
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Other Renewables,mtCO2,0.02,0.0,0.0
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Solar,mtCO2,0.08,-0.03,-27.27
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Wind,mtCO2,0.03,0.01,50.0
Italy,ITA,2018-03-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Total,Total emissions,mtCO2,8.91,1.53,20.73
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity demand,Demand,Demand,TWh,23.99,0.64,2.74
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Clean,%,49.33,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Fossil,%,50.67,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,43.14,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,31.51,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Renewables,%,49.33,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Wind and Solar,%,17.82,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Clean,TWh,10.02,1.7,20.43
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Fossil,TWh,10.29,-1.65,-13.82
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,8.76,-2.4,-21.51
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,6.4,1.9,42.22
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Renewables,TWh,10.02,1.7,20.43
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,3.62,-0.2,-5.24
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Bioenergy,%,6.94,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Coal,%,7.53,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Gas,%,42.2,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Hydro,%,22.21,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Other Fossil,%,0.94,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Other Renewables,%,2.36,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Solar,%,11.67,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Wind,%,6.15,,
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Bioenergy,TWh,1.41,0.01,0.71
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Coal,TWh,1.53,0.75,96.15
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Gas,TWh,8.57,-2.41,-21.95
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Hydro,TWh,4.51,1.89,72.14
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Other Fossil,TWh,0.19,0.01,5.56
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Other Renewables,TWh,0.48,0.0,0.0
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Solar,TWh,2.37,-0.07,-2.87
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Fuel,Wind,TWh,1.25,-0.13,-9.42
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity generation,Total,Total Generation,TWh,20.31,0.05,0.25
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity imports,Electricity imports,Net Imports,TWh,3.68,0.59,19.09
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Electricity prices,Day-ahead electricity price,Day-ahead electricity price,EUR/MWh,49.42,6.54,15.25
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.58,0.04,7.41
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Fossil,mtCO2,6.04,-0.52,-7.93
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,4.54,-1.25,-21.59
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.45,0.05,12.5
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.58,0.04,7.41
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.13,-0.01,-7.14
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,325.95,-24.49,-6.99
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Bioenergy,mtCO2,0.32,0.0,0.0
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Coal,mtCO2,1.5,0.73,94.81
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Gas,mtCO2,4.41,-1.25,-22.08
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Hydro,mtCO2,0.11,0.05,83.33
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Other Fossil,mtCO2,0.13,0.0,0.0
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Other Renewables,mtCO2,0.02,0.0,0.0
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Solar,mtCO2,0.11,-0.01,-8.33
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Fuel,Wind,mtCO2,0.02,0.0,0.0
Italy,ITA,2018-04-01,Country or economy,Europe,Europe,1.0,1.0,1.0,1.0,0.0,Power sector emissions,Total,Total emissions,mtCO2,6.62,-0.48,-6.76
