country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Italy,1910,ITA,35939804.0,140034188000.0,,,,,,,,,,,,,,,,1.669,0.023,38.603,1.387,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.667,0.012,2.265,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1911,ITA,36098124.0,142868790000.0,,,,,,,,,,,,,,,,-0.703,-0.01,38.164,1.378,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.857,0.035,3.222,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1912,ITA,36213760.0,143956250000.0,,,,,,,,,,,,,,,,18.347,0.253,45.021,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.0,-0.035,2.248,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1913,ITA,36286291.0,151115136000.0,,,,,,,,,,,,,,,,4.735,0.077,47.059,1.708,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.244,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1914,ITA,36358965.0,143912210000.0,,,,,,,,,,,,,,,,11.566,0.197,52.397,1.905,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.286,-0.012,1.919,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1915,ITA,36431783.0,138330444000.0,,,,,,,,,,,,,,,,24.024,0.458,64.855,2.363,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.915,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1916,ITA,36504744.0,150355764000.0,,,,,,,,,,,,,,,,38.944,0.92,89.932,3.283,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.667,0.012,2.23,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1917,ITA,36577850.0,150214855000.0,,,,,,,,,,,,,,,,34.224,1.124,120.469,4.406,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.286,-0.012,1.908,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1918,ITA,36659635.0,144677120000.0,,,,,,,,,,,,,,,,23.051,1.016,147.908,5.422,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.667,-0.012,1.586,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1919,ITA,36789373.0,137862250000.0,,,,,,,,,,,,,,,,-45.898,-2.489,79.738,2.934,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.581,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1920,ITA,36967588.0,141701022000.0,,,,,,,,,,,,,,,,72.841,2.137,137.156,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.573,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1921,ITA,37194808.0,137949060000.0,,,,,,,,,,,,,,,,-32.213,-1.633,92.406,3.437,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,-0.012,1.251,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1922,ITA,37471567.0,149601808000.0,,,,,,,,,,,,,,,,-0.536,-0.018,91.232,3.419,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.241,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1923,ITA,37798403.0,163378080000.0,,,,,,,,,,,,,,,,9.834,0.336,99.337,3.755,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.012,1.538,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1924,ITA,38128090.0,167814440000.0,,,,,,,,,,,,,,,,-12.723,-0.478,85.949,3.277,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.525,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1925,ITA,38460652.0,179375700000.0,,,,,,,,,,,,,,,,29.39,0.963,110.248,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.035,2.419,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1926,ITA,38796116.0,180761152000.0,,,,,,,,,,,,,,,,8.67,0.368,118.771,4.608,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.5,-0.035,1.499,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1927,ITA,39134505.0,177482992000.0,,,,,,,,,,,,,,,,-68.819,-3.171,36.714,1.437,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.012,1.783,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1928,ITA,39475845.0,188592898000.0,,,,,,,,,,,,,,,,91.995,1.322,69.88,2.759,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.768,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1929,ITA,39817412.0,197852941000.0,,,,,,,,,,,,,,,,35.019,0.966,93.541,3.725,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.752,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1930,ITA,40159184.0,188903121000.0,,,,,,,,,,,,,,,,-11.671,-0.435,81.921,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.333,0.023,2.317,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1931,ITA,40501139.0,186657016000.0,,,,,,,,,,,,,,,,-14.549,-0.479,69.411,2.811,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.093,4.594,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1932,ITA,40843255.0,190665462000.0,,,,,,,,,,,,,,,,6.543,0.184,73.333,2.995,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75,0.128,7.688,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1933,ITA,41185511.0,188473042000.0,,,,,,,,,,,,,,,,22.042,0.66,88.754,3.655,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.624,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1934,ITA,41530635.0,187987338000.0,,,,,,,,,,,,,,,,22.38,0.818,107.714,4.473,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.926,-0.081,5.601,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1935,ITA,41878651.0,198143430000.0,,,,,,,,,,,,,,,,24.446,1.094,132.932,5.567,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,-0.047,4.443,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1936,ITA,42229584.0,191135250000.0,,,,,,,,,,,,,,,,74.653,4.156,230.241,9.723,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.406,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1937,ITA,42583457.0,210128772000.0,,,,,,,,,,,,,,,,33.086,3.217,303.871,12.94,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.5,-0.023,3.824,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1938,ITA,42940295.0,216270039000.0,,,,,,,,,,,,,,,,18.343,2.374,356.622,15.313,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.143,-0.012,3.521,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1939,ITA,43279914.0,230115790000.0,,,,,,,,,,,,,,,,39.62,6.067,494.009,21.381,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.692,-0.012,3.225,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1940,ITA,43602046.0,226094759000.0,,,,,,,,,,,,,,,,25.789,5.514,616.819,26.895,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.667,-0.128,0.267,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1941,ITA,43906421.0,222193778000.0,,,,,,,,,,,,,,,,1.882,0.506,624.072,27.401,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,0.128,3.179,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1942,ITA,44192767.0,209763644000.0,,,,,,,,,,,,,,,,6.422,1.76,659.848,29.16,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333,0.012,3.421,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1943,ITA,44460808.0,177590787000.0,,,,,,,,,,,,,,,,-42.714,-12.456,375.721,16.705,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.385,-0.023,2.877,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1944,ITA,44730474.0,143206980000.0,,,,,,,,,,,,,,,,-56.289,-9.403,163.242,7.302,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.364,-0.047,1.82,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1945,ITA,45001776.0,128646302000.0,,,,,,,,,,,,,,,,33.797,2.468,217.096,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.809,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1946,ITA,45274723.0,173983625000.0,,,,,,,,,,,,,,,,37.501,3.664,296.709,13.433,,,,,,,,,,,,,,,,,,,,,,,,,,0.682,15.068,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.143,0.047,2.826,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1947,ITA,45549326.0,207087920000.0,,,,,,,,,,,,,,,,15.743,2.115,341.35,15.548,,,,,,,,,,,,,,,,,,,,,,,,,46.875,0.32,21.998,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.091,-0.012,2.553,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1948,ITA,45825595.0,223278134000.0,,,,,,,,,,,,,,,,-34.925,-5.43,220.794,10.118,,,,,,,,,,,,,,,,,,,,,,,,,24.468,0.245,27.215,1.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-0.012,2.284,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1949,ITA,46106450.0,242450804000.0,,,,,,,,,,,,,,,,9.625,0.974,240.571,11.092,,,,,,,,,,,,,,,,,,,,,,,,,112.821,1.407,57.566,2.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.27,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1950,ITA,46391674.0,262940110000.0,,,,,,,,,,,,,,,,-7.16,-0.794,221.971,10.298,,,,,,,,,,,,,,,,,,,,,,,,,104.819,2.782,117.181,5.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.111,-0.012,2.006,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1951,ITA,46751901.0,282516444000.0,,,,,,,,,,,,,,,,13.072,1.346,249.054,11.644,,,,,,,,,,,,,,,,,,,,,,,,,89.412,4.861,220.245,10.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,0.116,4.478,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1952,ITA,47018177.0,303680086000.0,,,,,,,,,,,,,,,,-5.998,-0.698,232.79,10.945,,,,,,,,,,,,,,,,,,,,,,,,,48.344,4.978,324.869,15.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.556,0.535,15.83,0.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1953,ITA,47410885.0,325628030000.0,,,,,,,,,,,,,,,,1.008,0.11,233.188,11.056,,,,,,,,,,,,,,,,,,,,,,,,,59.107,9.028,512.607,24.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.813,0.244,20.851,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1954,ITA,47832233.0,342536508000.0,,,,,,,,,,,,,,,,-6.711,-0.742,215.621,10.314,,,,,,,,,,,,,,,,,,,,,,,,,30.132,7.323,661.188,31.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.294,-0.151,17.506,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1955,ITA,48130817.0,362461749000.0,,,,,,,,,,,,,,,,-0.504,-0.052,213.203,10.262,,,,,,,,,,,,,,,,,,,,,,,,,22.245,7.035,803.253,38.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.333,1.535,49.293,2.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1956,ITA,48401948.0,378893145000.0,,,,,,,,,,,,,,,,-4.958,-0.509,201.498,9.753,,,,,,,,,,,,,,,,,,,,,,,,,23.104,8.932,983.301,47.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.922,4.245,136.719,6.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1957,ITA,48657025.0,401226756000.0,,,,,,,,,,,,,,,,-4.674,-0.456,191.073,9.297,,,,,,,,,,,,,,,,,,,,,,,,,11.691,5.564,1092.501,53.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.793,8.06,301.643,14.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1958,ITA,48927096.0,422722944000.0,,,,,,,,,,,,,,,,-14.809,-1.377,161.879,7.92,,,,,,,,,,,,,,,,,,,,,,,,,3.77,2.004,1127.428,55.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.504,3.303,367.485,17.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1959,ITA,49219450.0,449036152000.0,,,,,,,,,,,,,,,,13.579,1.075,182.767,8.996,,,,,,,,,,,,,,,,,,,,,,,,,18.203,10.041,1324.737,65.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.638,1.733,400.509,19.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1960,ITA,49514555.0,473363382734.0,,,,,,,,,,,,,,,,-11.782,-1.06,160.273,7.936,,,,,,,,,,,,,,,,,,,,,,,,,5.395,3.518,1387.883,68.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.876,3.524,469.291,23.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
