entity_kind,company_eic,facility_eic,entity_name,name,code,url,longitude,latitude,type,updatedAt,gasDayStart,gasDayEnd,gasInStorage,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,status,trend,full,info
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-06,2016-02-07,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-07,2016-02-08,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-08,2016-02-09,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-09,2016-02-10,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-10,2016-02-11,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-11,2016-02-12,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-12,2016-02-13,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-13,2016-02-14,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-14,2016-02-15,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-15,2016-02-16,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-16,2016-02-17,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-17,2016-02-18,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-18,2016-02-19,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-19,2016-02-20,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-20,2016-02-21,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-21,2016-02-22,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-22,2016-02-23,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-23,2016-02-24,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-24,2016-02-25,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-25,2016-02-26,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-26,2016-02-27,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-27,2016-02-28,-,-,-,-,-,-,-,-,-,N,-,-,[]
facility,59X4-IGSTORAGE-T,59W-IGSTORAGE-0Q,UGS Cornegliano,UGS Cornegliano,59W-IGSTORAGE-0Q,59W-IGSTORAGE-0Q/IT/59X4-IGSTORAGE-T,9.4903,45.2886,DSR,2026-07-21 22:01:33,2016-02-28,2016-02-29,-,-,-,-,-,-,-,-,-,N,-,-,[]
