direction,reporter,reporter_name,partner,partner_name,year,gwh,twh
export,AL,Albania,ME,Montenegro,2023,824.051,0.8240510000000001
import,AL,Albania,TOTAL,Total,2023,1921.743,1.921743
import,AL,Albania,XK,Kosovo*,2023,653.393,0.653393
import,AL,Albania,ME,Montenegro,2023,653.392,0.6533920000000001
import,AL,Albania,EL,Greece,2023,614.958,0.614958
export,AL,Albania,EL,Greece,2024,2334.878,2.3348780000000002
export,AL,Albania,TOTAL,Total,2024,2334.878,2.3348780000000002
import,AL,Albania,EL,Greece,2024,2668.77,2.66877
import,AL,Albania,TOTAL,Total,2024,2668.77,2.66877
export,AT,Austria,TOTAL,Total,2015,19327.646,19.327646
export,AT,Austria,CH,Switzerland,2015,6805.33,6.80533
export,AT,Austria,SI,Slovenia,2015,4735.909,4.7359089999999995
export,AT,Austria,DE,Germany,2015,3260.609,3.260609
export,AT,Austria,HU,Hungary,2015,2644.358,2.644358
export,AT,Austria,IT,Italy,2015,1533.469,1.533469
export,AT,Austria,LI,Liechtenstein,2015,307.257,0.307257
export,AT,Austria,CZ,Czechia,2015,40.714,0.040714
import,AT,Austria,TOTAL,Total,2015,29389.163,29.389163
import,AT,Austria,DE,Germany,2015,16155.647,16.155647000000002
import,AT,Austria,CZ,Czechia,2015,12340.895,12.340895
import,AT,Austria,HU,Hungary,2015,525.491,0.5254909999999999
import,AT,Austria,CH,Switzerland,2015,269.87,0.26987
import,AT,Austria,SI,Slovenia,2015,57.553,0.057553
import,AT,Austria,IT,Italy,2015,39.707,0.039707
export,AT,Austria,TOTAL,Total,2016,19206.889,19.206889
export,AT,Austria,CH,Switzerland,2016,6742.922,6.742921999999999
export,AT,Austria,DE,Germany,2016,3810.968,3.810968
export,AT,Austria,SI,Slovenia,2016,3703.988,3.703988
export,AT,Austria,HU,Hungary,2016,3090.422,3.0904220000000002
export,AT,Austria,IT,Italy,2016,1431.773,1.431773
export,AT,Austria,LI,Liechtenstein,2016,290.956,0.290956
export,AT,Austria,CZ,Czechia,2016,135.86,0.13586
import,AT,Austria,TOTAL,Total,2016,26366.16,26.36616
import,AT,Austria,DE,Germany,2016,14854.492,14.854492
import,AT,Austria,CZ,Czechia,2016,10255.121,10.255120999999999
import,AT,Austria,HU,Hungary,2016,431.724,0.431724
import,AT,Austria,CH,Switzerland,2016,391.281,0.391281
import,AT,Austria,SI,Slovenia,2016,365.855,0.36585500000000004
import,AT,Austria,IT,Italy,2016,67.687,0.067687
export,AT,Austria,TOTAL,Total,2017,22816.512,22.816512
export,AT,Austria,CH,Switzerland,2017,6887.571,6.887571
export,AT,Austria,SI,Slovenia,2017,5979.937,5.979937
export,AT,Austria,HU,Hungary,2017,5085.212,5.085212
export,AT,Austria,DE,Germany,2017,3221.019,3.2210189999999996
export,AT,Austria,IT,Italy,2017,1322.946,1.322946
export,AT,Austria,LI,Liechtenstein,2017,257.351,0.257351
export,AT,Austria,CZ,Czechia,2017,62.476,0.062476
import,AT,Austria,TOTAL,Total,2017,29362.427,29.362427
import,AT,Austria,DE,Germany,2017,17509.117,17.509117
import,AT,Austria,CZ,Czechia,2017,11005.785,11.005785
import,AT,Austria,CH,Switzerland,2017,463.061,0.463061
import,AT,Austria,HU,Hungary,2017,134.42,0.13441999999999998
import,AT,Austria,SI,Slovenia,2017,129.632,0.129632
import,AT,Austria,IT,Italy,2017,120.412,0.120412
export,AT,Austria,TOTAL,Total,2018,19129.331,19.129330999999997
export,AT,Austria,CH,Switzerland,2018,5464.001,5.4640010000000006
export,AT,Austria,SI,Slovenia,2018,4096.183,4.096183
export,AT,Austria,DE,Germany,2018,3984.0,3.984
export,AT,Austria,HU,Hungary,2018,3753.0,3.753
export,AT,Austria,IT,Italy,2018,1417.0,1.417
export,AT,Austria,LI,Liechtenstein,2018,302.147,0.302147
export,AT,Austria,CZ,Czechia,2018,113.0,0.113
import,AT,Austria,TOTAL,Total,2018,28076.136,28.076135999999998
import,AT,Austria,DE,Germany,2018,14998.0,14.998
import,AT,Austria,CZ,Czechia,2018,10864.0,10.864
import,AT,Austria,CH,Switzerland,2018,1200.032,1.200032
import,AT,Austria,HU,Hungary,2018,591.0,0.591
import,AT,Austria,SI,Slovenia,2018,398.032,0.398032
import,AT,Austria,IT,Italy,2018,25.0,0.025
import,AT,Austria,NSP,Not specified,2018,0.072,7.199999999999999e-05
export,AT,Austria,TOTAL,Total,2019,22918.264,22.918264
export,AT,Austria,HU,Hungary,2019,6223.946,6.223946
export,AT,Austria,SI,Slovenia,2019,5871.657,5.871657
export,AT,Austria,CH,Switzerland,2019,5195.503,5.1955029999999995
export,AT,Austria,DE,Germany,2019,3949.409,3.949409
export,AT,Austria,IT,Italy,2019,1228.135,1.228135
export,AT,Austria,LI,Liechtenstein,2019,304.852,0.30485199999999996
export,AT,Austria,CZ,Czechia,2019,144.762,0.144762
import,AT,Austria,TOTAL,Total,2019,26046.847,26.046847000000003
import,AT,Austria,DE,Germany,2019,14796.716,14.796716
import,AT,Austria,CZ,Czechia,2019,9431.534,9.431534
import,AT,Austria,CH,Switzerland,2019,1610.522,1.610522
import,AT,Austria,SI,Slovenia,2019,167.332,0.16733199999999998
import,AT,Austria,HU,Hungary,2019,38.869,0.038869
import,AT,Austria,IT,Italy,2019,1.874,0.001874
export,AT,Austria,TOTAL,Total,2020,22326.67,22.32667
export,AT,Austria,HU,Hungary,2020,6385.979,6.385979
export,AT,Austria,DE,Germany,2020,5310.06,5.31006
export,AT,Austria,SI,Slovenia,2020,4777.438,4.777438
export,AT,Austria,CH,Switzerland,2020,4002.822,4.002822
export,AT,Austria,IT,Italy,2020,1165.707,1.165707
export,AT,Austria,CZ,Czechia,2020,378.42,0.37842000000000003
export,AT,Austria,LI,Liechtenstein,2020,306.244,0.306244
import,AT,Austria,TOTAL,Total,2020,24522.523,24.522523
import,AT,Austria,DE,Germany,2020,13778.283,13.778283
import,AT,Austria,CZ,Czechia,2020,8687.133,8.687133
import,AT,Austria,CH,Switzerland,2020,1734.109,1.734109
import,AT,Austria,SI,Slovenia,2020,211.406,0.211406
import,AT,Austria,HU,Hungary,2020,101.816,0.101816
import,AT,Austria,IT,Italy,2020,9.776,0.009776
export,AT,Austria,TOTAL,Total,2021,18893.036,18.893036
export,AT,Austria,DE,Germany,2021,6081.452,6.0814520000000005
export,AT,Austria,SI,Slovenia,2021,3985.14,3.98514
export,AT,Austria,CH,Switzerland,2021,3813.625,3.813625
export,AT,Austria,HU,Hungary,2021,3255.056,3.255056
export,AT,Austria,IT,Italy,2021,1257.956,1.2579559999999999
export,AT,Austria,LI,Liechtenstein,2021,302.808,0.30280799999999997
export,AT,Austria,CZ,Czechia,2021,196.999,0.196999
import,AT,Austria,TOTAL,Total,2021,26436.193,26.436193
import,AT,Austria,DE,Germany,2021,13027.786,13.027786
import,AT,Austria,CZ,Czechia,2021,10917.302,10.917302
import,AT,Austria,CH,Switzerland,2021,1054.784,1.0547840000000002
import,AT,Austria,HU,Hungary,2021,714.581,0.714581
import,AT,Austria,SI,Slovenia,2021,709.302,0.709302
import,AT,Austria,IT,Italy,2021,12.437,0.012437
import,AT,Austria,LI,Liechtenstein,2021,0.001,1e-06
export,AT,Austria,TOTAL,Total,2022,19890.338,19.890338
export,AT,Austria,DE,Germany,2022,5046.353,5.046353
export,AT,Austria,CH,Switzerland,2022,4829.135,4.829135
export,AT,Austria,SI,Slovenia,2022,4609.231,4.609230999999999
export,AT,Austria,HU,Hungary,2022,3571.575,3.5715749999999997
export,AT,Austria,IT,Italy,2022,1499.202,1.499202
export,AT,Austria,LI,Liechtenstein,2022,297.653,0.297653
export,AT,Austria,CZ,Czechia,2022,37.189,0.037189
import,AT,Austria,TOTAL,Total,2022,28595.165,28.595165
import,AT,Austria,DE,Germany,2022,13582.947,13.582947
import,AT,Austria,CZ,Czechia,2022,12576.348,12.576348
import,AT,Austria,CH,Switzerland,2022,1168.364,1.168364
import,AT,Austria,HU,Hungary,2022,757.027,0.757027
import,AT,Austria,SI,Slovenia,2022,501.421,0.501421
import,AT,Austria,IT,Italy,2022,9.058,0.009058
export,AT,Austria,TOTAL,Total,2023,21621.981,21.621980999999998
export,AT,Austria,DE,Germany,2023,8251.044,8.251044
export,AT,Austria,CH,Switzerland,2023,4889.234,4.889234
export,AT,Austria,HU,Hungary,2023,3466.409,3.466409
export,AT,Austria,SI,Slovenia,2023,2917.083,2.917083
export,AT,Austria,IT,Italy,2023,1327.464,1.327464
export,AT,Austria,CZ,Czechia,2023,474.124,0.47412400000000005
export,AT,Austria,LI,Liechtenstein,2023,296.623,0.29662299999999997
import,AT,Austria,TOTAL,Total,2023,21550.341,21.550341
import,AT,Austria,DE,Germany,2023,9777.632,9.777631999999999
import,AT,Austria,CZ,Czechia,2023,8412.387,8.412387
import,AT,Austria,CH,Switzerland,2023,1227.177,1.227177
import,AT,Austria,SI,Slovenia,2023,1177.285,1.1772850000000001
import,AT,Austria,HU,Hungary,2023,946.116,0.946116
import,AT,Austria,IT,Italy,2023,9.744,0.009744
export,AT,Austria,DE,Germany,2024,8510.891,8.510890999999999
export,AT,Austria,HU,Hungary,2024,5888.321,5.8883209999999995
export,AT,Austria,SI,Slovenia,2024,5879.962,5.879962000000001
export,AT,Austria,CH,Switzerland,2024,2867.827,2.867827
export,AT,Austria,IT,Italy,2024,1623.298,1.623298
export,AT,Austria,CZ,Czechia,2024,641.216,0.641216
export,AT,Austria,LI,Liechtenstein,2024,291.269,0.291269
import,AT,Austria,DE,Germany,2024,8916.301,8.916300999999999
import,AT,Austria,CZ,Czechia,2024,6403.484,6.403484000000001
import,AT,Austria,CH,Switzerland,2024,2692.189,2.692189
import,AT,Austria,HU,Hungary,2024,341.936,0.34193599999999996
import,AT,Austria,SI,Slovenia,2024,329.088,0.32908800000000005
import,AT,Austria,IT,Italy,2024,239.948,0.239948
import,AT,Austria,LI,Liechtenstein,2024,0.006,6e-06
export,BA,Bosnia and Herzegovina,TOTAL,Total,2015,6007.0,6.007
export,BA,Bosnia and Herzegovina,HR,Croatia,2015,4109.0,4.109
export,BA,Bosnia and Herzegovina,ME,Montenegro,2015,1633.0,1.633
export,BA,Bosnia and Herzegovina,RS,Serbia,2015,265.0,0.265
import,BA,Bosnia and Herzegovina,TOTAL,Total,2015,3872.0,3.872
import,BA,Bosnia and Herzegovina,RS,Serbia,2015,2103.0,2.103
import,BA,Bosnia and Herzegovina,HR,Croatia,2015,1219.0,1.219
import,BA,Bosnia and Herzegovina,ME,Montenegro,2015,550.0,0.55
export,BA,Bosnia and Herzegovina,TOTAL,Total,2016,6841.0,6.841
export,BA,Bosnia and Herzegovina,HR,Croatia,2016,4657.0,4.657
export,BA,Bosnia and Herzegovina,ME,Montenegro,2016,1751.0,1.751
export,BA,Bosnia and Herzegovina,RS,Serbia,2016,433.0,0.433
import,BA,Bosnia and Herzegovina,TOTAL,Total,2016,3084.0,3.084
import,BA,Bosnia and Herzegovina,RS,Serbia,2016,1263.0,1.263
import,BA,Bosnia and Herzegovina,HR,Croatia,2016,1202.0,1.202
import,BA,Bosnia and Herzegovina,ME,Montenegro,2016,619.0,0.619
export,BA,Bosnia and Herzegovina,TOTAL,Total,2017,5187.0,5.187
export,BA,Bosnia and Herzegovina,HR,Croatia,2017,2909.0,2.909
export,BA,Bosnia and Herzegovina,ME,Montenegro,2017,1829.0,1.829
export,BA,Bosnia and Herzegovina,RS,Serbia,2017,449.0,0.449
import,BA,Bosnia and Herzegovina,TOTAL,Total,2017,3346.0,3.346
import,BA,Bosnia and Herzegovina,HR,Croatia,2017,1630.0,1.63
import,BA,Bosnia and Herzegovina,RS,Serbia,2017,1405.0,1.405
import,BA,Bosnia and Herzegovina,ME,Montenegro,2017,311.0,0.311
export,BA,Bosnia and Herzegovina,TOTAL,Total,2018,7698.0,7.698
export,BA,Bosnia and Herzegovina,HR,Croatia,2018,5963.0,5.963
export,BA,Bosnia and Herzegovina,ME,Montenegro,2018,1246.0,1.246
export,BA,Bosnia and Herzegovina,RS,Serbia,2018,489.0,0.489
import,BA,Bosnia and Herzegovina,TOTAL,Total,2018,3092.0,3.092
import,BA,Bosnia and Herzegovina,ME,Montenegro,2018,1103.0,1.103
import,BA,Bosnia and Herzegovina,RS,Serbia,2018,1003.0,1.003
import,BA,Bosnia and Herzegovina,HR,Croatia,2018,986.0,0.986
export,BA,Bosnia and Herzegovina,TOTAL,Total,2019,6565.0,6.565
export,BA,Bosnia and Herzegovina,HR,Croatia,2019,2767.0,2.767
export,BA,Bosnia and Herzegovina,ME,Montenegro,2019,2713.0,2.713
export,BA,Bosnia and Herzegovina,RS,Serbia,2019,1085.0,1.085
import,BA,Bosnia and Herzegovina,TOTAL,Total,2019,2825.0,2.825
import,BA,Bosnia and Herzegovina,HR,Croatia,2019,1809.0,1.809
import,BA,Bosnia and Herzegovina,RS,Serbia,2019,822.0,0.822
import,BA,Bosnia and Herzegovina,ME,Montenegro,2019,194.0,0.194
export,BA,Bosnia and Herzegovina,TOTAL,Total,2020,7317.0,7.317
export,BA,Bosnia and Herzegovina,ME,Montenegro,2020,4057.0,4.057
export,BA,Bosnia and Herzegovina,HR,Croatia,2020,1881.0,1.881
export,BA,Bosnia and Herzegovina,RS,Serbia,2020,1379.0,1.379
import,BA,Bosnia and Herzegovina,TOTAL,Total,2020,3266.0,3.266
import,BA,Bosnia and Herzegovina,HR,Croatia,2020,2595.0,2.595
import,BA,Bosnia and Herzegovina,RS,Serbia,2020,527.0,0.527
import,BA,Bosnia and Herzegovina,ME,Montenegro,2020,144.0,0.144
export,BA,Bosnia and Herzegovina,TOTAL,Total,2021,8014.0,8.014
export,BA,Bosnia and Herzegovina,HR,Croatia,2021,4414.0,4.414
export,BA,Bosnia and Herzegovina,ME,Montenegro,2021,2786.0,2.786
export,BA,Bosnia and Herzegovina,RS,Serbia,2021,814.0,0.814
import,BA,Bosnia and Herzegovina,TOTAL,Total,2021,3259.0,3.259
import,BA,Bosnia and Herzegovina,HR,Croatia,2021,1781.0,1.781
import,BA,Bosnia and Herzegovina,RS,Serbia,2021,879.0,0.879
import,BA,Bosnia and Herzegovina,ME,Montenegro,2021,599.0,0.599
export,BA,Bosnia and Herzegovina,TOTAL,Total,2022,6856.0,6.856
export,BA,Bosnia and Herzegovina,HR,Croatia,2022,3898.0,3.898
export,BA,Bosnia and Herzegovina,ME,Montenegro,2022,2315.0,2.315
export,BA,Bosnia and Herzegovina,RS,Serbia,2022,643.0,0.643
import,BA,Bosnia and Herzegovina,TOTAL,Total,2022,3828.0,3.828
import,BA,Bosnia and Herzegovina,HR,Croatia,2022,1672.0,1.672
import,BA,Bosnia and Herzegovina,RS,Serbia,2022,1249.0,1.249
import,BA,Bosnia and Herzegovina,ME,Montenegro,2022,907.0,0.907
export,BA,Bosnia and Herzegovina,TOTAL,Total,2023,7886.0,7.886
export,BA,Bosnia and Herzegovina,ME,Montenegro,2023,3599.0,3.599
export,BA,Bosnia and Herzegovina,HR,Croatia,2023,3335.0,3.335
export,BA,Bosnia and Herzegovina,RS,Serbia,2023,952.0,0.952
import,BA,Bosnia and Herzegovina,TOTAL,Total,2023,3655.0,3.655
import,BA,Bosnia and Herzegovina,HR,Croatia,2023,2063.0,2.063
import,BA,Bosnia and Herzegovina,RS,Serbia,2023,984.0,0.984
import,BA,Bosnia and Herzegovina,ME,Montenegro,2023,608.0,0.608
export,BA,Bosnia and Herzegovina,TOTAL,Total,2024,7175.0,7.175
export,BA,Bosnia and Herzegovina,ME,Montenegro,2024,3845.0,3.845
export,BA,Bosnia and Herzegovina,HR,Croatia,2024,2048.0,2.048
export,BA,Bosnia and Herzegovina,RS,Serbia,2024,1282.0,1.282
import,BA,Bosnia and Herzegovina,TOTAL,Total,2024,4719.0,4.719
import,BA,Bosnia and Herzegovina,HR,Croatia,2024,3618.0,3.618
import,BA,Bosnia and Herzegovina,RS,Serbia,2024,650.0,0.65
import,BA,Bosnia and Herzegovina,ME,Montenegro,2024,451.0,0.451
export,BE,Belgium,TOTAL,Total,2015,2715.0,2.715
export,BE,Belgium,FR,France,2015,1434.0,1.434
export,BE,Belgium,NL,Netherlands,2015,1021.0,1.021
export,BE,Belgium,LU,Luxembourg,2015,260.0,0.26
import,BE,Belgium,TOTAL,Total,2015,23714.0,23.714
import,BE,Belgium,NL,Netherlands,2015,13417.0,13.417
import,BE,Belgium,FR,France,2015,9812.0,9.812
import,BE,Belgium,LU,Luxembourg,2015,485.0,0.485
export,BE,Belgium,TOTAL,Total,2016,8465.0,8.465
export,BE,Belgium,FR,France,2016,5234.0,5.234
export,BE,Belgium,NL,Netherlands,2016,2921.0,2.921
export,BE,Belgium,LU,Luxembourg,2016,310.0,0.31
import,BE,Belgium,TOTAL,Total,2016,14648.0,14.648
import,BE,Belgium,NL,Netherlands,2016,9854.0,9.854
import,BE,Belgium,FR,France,2016,4793.0,4.793
import,BE,Belgium,LU,Luxembourg,2016,1.0,0.001
export,BE,Belgium,TOTAL,Total,2017,8167.8,8.1678
export,BE,Belgium,FR,France,2017,5490.2,5.4902
export,BE,Belgium,NL,Netherlands,2017,2170.1,2.1700999999999997
export,BE,Belgium,LU,Luxembourg,2017,507.5,0.5075
import,BE,Belgium,TOTAL,Total,2017,14189.4,14.1894
import,BE,Belgium,NL,Netherlands,2017,10249.6,10.249600000000001
import,BE,Belgium,FR,France,2017,3913.7,3.9137
import,BE,Belgium,LU,Luxembourg,2017,26.1,0.0261
export,BE,Belgium,TOTAL,Total,2018,4308.4,4.3084
export,BE,Belgium,FR,France,2018,2192.2,2.1921999999999997
export,BE,Belgium,NL,Netherlands,2018,1775.5,1.7755
export,BE,Belgium,LU,Luxembourg,2018,339.6,0.3396
export,BE,Belgium,UK,United Kingdom,2018,1.1,0.0011
import,BE,Belgium,TOTAL,Total,2018,21635.9,21.635900000000003
import,BE,Belgium,NL,Netherlands,2018,10781.4,10.7814
import,BE,Belgium,FR,France,2018,10755.0,10.755
import,BE,Belgium,LU,Luxembourg,2018,97.9,0.0979
import,BE,Belgium,UK,United Kingdom,2018,1.6,0.0016
export,BE,Belgium,TOTAL,Total,2019,14589.0,14.589
export,BE,Belgium,UK,United Kingdom,2019,5485.0,5.485
export,BE,Belgium,NL,Netherlands,2019,4986.7,4.9867
export,BE,Belgium,FR,France,2019,3889.0,3.889
export,BE,Belgium,LU,Luxembourg,2019,228.3,0.2283
import,BE,Belgium,TOTAL,Total,2019,12734.4,12.734399999999999
import,BE,Belgium,FR,France,2019,6613.2,6.6132
import,BE,Belgium,NL,Netherlands,2019,5913.6,5.913600000000001
import,BE,Belgium,UK,United Kingdom,2019,126.4,0.1264
import,BE,Belgium,LU,Luxembourg,2019,81.2,0.08120000000000001
export,BE,Belgium,TOTAL,Total,2020,14054.8,14.054799999999998
export,BE,Belgium,UK,United Kingdom,2020,5505.3,5.5053
export,BE,Belgium,FR,France,2020,4257.3,4.2573
export,BE,Belgium,NL,Netherlands,2020,3782.0,3.782
export,BE,Belgium,LU,Luxembourg,2020,386.7,0.3867
export,BE,Belgium,DE,Germany,2020,123.5,0.1235
import,BE,Belgium,TOTAL,Total,2020,13721.9,13.7219
import,BE,Belgium,NL,Netherlands,2020,7804.6,7.804600000000001
import,BE,Belgium,FR,France,2020,5033.9,5.0339
import,BE,Belgium,UK,United Kingdom,2020,486.7,0.48669999999999997
import,BE,Belgium,DE,Germany,2020,327.9,0.32789999999999997
import,BE,Belgium,LU,Luxembourg,2020,68.8,0.0688
export,BE,Belgium,TOTAL,Total,2021,23070.1,23.0701
export,BE,Belgium,FR,France,2021,7733.7,7.7337
export,BE,Belgium,UK,United Kingdom,2021,7156.4,7.1564
export,BE,Belgium,NL,Netherlands,2021,5217.8,5.2178
export,BE,Belgium,DE,Germany,2021,1811.7,1.8117
export,BE,Belgium,LU,Luxembourg,2021,1150.5,1.1505
import,BE,Belgium,TOTAL,Total,2021,15193.6,15.1936
import,BE,Belgium,NL,Netherlands,2021,7319.1,7.319100000000001
import,BE,Belgium,FR,France,2021,5119.8,5.119800000000001
import,BE,Belgium,DE,Germany,2021,2560.8,2.5608
import,BE,Belgium,UK,United Kingdom,2021,136.2,0.1362
import,BE,Belgium,LU,Luxembourg,2021,57.7,0.0577
export,BE,Belgium,TOTAL,Total,2022,23877.1,23.8771
export,BE,Belgium,FR,France,2022,11901.8,11.9018
export,BE,Belgium,NL,Netherlands,2022,4872.1,4.8721000000000005
export,BE,Belgium,UK,United Kingdom,2022,3306.1,3.3061
export,BE,Belgium,LU,Luxembourg,2022,1936.7,1.9367
export,BE,Belgium,DE,Germany,2022,1860.4,1.8604
import,BE,Belgium,TOTAL,Total,2022,16349.6,16.3496
import,BE,Belgium,NL,Netherlands,2022,8508.8,8.508799999999999
import,BE,Belgium,DE,Germany,2022,3210.0,3.21
import,BE,Belgium,UK,United Kingdom,2022,2525.1,2.5251
import,BE,Belgium,FR,France,2022,1996.7,1.9967000000000001
import,BE,Belgium,LU,Luxembourg,2022,109.0,0.109
export,BE,Belgium,TOTAL,Total,2023,18585.6,18.5856
export,BE,Belgium,FR,France,2023,5392.7,5.3927
export,BE,Belgium,NL,Netherlands,2023,4370.6,4.3706000000000005
export,BE,Belgium,UK,United Kingdom,2023,4067.5,4.0675
export,BE,Belgium,DE,Germany,2023,2536.6,2.5366
export,BE,Belgium,LU,Luxembourg,2023,2218.2,2.2182
import,BE,Belgium,TOTAL,Total,2023,20223.9,20.2239
import,BE,Belgium,NL,Netherlands,2023,8396.7,8.396700000000001
import,BE,Belgium,FR,France,2023,8343.4,8.343399999999999
import,BE,Belgium,DE,Germany,2023,2459.5,2.4595
import,BE,Belgium,UK,United Kingdom,2023,985.2,0.9852000000000001
import,BE,Belgium,LU,Luxembourg,2023,39.1,0.0391
export,BE,Belgium,TOTAL,Total,2024,17412.0,17.412
export,BE,Belgium,UK,United Kingdom,2024,5195.2,5.1952
export,BE,Belgium,DE,Germany,2024,4436.3,4.4363
export,BE,Belgium,NL,Netherlands,2024,3814.8,3.8148
export,BE,Belgium,FR,France,2024,2745.7,2.7457
export,BE,Belgium,LU,Luxembourg,2024,1220.0,1.22
import,BE,Belgium,TOTAL,Total,2024,27753.4,27.753400000000003
import,BE,Belgium,FR,France,2024,15251.4,15.2514
import,BE,Belgium,NL,Netherlands,2024,9844.1,9.844100000000001
import,BE,Belgium,DE,Germany,2024,1678.8,1.6787999999999998
import,BE,Belgium,UK,United Kingdom,2024,893.1,0.8931
import,BE,Belgium,LU,Luxembourg,2024,86.0,0.086
export,BG,Bulgaria,TOTAL,Total,2015,14826.0,14.826
export,BG,Bulgaria,TR,Türkiye,2015,5102.0,5.102
export,BG,Bulgaria,EL,Greece,2015,3734.0,3.734
export,BG,Bulgaria,MK,North Macedonia,2015,3520.0,3.52
export,BG,Bulgaria,RS,Serbia,2015,2327.0,2.327
export,BG,Bulgaria,RO,Romania,2015,143.0,0.143
import,BG,Bulgaria,TOTAL,Total,2015,4251.0,4.251
import,BG,Bulgaria,RO,Romania,2015,4134.0,4.134
import,BG,Bulgaria,RS,Serbia,2015,113.0,0.113
import,BG,Bulgaria,MK,North Macedonia,2015,2.0,0.002
import,BG,Bulgaria,TR,Türkiye,2015,2.0,0.002
export,BG,Bulgaria,TOTAL,Total,2016,10940.0,10.94
export,BG,Bulgaria,TR,Türkiye,2016,4625.0,4.625
export,BG,Bulgaria,EL,Greece,2016,2526.0,2.526
export,BG,Bulgaria,MK,North Macedonia,2016,2233.0,2.233
export,BG,Bulgaria,RS,Serbia,2016,1375.0,1.375
export,BG,Bulgaria,RO,Romania,2016,181.0,0.181
import,BG,Bulgaria,TOTAL,Total,2016,4568.0,4.568
import,BG,Bulgaria,RO,Romania,2016,4323.0,4.323
import,BG,Bulgaria,RS,Serbia,2016,226.0,0.226
import,BG,Bulgaria,EL,Greece,2016,14.0,0.014
import,BG,Bulgaria,TR,Türkiye,2016,3.0,0.003
import,BG,Bulgaria,MK,North Macedonia,2016,2.0,0.002
export,BG,Bulgaria,TOTAL,Total,2017,9185.794,9.185794
export,BG,Bulgaria,MK,North Macedonia,2017,2448.517,2.448517
export,BG,Bulgaria,RS,Serbia,2017,2124.455,2.1244549999999998
export,BG,Bulgaria,TR,Türkiye,2017,2085.154,2.085154
export,BG,Bulgaria,EL,Greece,2017,2062.735,2.062735
export,BG,Bulgaria,RO,Romania,2017,464.933,0.464933
import,BG,Bulgaria,TOTAL,Total,2017,3705.423,3.7054229999999997
import,BG,Bulgaria,RO,Romania,2017,3571.433,3.571433
import,BG,Bulgaria,TR,Türkiye,2017,101.832,0.10183199999999999
import,BG,Bulgaria,EL,Greece,2017,20.467,0.020467
import,BG,Bulgaria,RS,Serbia,2017,9.491,0.009491
import,BG,Bulgaria,MK,North Macedonia,2017,2.2,0.0022
export,BG,Bulgaria,TOTAL,Total,2018,10030.05,10.03005
export,BG,Bulgaria,MK,North Macedonia,2018,2332.45,2.3324499999999997
export,BG,Bulgaria,RS,Serbia,2018,2304.555,2.3045549999999997
